timestamp,pyros,servos,servos_deg,accelerometer,barofilteredalt,temp,gyro,gps_fix,lat,lon,gpsalt,gps_horiz_prec,gps_vert_prec,gps_num_sat,flight_time,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt,pyro_resistances,cell_voltages,total_current,converter_voltages,converter_currents,bms_protections_enabled,bms_protection_status,bms_temp,enabled_status,angleFromVertical,gnd_lat,gnd_lon,gnd_fix,gnd_alt
"0.06","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","93.663376","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","60","0.0","0.0","0.0","state.GROUND_TESTING","1","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-9.093215E-4","93","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.12","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","173.94626","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","120","0.0","0.0","0.0","state.GROUND_TESTING","2","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.0018186427","173","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.18","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","254.2292","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","180","0.0","0.0","0.0","state.GROUND_TESTING","3","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.0027279647","254","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.24","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","267.60968","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","240","0.0","0.0","0.0","state.GROUND_TESTING","4","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.0036372866","267","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.3","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","267.60968","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","300","0.0","0.0","0.0","state.GROUND_TESTING","5","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.0045466083","267","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.36","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","267.60968","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","360","0.0","0.0","0.0","state.GROUND_TESTING","6","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.0054559303","267","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.42","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","267.60968","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","420","0.0","0.0","0.0","state.GROUND_TESTING","7","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.006365252","267","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.48","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","267.60968","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","271.0","0.0","0.0","0","480","0.0","0.0","0.0","state.GROUND_TESTING","8","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","-0.007274574","267","271","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.54","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","540","0.0","0.0","0.0","state.PRE_FLIGHT","9","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
"0.6","[2, 2, 2, 2, 2, 2]","[941, 1500, 1495, 1430]","[-67.08, 0.0, -0.5, -7.0]","[9.23740461328125, 0.0, 0.0]","0.0","-17.94769100189209","[0.24414062496, -0.24414062496, 0.42724609368]","3","28.61","-80.6","0.0","0.0","0.0","0","600","0.0","0.0","0.0","state.PRE_FLIGHT","10","","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","0","","0.0","0","0","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7, 3.7, 3.7]","-0.0","[3.0, 3.3008, 5.0, 7.4, 8.4, 28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1","0","20.0","[True, True, True, True, True, True]","0.0","","","",""
