Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.986386637771120511e-03,-1.993609492955880635e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.928091511292954155e-03,-3.078551213731490349e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,9.847831997986366756e-03,-3.254704833729116925e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.768328046609871945e-03,-2.522026964305982416e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,9.712300690530003069e-03,-8.804741903236743689e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,9.702472048602583943e-03,1.669996793036929508e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,9.761565322750718338e-03,5.129429335250006161e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,9.912304796856279132e-03,9.497866684642780610e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,1.017741583520098692e-02,1.477535188472405281e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,1.058034295792939679e-02,2.068415002787070134e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,1.113119730576101266e-02,2.664545787089700468e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,1.183129164080231471e-02,3.264328143645806035e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,1.268153887553642722e-02,3.867762415385740393e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,1.368285200817350757e-02,4.474848944834780573e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,1.483614412253158460e-02,5.085588073972814316e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.614232838788871860e-02,5.699980144107491542e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,1.760231805880689906e-02,6.318025495767847222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,1.921702647493141528e-02,6.939724468615977582e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,2.098736706076943098e-02,7.565077401372999333e-01,8.418403812616761461e-16,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000971e-02,2.291425332545091870e-02,8.194084631532607688e-01,2.403720181006825052e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000001193e-02,2.499859885900713660e-02,8.826745891248407583e-01,2.486535622328542631e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000001416e-02,2.724131710371831966e-02,9.463060386077745134e-01,-4.412212302473279646e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000001638e-02,2.964332133622116228e-02,1.010302744273810172e+00,-1.176031263759451294e-14,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000001860e-02,3.220552464155039540e-02,1.074664592157484222e+00,-1.780788373598343688e-14,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000001388e-02,3.492883978802102662e-02,1.139391410827069073e+00,-1.085903269755861234e-14,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001610e-02,3.781417908411612711e-02,1.204483014290236742e+00,-4.835197803274046255e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000001832e-02,4.086245440806257623e-02,1.269939549905873211e+00,-1.044485618532033095e-14,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000002054e-02,4.407457867074834890e-02,1.335762514876618345e+00,5.272545719286726205e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000002276e-02,4.745146826220500436e-02,1.401950282986252683e+00,1.881082318695562411e-14,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000002498e-02,5.099403396161628771e-02,1.468503073034476358e+00,-2.908263790617474480e-14,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000002720e-02,5.470318931260875761e-02,1.535421852439182722e+00,-4.014923676135534170e-14,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000002942e-02,5.857984948065152186e-02,1.602706807033402292e+00,-4.950749495327129893e-16,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000003164e-02,6.262492993384824458e-02,1.670357957240048430e+00,5.446076379805914064e-14,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000003386e-02,6.683934615691076997e-02,1.738375292516765702e+00,-5.840587739658920964e-14,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000003608e-02,7.122401360515183411e-02,1.806758803927827728e+00,5.396558763190805592e-14,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000003830e-02,7.577984771530942021e-02,1.875508490141005513e+00,-1.031241896346937334e-13,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000004052e-02,8.050776392549593985e-02,1.944624357399452164e+00,2.006981246490280043e-13,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000004274e-02,8.540867769279938959e-02,2.014106417391371195e+00,8.531787007853517111e-13,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000004496e-02,9.048350450687249469e-02,2.083954686812437007e+00,1.167062376970281448e-12,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000472e-01,9.573315990147752974e-02,2.154169186027794058e+00,4.789900706145110450e-13,0.000000000000000000e+00,0.000000000000000000e+00
1.025000000000000494e-01,1.011585594567631918e-01,2.224749856825609662e+00,4.428299462132780392e-13,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000516e-01,1.067606185243658440e-01,2.295696642565497214e+00,6.952656237120395216e-13,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000538e-01,1.125402524084890832e-01,2.367009573024574376e+00,7.241402244571129537e-13,0.000000000000000000e+00,0.000000000000000000e+00
