Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.986386637772071140e-03,-1.993609492682491338e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.928091511285836585e-03,-3.078551217011976648e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,9.847831997819812486e-03,-3.254704852073186938e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.768328045869268186e-03,-2.522027014791188709e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,9.712300688539687171e-03,-8.804743181316992962e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,9.702472043684649827e-03,1.669996633107833500e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,9.761565314042271180e-03,5.129429230683166252e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,9.912304786913654284e-03,9.497866824873812952e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,1.017741583269377373e-02,1.477535265394786523e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,1.058034298288750182e-02,2.068415204341281233e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,1.113119739439974269e-02,2.664546182941370800e-01,-5.429048930842081879e-17,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,1.183129184588061801e-02,3.264328792826596271e-01,-2.464417417028213443e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,1.268153926302728433e-02,3.867763352578596492e-01,1.507423487062512446e-15,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,1.368285265056817454e-02,4.474850169045419546e-01,8.035819297202176429e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,1.483614508923206989e-02,5.085589537410448724e-01,1.981898813910114838e-15,0.000000000000000000e+00,8.669406087725773036e-17
4.000000000000000083e-02,1.614232973306575780e-02,5.699981743714218618e-01,7.758620145488773301e-15,0.000000000000000000e+00,3.460460794247591650e-16
4.250000000000000305e-02,1.760231980708535857e-02,6.318027064244181590e-01,1.333654609225404545e-14,0.000000000000000000e+00,-7.104656932680511215e-16
4.500000000000000527e-02,1.921702860500133433e-02,6.939725768590430111e-01,2.064954025803532281e-14,0.000000000000000000e+00,-3.162820127136603300e-15
4.750000000000000749e-02,2.098736948748803482e-02,7.565078118718977507e-01,4.631279424251111678e-14,0.000000000000000000e+00,-7.090422435775517427e-15
5.000000000000000971e-02,2.291425588044725820e-02,8.194084369932497225e-01,2.533243475139652328e-14,0.000000000000000000e+00,-1.495611072003996038e-14
5.250000000000001193e-02,2.499860127217103795e-02,8.826744627419178535e-01,1.260107327244423013e-13,0.000000000000000000e+00,-2.607199664862245149e-14
5.500000000000001416e-02,2.724131915861495098e-02,9.463058903378741560e-01,1.505714717908319241e-13,0.000000000000000000e+00,-4.404391549719085963e-14
5.750000000000001638e-02,2.964332305024979658e-02,1.010302730162680573e+00,2.262268909682719356e-13,0.000000000000000000e+00,-7.003185450387345516e-14
