Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988587501970791482e-03,1.528366412264807808e-02,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.006053269888147056e-02,1.100986088356290249e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.041466880394573656e-02,2.844536514110324044e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.125469182904764200e-02,5.196292777324672540e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.269441808069821966e-02,7.766076755851745173e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.478850578770386087e-02,1.053016871076672745e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.758113162270068253e-02,1.337154756874795014e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.108685117856461122e-02,1.626135576098247215e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.531777208495675224e-02,1.919959860683436714e+00,6.631335011355925181e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.028600330652159167e-02,2.218628144249421119e+00,6.631335011356880634e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.600365515383841669e-02,2.522140977877052492e+00,6.631335011362763786e-05,0.000000000000000000e+00,9.498687716522101067e-06
2.999999999999999542e-02,4.248361394765963472e-02,2.827502506690763973e+00,6.631335010336220841e-05,0.000000000000000000e+00,1.899737543178966164e-05
3.249999999999999417e-02,4.972438333106473513e-02,3.128468301919405725e+00,6.631335007258081426e-05,0.000000000000000000e+00,2.849606314763232539e-05
3.499999999999999639e-02,5.771497312275727237e-02,3.424864282879223953e+00,6.631335006769786583e-05,0.000000000000000000e+00,3.799475086501202190e-05
3.749999999999999861e-02,6.644395796213872774e-02,3.716688985104309229e+00,6.631334998757917420e-05,0.000000000000000000e+00,4.749343858577060738e-05
4.000000000000000083e-02,7.589990885489156236e-02,4.003940994067831660e+00,6.631334996165065543e-05,0.000000000000000000e+00,5.699212631494645742e-05
4.250000000000000305e-02,8.607139329379470682e-02,4.286618937874189683e+00,6.631334999492950928e-05,0.000000000000000000e+00,6.649081405319894988e-05
4.500000000000000527e-02,9.694697536146731909e-02,4.564721480624886141e+00,6.631335018921754925e-05,0.000000000000000000e+00,7.598950179798358425e-05
4.750000000000000749e-02,1.085152158179678167e-01,4.838247317603251219e+00,6.631335014965835945e-05,0.000000000000000000e+00,8.548818954566493578e-05
5.000000000000000971e-02,1.207646721763917380e-01,5.107195171044462967e+00,6.631334971990171957e-05,0.000000000000000000e+00,9.498687729329883991e-05
5.250000000000001193e-02,1.336838987682914537e-01,5.371655737671393815e+00,6.631334984674384632e-05,0.000000000000000000e+00,1.044855650440572114e-04
5.500000000000001416e-02,1.472624028446088973e-01,5.634954993885847863e+00,6.631335011023718859e-05,0.000000000000000000e+00,1.044855650440572114e-04
5.750000000000001638e-02,1.614994019897652566e-01,5.898689289357696985e+00,6.631334999239648774e-05,0.000000000000000000e+00,1.044855650440572114e-04
6.000000000000001860e-02,1.763959837312518708e-01,6.162858499156662617e+00,6.631335001599923023e-05,0.000000000000000000e+00,1.044855650440572114e-04
