Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,6.631335011327559742e-05,1.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000052e-03,9.988587501970791482e-03,1.528366412264807808e-02,1.326822674596807197e-04,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000104e-03,1.006053269888147056e-02,1.100986088356290249e-01,1.994842249921245029e-04,1.000000000000000000e+01,0.000000000000000000e+00
7.499999999999999722e-03,1.041466880394573656e-02,2.844536514110324044e-01,2.679726551102769544e-04,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000021e-02,1.125469182904764200e-02,5.196292777324672540e-01,3.401422469217753276e-04,1.000000000000000000e+01,0.000000000000000000e+00
1.250000000000000069e-02,1.269441808069821966e-02,7.766076755831340384e-01,4.185049204736235274e-04,1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000118e-02,1.478850578771191693e-02,1.053016871082672390e+00,5.059426306164541316e-04,1.000000000000000000e+01,6.281792648889990044e-05
1.750000000000000167e-02,1.758113162273906849e-02,1.337154756890206464e+00,6.053061972957477811e-04,0.000000000000000000e+00,1.385620499674974037e-04
2.000000000000000042e-02,2.108685117864717018e-02,1.626135576105267599e+00,6.053061972960244695e-04,0.000000000000000000e+00,2.252657760129225871e-04
2.249999999999999917e-02,2.531777208504567764e-02,1.919959860640032767e+00,6.053061972987650073e-04,0.000000000000000000e+00,3.119695020584384369e-04
2.499999999999999792e-02,3.028600330631332077e-02,2.218628143975616140e+00,6.053061973108956034e-04,0.000000000000000000e+00,3.986732281042612786e-04
2.749999999999999667e-02,3.600365515278211581e-02,2.522140977095629566e+00,6.053061973079824605e-04,0.000000000000000000e+00,4.853769541497011801e-04
2.999999999999999542e-02,4.248361394416945436e-02,2.827502504951715956e+00,6.053061972924552760e-04,0.000000000000000000e+00,5.720806801950180246e-04
3.249999999999999417e-02,4.972438332271003625e-02,3.128468299091685445e+00,6.053061973340323693e-04,0.000000000000000000e+00,6.587844062406787238e-04
3.499999999999999639e-02,5.771497310694045230e-02,3.424864279281763846e+00,6.053061973499852116e-04,0.000000000000000000e+00,7.454881322854723866e-04
3.749999999999999861e-02,6.644395793693301522e-02,3.716688980714764945e+00,6.053061974619285439e-04,0.000000000000000000e+00,8.321918583300878065e-04
4.000000000000000083e-02,7.589990881831065739e-02,4.003940988858833983e+00,6.053061975740718029e-04,0.000000000000000000e+00,9.188955843696183182e-04
4.250000000000000305e-02,8.607139324364319888e-02,4.286618931703856106e+00,6.053061974205610268e-04,0.000000000000000000e+00,1.005599310401716732e-03
4.500000000000000527e-02,9.694697529531422220e-02,4.564721473445051636e+00,6.053061975967631786e-04,0.000000000000000000e+00,1.092303036432737883e-03
4.750000000000000749e-02,1.085152157332602424e-01,4.838247309363138626e+00,6.053061975739075463e-04,0.000000000000000000e+00,1.179006762459735560e-03
5.000000000000000971e-02,1.207646720704485255e-01,5.107195161691011620e+00,6.053061976597787436e-04,0.000000000000000000e+00,1.265710488485851781e-03
5.250000000000001193e-02,1.336838986384518146e-01,5.371655727272836245e+00,6.053061976698964099e-04,0.000000000000000000e+00,1.352414214514156571e-03
5.500000000000001416e-02,1.472624026882771997e-01,5.634954982060022211e+00,6.053061983788773524e-04,0.000000000000000000e+00,1.439117940548693140e-03
5.750000000000001638e-02,1.614994018030468659e-01,5.898689275957361922e+00,6.053061987220480483e-04,0.000000000000000000e+00,1.525821666587916497e-03
6.000000000000001860e-02,1.763959835101165385e-01,6.162858483907467821e+00,6.053061991664108023e-04,0.000000000000000000e+00,1.612525392638137134e-03
6.250000000000001388e-02,1.919532350265515108e-01,6.427462485235920120e+00,6.053061994938180659e-04,0.000000000000000000e+00,1.699229118708085696e-03
