Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988587501970791482e-03,1.528366412264807808e-02,1.326822674596807197e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.006053269888147056e-02,1.100986088356290249e-01,1.994842249921245029e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.041466880394573656e-02,2.844536514110324044e-01,2.679726551102769544e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.125469182904764200e-02,5.196292777324672540e-01,3.401422469217984211e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.269441808069821966e-02,7.766076755831340384e-01,4.185049204739483544e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.478850578771191693e-02,1.053016871082672168e+00,5.059426306170552133e-04,0.000000000000000000e+00,6.281792648888367807e-05
1.750000000000000167e-02,1.758113162273906502e-02,1.337154756890205798e+00,6.053061972976824315e-04,0.000000000000000000e+00,1.385620499673194590e-04
2.000000000000000042e-02,2.108685117864716324e-02,1.626135576105266933e+00,7.195647589916379962e-04,0.000000000000000000e+00,2.290378942310144551e-04
2.249999999999999917e-02,2.531777208504566723e-02,1.919959860640032767e+00,8.518231428689553063e-04,0.000000000000000000e+00,3.364809405872720813e-04
2.499999999999999792e-02,3.028600330631331036e-02,2.218628143975618361e+00,1.005330600624790380e-03,0.000000000000000000e+00,4.635753314333155043e-04
2.749999999999999667e-02,3.600365515280553458e-02,2.522140977114397664e+00,1.183493028295248394e-03,0.000000000000000000e+00,6.134787118396185920e-04
2.999999999999999542e-02,4.248361394423652571e-02,2.827502504967909225e+00,1.389309431359242843e-03,0.000000000000000000e+00,7.898198512253326066e-04
3.249999999999999417e-02,4.972438332257828747e-02,3.128468298971101458e+00,1.625384301996879444e-03,0.000000000000000000e+00,9.966403707264961855e-04
3.499999999999999639e-02,5.771497310612434817e-02,3.424864278926852634e+00,1.894170792491181978e-03,0.000000000000000000e+00,1.238353555864872557e-03
3.749999999999999861e-02,6.644395793477191059e-02,3.716688980082297533e+00,2.197987569459998458e-03,0.000000000000000000e+00,1.519719716285596479e-03
4.000000000000000083e-02,7.589990881399745482e-02,4.003940987860985956e+00,2.539020844939776905e-03,0.000000000000000000e+00,1.845826988325841370e-03
4.250000000000000305e-02,8.607139323620496829e-02,4.286618930305503561e+00,2.919326411442305872e-03,0.000000000000000000e+00,2.222072428349131622e-03
4.500000000000000527e-02,9.694697528370735395e-02,4.564721471622673832e+00,3.340831678387922062e-03,0.000000000000000000e+00,2.654143397863853709e-03
4.750000000000000749e-02,1.085152157164050585e-01,4.838247307108427542e+00,3.805337709614169291e-03,0.000000000000000000e+00,3.147999240219168625e-03
5.000000000000000971e-02,1.207646720472739243e-01,5.107195159015063268e+00,4.314521263231938832e-03,0.000000000000000000e+00,3.709853249548872821e-03
5.250000000000001193e-02,1.336838986079511293e-01,5.371655724210817162e+00,4.870015064733024604e-03,0.000000000000000000e+00,4.346153042406854239e-03
5.500000000000001416e-02,1.472624026495769067e-01,5.634954978676559811e+00,5.474070970368636289e-03,0.000000000000000000e+00,5.063613199987146429e-03
5.750000000000001638e-02,1.614994017555947958e-01,5.898689272427382946e+00,6.129075374902507797e-03,0.000000000000000000e+00,5.869267416241466702e-03
6.000000000000001860e-02,1.763959834536877325e-01,6.162858480318186949e+00,6.837426243609769257e-03,0.000000000000000000e+00,6.770491583717186575e-03
6.250000000000001388e-02,1.919532349611634270e-01,6.427462481689066642e+00,7.601533054628002370e-03,0.000000000000000000e+00,7.775005452788959735e-03
6.500000000000001610e-02,2.081722431942169549e-01,6.692501164018882953e+00,8.423816758899785664e-03,0.000000000000000000e+00,8.890874279259525226e-03
6.750000000000001832e-02,2.250540948242488459e-01,6.957974470894492391e+00,9.306709815308794251e-03,0.000000000000000000e+00,1.012651046932819959e-02
7.000000000000002054e-02,2.425998764195152757e-01,7.223882390184735769e+00,1.025265620880721519e-02,0.000000000000000000e+00,1.149067522813547113e-02
7.250000000000002276e-02,2.608106744999894588e-01,7.490224901705547111e+00,1.126411147080480339e-02,0.000000000000000000e+00,1.299248021157555465e-02
7.500000000000002498e-02,2.796875755269941366e-01,7.757001974353768148e+00,1.234354269313224332e-02,0.000000000000000000e+00,1.464138918061640669e-02
7.750000000000002720e-02,2.992316658769345050e-01,8.024213564051208891e+00,1.349342854359498675e-02,0.000000000000000000e+00,1.644721965779784648e-02
8.000000000000002942e-02,3.194440318097269693e-01,8.291859615331215849e+00,1.471625928084529730e-02,0.000000000000000000e+00,1.842014458584953149e-02
8.250000000000003164e-02,3.403257594410608045e-01,8.559940062677807049e+00,1.601453676728995315e-02,0.000000000000000000e+00,2.057069398840468202e-02
8.500000000000003386e-02,3.618779347178969763e-01,8.828454831661801450e+00,1.739077448476319607e-02,0.000000000000000000e+00,2.290975663271303808e-02
8.750000000000003608e-02,3.841016433967167076e-01,9.097403839909199874e+00,1.884749754759912008e-02,0.000000000000000000e+00,2.544858169438544981e-02
8.999999999999999667e-02,4.069979710241142801e-01,9.366786997930507397e+00,2.038724759078627477e-02,0.000000000000000000e+00,2.819877901558751759e-02
9.249999999999999889e-02,4.305680307065949397e-01,9.637048924521071314e+00,2.201277943185556141e-02,0.000000000000000000e+00,3.117233387722317603e-02
9.500000000000000111e-02,4.548144964670495227e-01,9.908634351995084799e+00,2.372695900339996319e-02,0.000000000000000000e+00,3.438162702208048815e-02
9.750000000000000333e-02,4.797406770980306989e-01,1.018154335273448829e+01,2.553268812362465001e-02,0.000000000000000000e+00,3.783945087614013630e-02
1.000000000000000056e-01,5.053498815692566426e-01,1.045577599237737232e+01,2.743290467119685952e-02,0.000000000000000000e+00,4.155901469465023146e-02
1.025000000000000078e-01,5.316454190109327627e-01,1.073133233014716659e+01,2.943058276229119571e-02,0.000000000000000000e+00,4.555394973352045601e-02
1.050000000000000100e-01,5.586305986978754579e-01,1.100821241914210802e+01,3.152873291451915166e-02,0.000000000000000000e+00,4.983831444558326634e-02
1.075000000000000122e-01,5.863087300343401420e-01,1.128641630658977490e+01,3.373040224771162859e-02,0.000000000000000000e+00,5.442659970253503621e-02
1.100000000000000006e-01,6.146831225394681075e-01,1.156594403407139637e+01,3.603866304194843634e-02,0.000000000000000000e+00,5.933373770010776788e-02
1.125000000000000028e-01,6.437570272431103469e-01,1.184585699442542683e+01,3.845610243469094192e-02,0.000000000000000000e+00,6.457507340210591473e-02
1.150000000000000050e-01,6.735303997551929100e-01,1.212521605530240443e+01,4.098509360027255410e-02,0.000000000000000000e+00,7.016632261551510041e-02
1.175000000000000072e-01,7.040018551979029260e-01,1.240402076736505421e+01,4.362799414447993129e-02,0.000000000000000000e+00,7.612354057564234278e-02
1.200000000000000094e-01,7.351700074893352532e-01,1.268227071787184279e+01,4.638714614613468484e-02,0.000000000000000000e+00,8.246311972135929313e-02
1.225000000000000117e-01,7.670334695156352245e-01,1.295996553706687848e+01,4.926487629988666322e-02,0.000000000000000000e+00,8.920178747735478531e-02
1.250000000000000000e-01,7.995908532385548328e-01,1.323710485515809765e+01,5.226349578484369707e-02,0.000000000000000000e+00,9.635660403961021636e-02
1.275000000000000022e-01,8.328407696954452932e-01,1.351368830246661012e+01,5.538530045428027848e-02,0.000000000000000000e+00,1.039449601641763837e-01
1.300000000000000044e-01,8.667818289996139791e-01,1.378971550955943037e+01,5.863254399598205602e-02,0.000000000000000000e+00,1.119845741282438356e-01
1.325000000000000067e-01,9.014124936328348214e-01,1.406544198050515071e+01,6.200776779108883169e-02,0.000000000000000000e+00,1.204934945456501288e-01
1.350000000000000089e-01,9.367328287229680361e-01,1.434190502233756881e+01,6.551387398371277815e-02,0.000000000000000000e+00,1.294901526847643258e-01
1.375000000000000111e-01,9.727448047307155621e-01,1.461921954940727453e+01,6.915381706377354831e-02,0.000000000000000000e+00,1.389933923610257860e-01
1.400000000000000133e-01,1.009450550307635641e+00,1.489738545396894054e+01,7.293057503547827058e-02,0.000000000000000000e+00,1.490224813718703800e-01
1.425000000000000155e-01,1.046852193834005629e+00,1.517640262489036829e+01,7.684714957654560641e-02,0.000000000000000000e+00,1.595971148696295472e-01
1.450000000000000178e-01,1.084951863410376749e+00,1.545627094769215581e+01,8.090656594615258657e-02,0.000000000000000000e+00,1.707374187438251145e-01
1.475000000000000200e-01,1.123751686849224773e+00,1.573699030458206138e+01,8.511187315463016045e-02,0.000000000000000000e+00,1.824639530136194232e-01
1.500000000000000222e-01,1.163253791666686077e+00,1.601856057448624426e+01,8.946614393734016180e-02,0.000000000000000000e+00,1.947977152284761648e-01
1.525000000000000244e-01,1.203460305074367964e+00,1.630098163307590653e+01,9.397247483529316825e-02,0.000000000000000000e+00,2.077601438813547752e-01
1.550000000000000266e-01,1.244373353971225393e+00,1.658425335279238411e+01,9.863398662737961342e-02,0.000000000000000000e+00,2.213731218302459614e-01
1.575000000000000289e-01,1.285995064935497867e+00,1.686837560286768323e+01,1.032125615393591211e-01,0.000000000000000000e+00,2.356376343302891696e-01
1.600000000000000311e-01,1.328327564216696288e+00,1.715334824934222269e+01,1.076347607730057249e-01,0.000000000000000000e+00,2.505645952657316045e-01
1.625000000000000333e-01,1.371372977727631781e+00,1.743917115508079974e+01,1.121346958650520920e-01,0.000000000000000000e+00,2.661291699500602514e-01
1.650000000000000355e-01,1.415133431036486034e+00,1.772584417978525195e+01,1.167646826608396277e-01,0.000000000000000000e+00,2.823425537135010877e-01
1.675000000000000377e-01,1.459611049358906953e+00,1.801336718000451853e+01,1.215262501482047008e-01,0.000000000000000000e+00,2.992234250649870586e-01
1.700000000000000400e-01,1.504807957550132524e+00,1.830174000914234256e+01,1.264208997485366526e-01,0.000000000000000000e+00,3.167906806800256381e-01
1.725000000000000422e-01,1.550726280097131315e+00,1.859096251746494133e+01,1.314501051030728951e-01,0.000000000000000000e+00,3.350634314512863643e-01
1.750000000000000444e-01,1.597368141110761197e+00,1.888103455210491788e+01,1.366153106462198452e-01,0.000000000000000000e+00,3.540609984564754287e-01
1.775000000000000466e-01,1.644735664317935164e+00,1.917192924963392997e+01,1.419178643506369408e-01,0.000000000000000000e+00,3.738029105204904723e-01
1.800000000000000488e-01,1.692830695366225546e+00,1.946268005802503964e+01,1.473584077026944272e-01,0.000000000000000000e+00,3.943088545761521679e-01
1.825000000000000511e-01,1.741652258272484266e+00,1.975282285171531527e+01,1.529373972231659329e-01,0.000000000000000000e+00,4.155986115200370201e-01
1.850000000000000533e-01,1.791198832765987126e+00,2.004235721831905437e+01,1.586552305852108047e-01,0.000000000000000000e+00,4.376920257861842134e-01
1.875000000000000555e-01,1.841468897545924799e+00,2.033128274699545202e+01,1.645122477161555796e-01,0.000000000000000000e+00,4.606089970149867541e-01
1.900000000000000577e-01,1.892460930285274845e+00,2.061959902846169612e+01,1.705087307499105476e-01,0.000000000000000000e+00,4.843694717794472804e-01
1.925000000000000600e-01,1.944173407634702588e+00,2.090730565500381388e+01,1.766449055531836010e-01,0.000000000000000000e+00,5.089934353768192921e-01
1.950000000000000622e-01,1.996604805226485979e+00,2.119440222048414313e+01,1.829209408999997177e-01,0.000000000000000000e+00,5.345009036827791382e-01
1.975000000000000644e-01,2.049753597678462214e+00,2.148088832034720141e+01,1.893369501318073467e-01,0.000000000000000000e+00,5.609119150832734269e-01
2.000000000000000666e-01,2.103618258597983459e+00,2.176676355162761212e+01,1.958929903154001950e-01,0.000000000000000000e+00,5.882465224688349092e-01
2.025000000000000688e-01,2.158197260585898114e+00,2.205205039883239948e+01,2.025891283754129024e-01,0.000000000000000000e+00,6.165247837197302960e-01
2.050000000000000711e-01,2.213489313194279884e+00,2.233757657410191655e+01,2.094260299279474269e-01,0.000000000000000000e+00,6.457667976720302683e-01
2.075000000000000733e-01,2.269495542510638231e+00,2.262373924545507364e+01,2.164044484664059964e-01,0.000000000000000000e+00,6.759927536584423580e-01
2.100000000000000755e-01,2.326217539664021228e+00,2.291053821743996721e+01,2.235251051087714380e-01,0.000000000000000000e+00,7.072229481109258975e-01
