Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,7.149246839658002575e-03,0.000000000000000000e+00,2.317943948214001935e-04
2.500000000000000052e-03,9.988587687634300355e-03,1.528350881361490755e-02,7.149246835866231858e-03,0.000000000000000000e+00,1.255848572392167031e-03
5.000000000000000104e-03,1.006053242511190798e-02,1.100971001424717599e-01,7.149246776536272510e-03,0.000000000000000000e+00,2.279902767258493168e-03
7.499999999999999722e-03,1.041466348666033812e-02,2.844479253018160625e-01,7.149246605603951261e-03,0.000000000000000000e+00,3.303957042082083205e-03
1.000000000000000021e-02,1.125466880884238088e-02,5.196148593480393041e-01,7.149246300454221992e-03,0.000000000000000000e+00,4.328011539849072227e-03
1.250000000000000069e-02,1.269435269335474244e-02,7.765785992137799187e-01,7.149245794742377196e-03,0.000000000000000000e+00,5.352066513952507230e-03
1.500000000000000118e-02,1.478835770737955795e-02,1.052965812275572954e+00,7.149244695679410691e-03,0.000000000000000000e+00,6.376122365603085693e-03
1.750000000000000167e-02,1.758084153678685785e-02,1.337073127971925679e+00,7.149243333407071486e-03,0.000000000000000000e+00,7.400179671868035818e-03
2.000000000000000042e-02,2.108633759371052532e-02,1.626013510609290336e+00,7.149241300389260097e-03,0.000000000000000000e+00,8.424239217817772532e-03
2.249999999999999917e-02,2.531692810298500490e-02,1.919786163258236478e+00,7.149238213467907881e-03,0.000000000000000000e+00,9.448302033133716693e-03
2.499999999999999792e-02,3.028469325340157198e-02,2.218390210375952964e+00,7.149233144715319219e-03,0.000000000000000000e+00,1.047236942889021895e-02
2.749999999999999667e-02,3.600171099785168249e-02,2.521824691882225800e+00,7.149227579190601915e-03,0.000000000000000000e+00,1.149644305653811822e-02
2.999999999999999542e-02,4.248083145714880854e-02,2.827092148227265067e+00,7.149219482309286319e-03,0.000000000000000000e+00,1.252052488873510276e-02
3.249999999999999417e-02,4.972051798370574066e-02,3.127946389365106494e+00,7.149212277256121115e-03,0.000000000000000000e+00,1.354461731579074263e-02
3.499999999999999639e-02,5.770973557838422752e-02,3.424211381376526475e+00,7.149203151667515160e-03,0.000000000000000000e+00,1.456872307767575168e-02
3.749999999999999861e-02,6.643700912281680360e-02,3.715883586022612484e+00,7.149189989824417113e-03,0.000000000000000000e+00,1.559284535410406132e-02
4.000000000000000083e-02,7.589085462197316112e-02,4.002959409364628129e+00,7.149173815745942136e-03,0.000000000000000000e+00,1.661698784117871669e-02
4.250000000000000305e-02,8.605977906583439641e-02,4.285435203368749946e+00,7.149154620457823586e-03,0.000000000000000000e+00,1.764115475839778818e-02
4.500000000000000527e-02,9.693228029493014541e-02,4.563307267444517201e+00,7.149134784226115168e-03,0.000000000000000000e+00,1.866535086799767096e-02
4.750000000000000749e-02,1.084968468697317528e-01,4.836571849958216873e+00,7.149108718235242486e-03,0.000000000000000000e+00,1.968958146763336373e-02
5.000000000000000971e-02,1.207419579438326340e-01,5.105225149668770612e+00,7.149082992198136331e-03,0.000000000000000000e+00,2.071385252409816899e-02
5.250000000000001193e-02,1.336560833220684918e-01,5.369359423676643317e+00,7.149049422277666162e-03,0.000000000000000000e+00,2.173817041590884319e-02
5.500000000000001416e-02,1.472286540578421343e-01,5.632302948012395838e+00,7.149012637930397471e-03,0.000000000000000000e+00,2.276254209349177701e-02
5.750000000000001638e-02,1.614588133617462506e-01,5.895650834085365943e+00,7.148970599895850160e-03,0.000000000000000000e+00,2.378697502670315891e-02
6.000000000000001860e-02,1.763475714222562107e-01,6.159401845505110273e+00,7.148925894896997202e-03,0.000000000000000000e+00,2.481147722997532196e-02
6.250000000000001388e-02,1.918959353531199397e-01,6.423554771527103746e+00,7.148878418259595365e-03,0.000000000000000000e+00,2.583605725921851032e-02
