Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416924817864612e-03,1.255359836809186169e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026648342805841e-02,9.917763322935008174e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037072917253006703e-02,2.598798569141308468e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951328289272333e-02,4.772253608426740845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246261647117135468e-02,7.148745714112137994e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439093879537016452e-02,9.706181545972580871e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696561790983752357e-02,1.233557418322777988e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020020414696403060e-02,1.501004764452757323e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410596799528038139e-02,1.772960700554510050e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869418121178664641e-02,2.049425727802449249e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.397611681280646168e-02,2.330400354994846879e+00,2.832305280667778476e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,3.996377046549829531e-02,2.613094652832921749e+00,-1.485320035746369542e-15,0.000000000000000000e+00,7.068468421143180292e-17
3.249999999999999417e-02,4.665574380392639720e-02,2.891693489834431308e+00,-3.244532864980890007e-15,0.000000000000000000e+00,1.048779179593694237e-15
3.499999999999999639e-02,5.404179744403991154e-02,3.166034856265338426e+00,-2.351468930627489352e-14,0.000000000000000000e+00,3.279751299935175216e-15
3.749999999999999861e-02,6.211128699672555098e-02,3.436117487328465891e+00,2.326503364276014926e-05,0.000000000000000000e+00,2.605893003555158560e-07
4.000000000000000083e-02,7.085356493451833160e-02,3.701940160639380917e+00,1.250531441542566979e-04,0.000000000000000000e+00,7.166099778390340444e-06
4.250000000000000305e-02,8.025798069374347199e-02,3.963501690557086565e+00,3.163488025464726247e-04,0.000000000000000000e+00,3.172479670430801825e-05
4.500000000000000527e-02,9.031388076377365459e-02,4.220800922351402029e+00,6.084891270905789813e-04,0.000000000000000000e+00,8.700556512520365689e-05
4.750000000000000749e-02,1.010106087619110499e-01,4.473836728129313656e+00,1.008845906019907070e-03,0.000000000000000000e+00,1.876919999963502686e-04
5.000000000000000971e-02,1.123375054985954052e-01,4.722608003330517334e+00,1.524476286242834860e-03,0.000000000000000000e+00,3.495130748874049516e-04
5.250000000000001193e-02,1.242839090339140501e-01,4.967199290315729598e+00,2.162320692392404823e-03,0.000000000000000000e+00,5.891920738234227364e-04
5.500000000000001416e-02,1.368400450176032179e-01,5.210707877552190226e+00,2.930979116656306366e-03,0.000000000000000000e+00,9.245356262771694308e-04
5.750000000000001638e-02,1.500051817165886925e-01,5.454620346742951931e+00,3.818672711959551595e-03,0.000000000000000000e+00,1.374368684388561392e-03
6.000000000000001860e-02,1.637803287808353436e-01,5.698936600259189689e+00,4.784914749337599270e-03,0.000000000000000000e+00,1.953249115947564268e-03
6.250000000000001388e-02,1.781664956186553850e-01,5.943656544776072970e+00,5.829971392779934210e-03,0.000000000000000000e+00,2.672995015746587252e-03
6.500000000000001610e-02,1.931646914069624077e-01,6.188780090550513258e+00,6.953456882285987545e-03,0.000000000000000000e+00,3.545002031349230292e-03
6.750000000000001832e-02,2.087759251000920468e-01,6.434307151056340324e+00,8.158652057943050276e-03,0.000000000000000000e+00,4.580611063963948779e-03
7.000000000000002054e-02,2.250012054362287572e-01,6.680237646058142964e+00,9.448853406069497585e-03,0.000000000000000000e+00,5.791633469448441082e-03
7.250000000000002276e-02,2.418415409826382700e-01,6.926571540175104680e+00,1.082737310176909960e-02,0.000000000000000000e+00,7.190353301240501316e-03
7.500000000000002498e-02,2.592979402478331474e-01,7.173308833325187095e+00,1.229753904383230727e-02,0.000000000000000000e+00,8.789529558529152534e-03
7.750000000000002720e-02,2.773714117264208801e-01,7.420449519634898294e+00,1.386269488271284558e-02,0.000000000000000000e+00,1.060239843941422969e-02
8.000000000000002942e-02,2.960629638921121187e-01,7.667993585033248571e+00,1.552620004574947928e-02,0.000000000000000000e+00,1.264267559801090547e-02
8.250000000000003164e-02,3.153736051779608696e-01,7.915941005542700637e+00,1.729142976185802164e-02,0.000000000000000000e+00,1.492455840519886154e-02
8.500000000000003386e-02,3.353043439522220837e-01,8.164291748417996430e+00,1.916177508639460569e-02,0.000000000000000000e+00,1.746272821282066068e-02
8.750000000000003608e-02,3.558561884969653200e-01,8.413045773117712400e+00,2.114064292255081121e-02,0.000000000000000000e+00,2.027235262134322383e-02
8.999999999999999667e-02,3.770301469890415813e-01,8.662203032136865488e+00,2.323146265791749959e-02,0.000000000000000000e+00,2.336908583909517653e-02
9.249999999999999889e-02,3.988272533534754638e-01,8.912177504488791868e+00,2.543795310712539462e-02,0.000000000000000000e+00,2.676908874062858962e-02
9.500000000000000111e-02,4.212499948286126394e-01,9.163383268303507023e+00,2.776398399520133356e-02,0.000000000000000000e+00,3.048905605639855992e-02
