Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567481707710458e-03,1.496323928512193965e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932776424622518e-02,1.088168232262113344e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951164774603366e-02,2.815694414295912829e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117340957762716e-02,5.146523567208216576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266721169826118612e-02,7.693621177141998224e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474184371836534391e-02,1.043345879013278799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750888963474287949e-02,1.324995885850237087e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098278737560788088e-02,1.611449702558631625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517554679939365547e-02,1.902707926085420720e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009917926231184260e-02,2.198771156303761298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576569763161981108e-02,2.499640010046166871e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218788469872510050e-02,2.802342874237937487e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936425679195972221e-02,3.100685770289002718e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728391318339719901e-02,3.394496083976020095e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593552162932797556e-02,3.683772417310854141e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530774641530774138e-02,3.968513416599376953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538924846308362793e-02,4.248717765496272669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616868542087672611e-02,4.524384179322400890e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,1.076347117400590081e-01,4.795511400467590946e+00,-2.862158264545673967e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000971e-02,1.197759787404932275e-01,5.062098194474813795e+00,-1.520909650929190505e-14,0.000000000000000000e+00,1.223649756373586123e-16
5.250000000000001193e-02,1.325811346675664359e-01,5.324234556137315444e+00,-6.921449209709919902e-14,0.000000000000000000e+00,3.991803363812388924e-15
5.500000000000001416e-02,1.460397730668896166e-01,5.585219637829429651e+00,-1.407855444224414957e-13,0.000000000000000000e+00,2.647899852804923850e-14
5.750000000000001638e-02,1.601511194980452801e-01,5.846636933356568200e+00,-8.220674678732535557e-14,0.000000000000000000e+00,8.303669683770767148e-14
6.000000000000001860e-02,1.749162544454928303e-01,6.108486352260689145e+00,-9.378714889516651918e-14,0.000000000000000000e+00,1.927442334975773695e-13
6.250000000000001388e-02,1.903362581678117171e-01,6.370767806998939520e+00,7.794076314668196227e-13,0.000000000000000000e+00,3.812319803251417112e-13
6.500000000000001610e-02,2.064122107075945511e-01,6.633481214785041047e+00,1.281560928376515690e-12,0.000000000000000000e+00,6.531844645686055421e-13
6.750000000000001832e-02,2.231451919159553599e-01,6.896626531861514309e+00,1.570752644375231068e-12,0.000000000000000000e+00,1.014354615682361172e-12
7.000000000000002054e-02,2.405362815855646152e-01,7.160203765018574806e+00,1.732783859495203843e-12,0.000000000000000000e+00,1.480011415717085418e-12
7.250000000000002276e-02,2.585865595093425617e-01,7.424212916405320328e+00,3.340488808942671161e-12,0.000000000000000000e+00,2.083123694426886606e-12
7.500000000000002498e-02,2.772971054782492617e-01,7.688653980441166880e+00,4.017289505091609543e-12,0.000000000000000000e+00,2.819061061917822887e-12
7.750000000000002720e-02,2.966689992628992467e-01,7.953526939951253816e+00,3.799775875115941634e-12,0.000000000000000000e+00,3.705904823954876430e-12
8.000000000000002942e-02,3.167033205851677025e-01,8.218831767077571016e+00,4.404052077011569546e-12,0.000000000000000000e+00,4.780512884420796991e-12
8.250000000000003164e-02,3.374011490929257895e-01,8.484568426598015023e+00,1.027624208810381906e-11,0.000000000000000000e+00,6.060527476694138174e-12
8.500000000000003386e-02,3.587635643410473363e-01,8.750736873855714748e+00,8.395185978763077650e-12,0.000000000000000000e+00,7.455274189345425802e-12
