Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567481707710458e-03,1.496323928512193965e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932776424622518e-02,1.088168232262113344e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951164774603366e-02,2.815694414295912829e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117340957762716e-02,5.146523567208216576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266721169826118612e-02,7.693621177141998224e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474184371836534391e-02,1.043345879013278799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750888963474287949e-02,1.324995885850237087e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098278737560788088e-02,1.611449702558631625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517554679939365547e-02,1.902707926085420720e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009917926231184260e-02,2.198771156303761298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576569763161981108e-02,2.499640010046166871e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218788469872510050e-02,2.802342874237937487e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936425679195972221e-02,3.100685770289002718e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728391318339719901e-02,3.394496083976020095e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593552162932797556e-02,3.683772417310854141e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530774641530774138e-02,3.968513416599376953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538924846308362793e-02,4.248717765496272669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616868542087672611e-02,4.524384179322400890e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,1.076347117400590081e-01,4.795511400467590946e+00,1.352350854093244196e-16,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000971e-02,1.197759787404932275e-01,5.062098194474824453e+00,4.874234153165023120e-15,0.000000000000000000e+00,-1.713048176796127056e-15
5.250000000000001193e-02,1.325811346675664915e-01,5.324234556137335872e+00,1.710042444616464140e-15,0.000000000000000000e+00,-6.992695050144109421e-15
5.500000000000001416e-02,1.460397730668896998e-01,5.585219637829399453e+00,-9.024535524915804764e-14,0.000000000000000000e+00,-2.289051784766051372e-14
5.750000000000001638e-02,1.601511194980452801e-01,5.846636933356493593e+00,7.408639742814010884e-14,0.000000000000000000e+00,-4.402364585682354243e-14
6.000000000000001860e-02,1.749162544454926360e-01,6.108486352260591445e+00,4.685277671315715767e-14,0.000000000000000000e+00,-8.833983328750905709e-14
6.250000000000001388e-02,1.903362581678112730e-01,6.370767806998893334e+00,-6.109243292632367830e-14,0.000000000000000000e+00,-1.652401887933943459e-13
6.500000000000001610e-02,2.064122107075940238e-01,6.633481214785145852e+00,-4.785519558355711373e-13,0.000000000000000000e+00,-2.895191273377748402e-13
6.750000000000001832e-02,2.231451919159552488e-01,6.896626531861914877e+00,-9.912293693548522426e-13,0.000000000000000000e+00,-4.611756276431501886e-13
7.000000000000002054e-02,2.405362815855657532e-01,7.160203765019488742e+00,-1.007495872347280385e-12,0.000000000000000000e+00,-6.770813932734933544e-13
7.250000000000002276e-02,2.585865595093462810e-01,7.424212916406929708e+00,3.731002819853563513e-13,0.000000000000000000e+00,-9.362759652900014632e-13
7.500000000000002498e-02,2.772971054782574218e-01,7.688653980443612923e+00,4.807682732842246473e-13,0.000000000000000000e+00,-1.291687761001956163e-12
7.750000000000002720e-02,2.966689992629140682e-01,7.953526939954704389e+00,6.506871543901380114e-13,0.000000000000000000e+00,-1.758383626452078708e-12
8.000000000000002942e-02,3.167033205851917388e-01,8.218831767082200201e+00,5.044163869723723451e-12,0.000000000000000000e+00,-2.399704317086348172e-12
8.250000000000003164e-02,3.374011490929621493e-01,8.484568426604024438e+00,9.049488983682294766e-12,0.000000000000000000e+00,-3.342614886622327873e-12
