Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567481707710458e-03,1.496323928512193965e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932776424622518e-02,1.088168232262113344e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951164774603366e-02,2.815694414295912829e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117340957762716e-02,5.146523567208216576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266721169826118612e-02,7.693621177141998224e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474184371836534391e-02,1.043345879013278799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750888963474287949e-02,1.324995885850237087e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098278737560788088e-02,1.611449702558631625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517554679939365547e-02,1.902707926085420720e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009917926231184260e-02,2.198771156303761298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576569763161981108e-02,2.499640010046166871e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218788469872510050e-02,2.802342874237937487e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936425679195972221e-02,3.100685770289002718e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728391318339719901e-02,3.394496083976020095e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593552162932797556e-02,3.683772417310854141e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530774641530774138e-02,3.968513416599376953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538924846308362793e-02,4.248717765496272669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616868542087672611e-02,4.524384179322400890e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,1.076347117400590081e-01,4.795511400467590946e+00,1.263457166417531398e-14,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000971e-02,1.197759787404932275e-01,5.062098194474812907e+00,2.182038215797891252e-14,0.000000000000000000e+00,-7.575848658585072531e-16
5.250000000000001193e-02,1.325811346675664359e-01,5.324234556137315444e+00,5.611040866784231161e-14,0.000000000000000000e+00,-9.942479138609873996e-15
5.500000000000001416e-02,1.460397730668895888e-01,5.585219637829426986e+00,-1.073742008194835915e-13,0.000000000000000000e+00,-4.711574448060019207e-14
5.750000000000001638e-02,1.601511194980452246e-01,5.846636933356613497e+00,-2.348943913432372624e-13,0.000000000000000000e+00,-1.153296962197119525e-13
6.000000000000001860e-02,1.749162544454929691e-01,6.108486352260936947e+00,-3.922017258740908219e-13,0.000000000000000000e+00,-2.323964621946791510e-13
6.250000000000001388e-02,1.903362581678126331e-01,6.370767806999537264e+00,-1.041115403935483906e-12,0.000000000000000000e+00,-4.079427279718806455e-13
6.500000000000001610e-02,2.064122107075972157e-01,6.633481214786158375e+00,-9.406711290912432994e-13,0.000000000000000000e+00,-6.423487283540237714e-13
6.750000000000001832e-02,2.231451919159611885e-01,6.896626531863331522e+00,-8.209139026886349782e-13,0.000000000000000000e+00,-9.533273416812600817e-13
7.000000000000002054e-02,2.405362815855754677e-01,7.160203765021312172e+00,-2.415770964392888191e-12,0.000000000000000000e+00,-1.384112924632755556e-12
7.250000000000002276e-02,2.585865595093608249e-01,7.424212916409159924e+00,-3.723949455079825785e-12,0.000000000000000000e+00,-1.905246218647813935e-12
7.500000000000002498e-02,2.772971054782777944e-01,7.688653980446284564e+00,-7.402692430281183917e-12,0.000000000000000000e+00,-2.512244435148333943e-12
7.750000000000002720e-02,2.966689992629413797e-01,7.953526939957900943e+00,-7.325276753115382922e-12,0.000000000000000000e+00,-3.116826988488068894e-12
8.000000000000002942e-02,3.167033205852274325e-01,8.218831767086019369e+00,-8.210704569971192985e-12,0.000000000000000000e+00,-3.735994470757363452e-12
8.250000000000003164e-02,3.374011490930078350e-01,8.484568426608598557e+00,-1.102090181558276427e-11,0.000000000000000000e+00,-4.322780430026781558e-12
