Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567478104556224e-03,1.496318161661512602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932754738794906e-02,1.088165925367223924e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951071958629709e-02,2.815689223432785715e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117097659627258e-02,5.146514609945163077e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266720680176714776e-02,7.693608136726561852e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474183532025208354e-02,1.043344138407749977e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750887663265460539e-02,1.324993697390840053e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098276864586941237e-02,1.611447059127975034e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517552120052786099e-02,1.902704820551434528e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009914563500270049e-02,2.198767581519166292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576565479867429426e-02,2.499635958848263506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218783146390960720e-02,2.802338343799758658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936419196085068545e-02,3.100680766840587577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728383557714364360e-02,3.394490613992995787e+00,1.302680721247477198e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593543008526585314e-02,3.683766487264916289e+00,7.699244835813903818e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530763978695061145e-02,3.968507032959172953e+00,2.032461354218990078e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538912562011545526e-02,4.248710934728181954e+00,4.010144228220175171e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616854524914661417e-02,4.524376907895687694e+00,6.760879267481637988e-04,0.000000000000000000e+00,6.674500758458309327e-05
4.750000000000000749e-02,1.076345531414275997e-01,4.795503694722389909e+00,1.034034630063570843e-03,0.000000000000000000e+00,1.756169917112453984e-04
5.000000000000000971e-02,1.197758006331593045e-01,5.062090061449447731e+00,1.480170567130691421e-03,0.000000000000000000e+00,3.386584089735895681e-04
5.250000000000001193e-02,1.325809359874547400e-01,5.324226003084948644e+00,2.017136713408324272e-03,0.000000000000000000e+00,5.686910846410070603e-04
5.500000000000001416e-02,1.460395527669334781e-01,5.585210665924296158e+00,2.618078036497228228e-03,0.000000000000000000e+00,8.775567538692195845e-04
5.750000000000001638e-02,1.601508765310097337e-01,5.846627542042610592e+00,3.274431292598650560e-03,0.000000000000000000e+00,1.274171526857768725e-03
6.000000000000001860e-02,1.749159877615670822e-01,6.108476540260880050e+00,3.984396792911672376e-03,0.000000000000000000e+00,1.766550721634257319e-03
6.250000000000001388e-02,1.903359667148512846e-01,6.370757573531823148e+00,4.750159426332501746e-03,0.000000000000000000e+00,2.362452247995450259e-03
6.500000000000001610e-02,2.064118934312126341e-01,6.633470558641796799e+00,5.574142993072342921e-03,0.000000000000000000e+00,3.069947355430739915e-03
6.750000000000001832e-02,2.231448477590571577e-01,6.896615452390063794e+00,6.458782923366788997e-03,0.000000000000000000e+00,3.897454855536591073e-03
7.000000000000002054e-02,2.405359094893577132e-01,7.160192261386789880e+00,7.406526290729738109e-03,0.000000000000000000e+00,4.853742788763278082e-03
7.250000000000002276e-02,2.585861584130660917e-01,7.424200987868583290e+00,8.419831847987824941e-03,0.000000000000000000e+00,5.947930093308217633e-03
7.500000000000002498e-02,2.772966743191843109e-01,7.688641626174860022e+00,9.501170029221359462e-03,0.000000000000000000e+00,7.189488277634052855e-03
7.750000000000002720e-02,2.966685369762644964e-01,7.953514159127471395e+00,1.065302298219512368e-02,0.000000000000000000e+00,8.588243095846692307e-03
8.000000000000002942e-02,3.167028261043082216e-01,8.218818559398430423e+00,1.187788459000671364e-02,0.000000000000000000e+00,1.015437622585185599e-02
8.250000000000003164e-02,3.374006213500582718e-01,8.484554790728269680e+00,1.317826047752924598e-02,0.000000000000000000e+00,1.189842695018375127e-02
8.500000000000003386e-02,3.587630022652357198e-01,8.750722808958904864e+00,1.455666803710289545e-02,0.000000000000000000e+00,1.383129383954007433e-02
8.750000000000003608e-02,3.807910482872757796e-01,9.017322562913168582e+00,1.601563645071102729e-02,0.000000000000000000e+00,1.596423643912590895e-02
8.999999999999999667e-02,4.034858387221930132e-01,9.284353995147219152e+00,1.755771163166647622e-02,0.000000000000000000e+00,1.830887554682672502e-02
9.249999999999999889e-02,4.268484802910381681e-01,9.552258154488134423e+00,1.918565315739756069e-02,0.000000000000000000e+00,2.087720803875313044e-02
9.500000000000000111e-02,4.508816280688014433e-01,9.821476205096349332e+00,2.090233202321220909e-02,0.000000000000000000e+00,2.368162694124942291e-02
9.750000000000000333e-02,4.755885668444406189e-01,1.009200825521188527e+01,2.271065532352354102e-02,0.000000000000000000e+00,2.673493769771019199e-02
1.000000000000000056e-01,5.009725816742678361e-01,1.036385440729448781e+01,2.461356648338918623e-02,0.000000000000000000e+00,3.005036334812897711e-02
1.025000000000000078e-01,5.270369578676640243e-01,1.063701475832263554e+01,2.661404536974384949e-02,0.000000000000000000e+00,3.364154973433209489e-02
1.050000000000000100e-01,5.537849809735210238e-01,1.091148940005569479e+01,2.871510853009644204e-02,0.000000000000000000e+00,3.752257073206010513e-02
1.075000000000000122e-01,5.812199367673211992e-01,1.118727841926431310e+01,3.091980936183265707e-02,0.000000000000000000e+00,4.170793350928019005e-02
1.100000000000000006e-01,6.093451112387781032e-01,1.146438189793342310e+01,3.323122665111841872e-02,0.000000000000000000e+00,4.621258747559795627e-02
1.125000000000000028e-01,6.381637324128464073e-01,1.174186899586348787e+01,3.565195352846681209e-02,0.000000000000000000e+00,5.105189571525463321e-02
1.150000000000000050e-01,6.676757603662166751e-01,1.201880829498142944e+01,3.818436896532925034e-02,0.000000000000000000e+00,5.624159302372002539e-02
1.175000000000000072e-01,6.978798251818507659e-01,1.229519916861960382e+01,4.083083640158202687e-02,0.000000000000000000e+00,6.179775445789845167e-02
1.200000000000000094e-01,7.287745556453656404e-01,1.257104127223228929e+01,4.359370393107843411e-02,0.000000000000000000e+00,6.773679312916947026e-02
1.225000000000000117e-01,7.603585796427699828e-01,1.284633425810228680e+01,4.647530445188090970e-02,0.000000000000000000e+00,7.407545800929027369e-02
1.250000000000000000e-01,7.926305241907611876e-01,1.312107779346794700e+01,4.947795526234583657e-02,0.000000000000000000e+00,8.083083173807538435e-02
1.275000000000000022e-01,8.255890154741855058e-01,1.339527154563637623e+01,5.260395883798198169e-02,0.000000000000000000e+00,8.802032843806435747e-02
1.300000000000000044e-01,8.592326788462739673e-01,1.366891518209827616e+01,5.585557542233660078e-02,0.000000000000000000e+00,9.566169069557131643e-02
1.325000000000000067e-01,8.935599933108343551e-01,1.394226216770386806e+01,5.923535389647638372e-02,0.000000000000000000e+00,1.037729924202937110e-01
1.350000000000000089e-01,9.285710276027937526e-01,1.421634143157874952e+01,6.274620478003750668e-02,0.000000000000000000e+00,1.123726912944670170e-01
1.375000000000000111e-01,9.642677404291130072e-01,1.449126699668608609e+01,6.639109092425886371e-02,0.000000000000000000e+00,1.214796587457352139e-01
1.400000000000000133e-01,1.000652247505502412e+00,1.476703879775284278e+01,7.017299928021654420e-02,0.000000000000000000e+00,1.311131914428667888e-01
1.425000000000000155e-01,1.037726664382824904e+00,1.504365676656273365e+01,7.409494058331880795e-02,0.000000000000000000e+00,1.412930147133546754e-01
1.450000000000000178e-01,1.075493106439753710e+00,1.532112083198593133e+01,7.815994955631741514e-02,0.000000000000000000e+00,1.520392859728142421e-01
1.475000000000000200e-01,1.113953688875503056e+00,1.559943092000481357e+01,8.237108509330980100e-02,0.000000000000000000e+00,1.633725981662899063e-01
1.500000000000000222e-01,1.153110526702621152e+00,1.587858695373526174e+01,8.673143020255898172e-02,0.000000000000000000e+00,1.753139832177960100e-01
1.525000000000000244e-01,1.192965734739833694e+00,1.615858885344515627e+01,9.124409155045611064e-02,0.000000000000000000e+00,1.878849154919398079e-01
1.550000000000000266e-01,1.233521427604932219e+00,1.643943653656895520e+01,9.591220111996485997e-02,0.000000000000000000e+00,2.011073152717084700e-01
1.575000000000000289e-01,1.274779719707696657e+00,1.672112991771964019e+01,1.007389138865935063e-01,0.000000000000000000e+00,2.150035522373487940e-01
1.600000000000000311e-01,1.316742725242848078e+00,1.700366890869688064e+01,1.048650444709564172e-01,0.000000000000000000e+00,2.295588468516452652e-01
1.625000000000000333e-01,1.359412558183016539e+00,1.728705341849284594e+01,1.093056000268955996e-01,0.000000000000000000e+00,2.447226545104609075e-01
1.650000000000000355e-01,1.402791332271725588e+00,1.757128335329582569e+01,1.138039628706033618e-01,0.000000000000000000e+00,2.605265151085404685e-01
1.675000000000000377e-01,1.446881161016382755e+00,1.785635861649119960e+01,1.184262855793459801e-01,0.000000000000000000e+00,2.769787650930580214e-01
1.700000000000000400e-01,1.491684157681272049e+00,1.814227910865970017e+01,1.231737601912029079e-01,0.000000000000000000e+00,2.940972000920727969e-01
1.725000000000000422e-01,1.537202435280538904e+00,1.842904472757435386e+01,1.280475439713379127e-01,0.000000000000000000e+00,3.118997854669681713e-01
1.750000000000000444e-01,1.583438106571169124e+00,1.871665536819383391e+01,1.330487586089929841e-01,0.000000000000000000e+00,3.304046513448163913e-01
1.775000000000000466e-01,1.630393284045947633e+00,1.900508443221475829e+01,1.381784249551927524e-01,0.000000000000000000e+00,3.496300892393418569e-01
1.800000000000000488e-01,1.678069804495309958e+00,1.929337326726671975e+01,1.434368587842683451e-01,0.000000000000000000e+00,3.695945021476040870e-01
1.825000000000000511e-01,1.726466706112550931e+00,1.958106155681237937e+01,1.488241901742917150e-01,0.000000000000000000e+00,3.903163404636481038e-01
1.850000000000000533e-01,1.775582487322378888e+00,1.986814892798136256e+01,1.543404863237221591e-01,0.000000000000000000e+00,4.118140712987010121e-01
1.875000000000000555e-01,1.825415645618003735e+00,2.015463500908689909e+01,1.599857544545988108e-01,0.000000000000000000e+00,4.341061696952818738e-01
1.900000000000000577e-01,1.875964677564096128e+00,2.044051942962681423e+01,1.657599404230508111e-01,0.000000000000000000e+00,4.572111099277494928e-01
