Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567478104556224e-03,1.496318161661512602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932754738794906e-02,1.088165925367223924e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951071958629709e-02,2.815689223432785715e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117097659627258e-02,5.146514609945163077e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266720680176714776e-02,7.693608136726561852e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474183532025208354e-02,1.043344138407749977e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750887663265460539e-02,1.324993697390840053e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098276864586941237e-02,1.611447059127975034e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517552120052786099e-02,1.902704820551434528e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009914563500270049e-02,2.198767581519166292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576565479867429426e-02,2.499635958848263506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218783146390960720e-02,2.802338343799758658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936419196085068545e-02,3.100680766840587577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728383557714364360e-02,3.394490613992995787e+00,1.302680721247477198e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593543008526585314e-02,3.683766487264916289e+00,7.699244835813903818e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530763978695061145e-02,3.968507032959172953e+00,2.032461354218990078e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538912562011545526e-02,4.248710934728181954e+00,4.010144228264880622e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616854524914661417e-02,4.524376907895688582e+00,6.760879266339362694e-04,0.000000000000000000e+00,6.674500757457112318e-05
4.750000000000000749e-02,1.076345531414275719e-01,4.795503694722366816e+00,1.034034630298101120e-03,0.000000000000000000e+00,1.756169916816870927e-04
5.000000000000000971e-02,1.197758006331592212e-01,5.062090061449489475e+00,1.480170568260988015e-03,0.000000000000000000e+00,3.386584089804164097e-04
5.250000000000001193e-02,1.325809359874548232e-01,5.324226003085159142e+00,2.017136714823746738e-03,0.000000000000000000e+00,5.686910848373101035e-04
5.500000000000001416e-02,1.460395527669341997e-01,5.585210665924742912e+00,2.618078037852732912e-03,0.000000000000000000e+00,8.775567542280383534e-04
5.750000000000001638e-02,1.601508765310117599e-01,5.846627542043377979e+00,3.274431294244732702e-03,0.000000000000000000e+00,1.274171527378361625e-03
6.000000000000001860e-02,1.749159877615712178e-01,6.108476540262080867e+00,3.984396793704846063e-03,0.000000000000000000e+00,1.766550722317165043e-03
6.250000000000001388e-02,1.903359667148586953e-01,6.370757573533563090e+00,4.750159427912409825e-03,0.000000000000000000e+00,2.362452248829294971e-03
6.500000000000001610e-02,2.064118934312247355e-01,6.633470558644184223e+00,5.574142993541615979e-03,0.000000000000000000e+00,3.069947356362916994e-03
6.750000000000001832e-02,2.231448477590756430e-01,6.896615452393256795e+00,6.458782921346737337e-03,0.000000000000000000e+00,3.897454856536932376e-03
7.000000000000002054e-02,2.405359094893846916e-01,7.160192261390932345e+00,7.406526287890236038e-03,0.000000000000000000e+00,4.853742789896253740e-03
7.250000000000002276e-02,2.585861584131040058e-01,7.424200987873791568e+00,8.419831841508452347e-03,0.000000000000000000e+00,5.947930094688344549e-03
7.500000000000002498e-02,2.772966743192358807e-01,7.688641626181218491e+00,9.501170022430747986e-03,0.000000000000000000e+00,7.189488279523517135e-03
7.750000000000002720e-02,2.966685369763326641e-01,7.953514159135096406e+00,1.065302298050193643e-02,0.000000000000000000e+00,8.588243098596204730e-03
8.000000000000002942e-02,3.167028261043962623e-01,8.218818559407427671e+00,1.187788459116371001e-02,0.000000000000000000e+00,1.015437622975660752e-02
8.250000000000003164e-02,3.374006213501696272e-01,8.484554790738780383e+00,1.317826047779191434e-02,0.000000000000000000e+00,1.189842695552126295e-02
8.500000000000003386e-02,3.587630022653742201e-01,8.750722808971037381e+00,1.455666803809942643e-02,0.000000000000000000e+00,1.383129384667694181e-02
8.750000000000003608e-02,3.807910482874455882e-01,9.017322562927098772e+00,1.601563645727458601e-02,0.000000000000000000e+00,1.596423644849127507e-02
8.999999999999999667e-02,4.034858387223987375e-01,9.284353995163195705e+00,1.755771164953523478e-02,0.000000000000000000e+00,1.830887555887704063e-02
9.249999999999999889e-02,4.268484802912850262e-01,9.552258154506354515e+00,1.918565317278730226e-02,0.000000000000000000e+00,2.087720805377579411e-02
9.500000000000000111e-02,4.508816280690952083e-01,9.821476205116962177e+00,2.090233205865808450e-02,0.000000000000000000e+00,2.368162695954200564e-02
9.750000000000000333e-02,4.755885668447873416e-01,1.009200825523502765e+01,2.271065536166822635e-02,0.000000000000000000e+00,2.673493771935522845e-02
1.000000000000000056e-01,5.009725816746739557e-01,1.036385440732041729e+01,2.461356653045433315e-02,0.000000000000000000e+00,3.005036337314127143e-02
1.025000000000000078e-01,5.270369578681366463e-01,1.063701475835153154e+01,2.661404539181326523e-02,0.000000000000000000e+00,3.364154976266179459e-02
1.050000000000000100e-01,5.537849809740675866e-01,1.091148940008780244e+01,2.871510855355344921e-02,0.000000000000000000e+00,3.752257076400586366e-02
1.075000000000000122e-01,5.812199367679501405e-01,1.118727841930016353e+01,3.091980936747801278e-02,0.000000000000000000e+00,4.170793354521714486e-02
1.100000000000000006e-01,6.093451112394990821e-01,1.146438189797376772e+01,3.323122664179160857e-02,0.000000000000000000e+00,4.621258751624713473e-02
1.125000000000000028e-01,6.381637324136710809e-01,1.174186899590898037e+01,3.565195354106238945e-02,0.000000000000000000e+00,5.105189576141772045e-02
1.150000000000000050e-01,6.676757603671581442e-01,1.201880829503271109e+01,3.818436898446688627e-02,0.000000000000000000e+00,5.624159307615711478e-02
1.175000000000000072e-01,6.978798251829240185e-01,1.229519916867724127e+01,4.083083632544131508e-02,0.000000000000000000e+00,6.179775451733628827e-02
1.200000000000000094e-01,7.287745556465867747e-01,1.257104127229647617e+01,4.359370386761812766e-02,0.000000000000000000e+00,6.773679319756176209e-02
1.225000000000000117e-01,7.603585796441554301e-01,1.284633425817318653e+01,4.647530432967381803e-02,0.000000000000000000e+00,7.407545808883055083e-02
1.250000000000000000e-01,7.926305241923277123e-01,1.312107779354553294e+01,4.947795515159319341e-02,0.000000000000000000e+00,8.083083183187156351e-02
1.275000000000000022e-01,8.255890154759497612e-01,1.339527154572041034e+01,5.260395877718358065e-02,0.000000000000000000e+00,8.802032854924149441e-02
1.300000000000000044e-01,8.592326788482519406e-01,1.366891518218822554e+01,5.585557540923610786e-02,0.000000000000000000e+00,9.566169082735410945e-02
1.325000000000000067e-01,8.935599933130403683e-01,1.394226216779930638e+01,5.923535398048479506e-02,0.000000000000000000e+00,1.037729925754897198e-01
1.350000000000000089e-01,9.285710276052416834e-01,1.421634143167926645e+01,6.274620470327407773e-02,0.000000000000000000e+00,1.123726914751368433e-01
1.375000000000000111e-01,9.642677404318147349e-01,1.449126699679103503e+01,6.639109065518866704e-02,0.000000000000000000e+00,1.214796589557978618e-01
1.400000000000000133e-01,1.000652247508468706e+00,1.476703879786164819e+01,7.017299890470640733e-02,0.000000000000000000e+00,1.311131916884506199e-01
1.425000000000000155e-01,1.037726664386065201e+00,1.504365676667529428e+01,7.409494018252277270e-02,0.000000000000000000e+00,1.412930150023659903e-01
1.450000000000000178e-01,1.075493106443277336e+00,1.532112083210214593e+01,7.815994905521882197e-02,0.000000000000000000e+00,1.520392863140080097e-01
1.475000000000000200e-01,1.113953688879319115e+00,1.559943092012450272e+01,8.237108440896037664e-02,0.000000000000000000e+00,1.633725985702029482e-01
1.500000000000000222e-01,1.153110526706738526e+00,1.587858695385886953e+01,8.673142968209240911e-02,0.000000000000000000e+00,1.753139836971547016e-01
1.525000000000000244e-01,1.192965734744262374e+00,1.615858885357338792e+01,9.124409123504909069e-02,0.000000000000000000e+00,1.878849160593109857e-01
1.550000000000000266e-01,1.233521427609684196e+00,1.643943653670263672e+01,9.591220068922243214e-02,0.000000000000000000e+00,2.011073159380569464e-01
1.575000000000000289e-01,1.274779719712786363e+00,1.672112991785901315e+01,1.007389134767612271e-01,0.000000000000000000e+00,2.150035530164696451e-01
1.600000000000000311e-01,1.316742725248289281e+00,1.700366890884150450e+01,1.048650437774843319e-01,0.000000000000000000e+00,2.295588477574801167e-01
1.625000000000000333e-01,1.359412558188822340e+00,1.728705341864275269e+01,1.093055994780965101e-01,0.000000000000000000e+00,2.447226555609544330e-01
1.650000000000000355e-01,1.402791332277909309e+00,1.757128335345155890e+01,1.138039621079607322e-01,0.000000000000000000e+00,2.605265163214781077e-01
1.675000000000000377e-01,1.446881161022959716e+00,1.785635861665386770e+01,1.184262849610488999e-01,0.000000000000000000e+00,2.769787664890314693e-01
1.700000000000000400e-01,1.491684157688260015e+00,1.814227910883078110e+01,1.231737599877997802e-01,0.000000000000000000e+00,2.940972016909677578e-01
1.725000000000000422e-01,1.537202435287959634e+00,1.842904472775418512e+01,1.280475439084667322e-01,0.000000000000000000e+00,3.118997872879527011e-01
1.750000000000000444e-01,1.583438106579044158e+00,1.871665536838181509e+01,1.330487591451092744e-01,0.000000000000000000e+00,3.304046534087721199e-01
1.775000000000000466e-01,1.630393284054297398e+00,1.900508443241054124e+01,1.381784256465294347e-01,0.000000000000000000e+00,3.496300915621131100e-01
1.800000000000000488e-01,1.678069804504153550e+00,1.929337326747002024e+01,1.434368593979723772e-01,0.000000000000000000e+00,3.695945047460020838e-01
1.825000000000000511e-01,1.726466706121906780e+00,1.958106155702213869e+01,1.488241909294347187e-01,0.000000000000000000e+00,3.903163433546666949e-01
1.850000000000000533e-01,1.775582487332262538e+00,1.986814892819629819e+01,1.543404876942401915e-01,0.000000000000000000e+00,4.118140745015828053e-01
1.875000000000000555e-01,1.825415645628426953e+00,2.015463500930497887e+01,1.599857558450919481e-01,0.000000000000000000e+00,4.341061732246483396e-01
1.900000000000000577e-01,1.875964677575066020e+00,2.044051942984680181e+01,1.657599424106951380e-01,0.000000000000000000e+00,4.572111137998197683e-01
