Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.566236844479593590e-14,0.000000000000000000e+00,1.200877719097184506e-14
2.500000000000000052e-03,9.988416937676641155e-03,1.255369808014294639e-02,1.072724135244690937e-13,0.000000000000000000e+00,2.431781456311875823e-14
5.000000000000000104e-03,1.005026686890157436e-02,9.917800311878911812e-02,7.659454958630984136e-13,0.000000000000000000e+00,1.746791812580379254e-13
7.499999999999999722e-03,1.037073068464123594e-02,2.598806137947496375e-01,2.276875217045989111e-12,0.000000000000000000e+00,4.619839171237924576e-13
1.000000000000000021e-02,1.113951697599841091e-02,4.772265732711779007e-01,2.822759160884119537e-12,0.000000000000000000e+00,9.672913824668527579e-13
1.250000000000000069e-02,1.246262353931521308e-02,7.148762958653911426e-01,1.024545330885885315e-11,0.000000000000000000e+00,1.905058471381203860e-12
1.500000000000000118e-02,1.439095069623192065e-02,9.706206334507607725e-01,1.389151458413471975e-11,0.000000000000000000e+00,2.873582918989936326e-12
1.750000000000000167e-02,1.696563687599177486e-02,1.233561134123710712e+00,3.825394743701518969e-11,0.000000000000000000e+00,3.708655784651858080e-12
2.000000000000000042e-02,2.020023376586425543e-02,1.501010464047600523e+00,5.760372511036878184e-11,0.000000000000000000e+00,3.433630229380881719e-12
2.249999999999999917e-02,2.410601386946161981e-02,1.772969378200240920e+00,4.076461340443491982e-11,0.000000000000000000e+00,6.576315034525878121e-13
2.499999999999999792e-02,2.869425154720909102e-02,2.049438576687873326e+00,2.150810700570028054e-11,0.000000000000000000e+00,-4.615357212509457487e-12
2.749999999999999667e-02,3.397622287742765174e-02,2.330418701555793781e+00,-1.311209972215941985e-11,0.000000000000000000e+00,-1.327383392481282013e-11
2.999999999999999542e-02,3.996392688464744936e-02,2.613119874989171088e+00,3.819791108354914889e-11,0.000000000000000000e+00,-2.442786893259255835e-11
3.249999999999999417e-02,4.665596858666602731e-02,2.891726871501950846e+00,6.760989369497083207e-11,0.000000000000000000e+00,-4.080217863107759700e-11
3.499999999999999639e-02,5.404211168801649479e-02,3.166077476094628196e+00,-2.734961957484408180e-11,0.000000000000000000e+00,-6.417293763590852999e-11
3.749999999999999861e-02,6.211171433093203020e-02,3.436170126768153033e+00,3.880867526173578879e-11,0.000000000000000000e+00,-9.359023026322961540e-11
4.000000000000000083e-02,7.085413073003632434e-02,3.702003219358871000e+00,-8.426844509786784590e-11,0.000000000000000000e+00,-1.316562879535900142e-10
4.250000000000000305e-02,8.025871106594552329e-02,3.963575105742815907e+00,-1.206086463549679819e-10,0.000000000000000000e+00,-1.778509188337332127e-10
