Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,9.939640473153965594e-02,0.000000000000000000e+00,1.433056413482123453e-02
2.500000000000000052e-03,9.988416970662558972e-03,1.255366394231837227e-02,9.939640469983115900e-02,0.000000000000000000e+00,2.856805037171633588e-02
5.000000000000000104e-03,1.005026679371089429e-02,9.917769209960081156e-02,9.939640457819581831e-02,0.000000000000000000e+00,4.280553670069480593e-02
7.499999999999999722e-03,1.037072957316776539e-02,2.598794637382519923e-01,9.939640425886278607e-02,0.000000000000000000e+00,5.704302335748296510e-02
1.000000000000000021e-02,1.113951230863630126e-02,4.772236924696213745e-01,9.939640353396192451e-02,0.000000000000000000e+00,7.128051081919475895e-02
1.250000000000000069e-02,1.246261038402947732e-02,7.148704670751016010e-01,9.939640221552963062e-02,0.000000000000000000e+00,8.551799989787020606e-02
1.500000000000000118e-02,1.439092089518365786e-02,9.706103148369444877e-01,9.939639996471334726e-02,0.000000000000000000e+00,9.975549183228950290e-02
1.750000000000000167e-02,1.696557823496189221e-02,1.233544460259619280e+00,9.939639638015057566e-02,0.000000000000000000e+00,1.139929883886014322e-01
2.000000000000000042e-02,2.020012924387519504e-02,1.500985244123537399e+00,9.939639106581095451e-02,0.000000000000000000e+00,1.282304919648529218e-01
2.249999999999999917e-02,2.410584076365235306e-02,1.772933093231278345e+00,9.939638354353835803e-02,0.000000000000000000e+00,1.424680056981154352e-01
2.499999999999999792e-02,2.869398067002172301e-02,2.049388375666682638e+00,9.939637300845108325e-02,0.000000000000000000e+00,1.567055335739339916e-01
2.749999999999999667e-02,3.397581772356086938e-02,2.330351396561858301e+00,9.939635881119154859e-02,0.000000000000000000e+00,1.709430805496965633e-01
2.999999999999999542e-02,3.996334278462038148e-02,2.613031938258667974e+00,9.939634011145531689e-02,0.000000000000000000e+00,1.851806526811554665e-01
3.249999999999999417e-02,4.665515185857353059e-02,2.891614433690086639e+00,9.939631651006330948e-02,0.000000000000000000e+00,1.994182572499517969e-01
3.499999999999999639e-02,5.404099877655289819e-02,3.165936317885081230e+00,9.939628660293402251e-02,0.000000000000000000e+00,2.136559028906956925e-01
3.749999999999999861e-02,6.211023093081019519e-02,3.435995676466269799e+00,9.939625005292275495e-02,0.000000000000000000e+00,2.278935997429958338e-01
4.000000000000000083e-02,7.085219090438275857e-02,3.701790552916023991e+00,9.939620431336652906e-02,0.000000000000000000e+00,2.421313595784491957e-01
4.250000000000000305e-02,8.025621636624873101e-02,3.963318949503972455e+00,9.939614901597401686e-02,0.000000000000000000e+00,2.563691959920322838e-01
4.500000000000000527e-02,9.031163996868382671e-02,4.220578828041546160e+00,9.939608274135661170e-02,0.000000000000000000e+00,2.706071245411338921e-01
4.750000000000000749e-02,1.010077892464429916e-01,4.473568110471601855e+00,9.939600432854567291e-02,0.000000000000000000e+00,2.848451628897480936e-01
5.000000000000000971e-02,1.123339867223988875e-01,4.722285215273831938e+00,9.939591763675303948e-02,0.000000000000000000e+00,2.990833308407276903e-01
5.250000000000001193e-02,1.242795505824464269e-01,4.966817906825338191e+00,9.939582564003207610e-02,0.000000000000000000e+00,3.133216479840194024e-01
5.500000000000001416e-02,1.368347008075782023e-01,5.210268759495995994e+00,9.939573168413221027e-02,0.000000000000000000e+00,3.275601335979865802e-01
5.750000000000001638e-02,1.499987078788146688e-01,5.454124569164591207e+00,9.939563501043760518e-02,0.000000000000000000e+00,3.417988072046084236e-01
6.000000000000001860e-02,1.637725841799039794e-01,5.698385298223683115e+00,9.939553764935746272e-02,0.000000000000000000e+00,3.560376884627117211e-01
6.250000000000001388e-02,1.781573419582013207e-01,5.943050827400993441e+00,9.939544050323352586e-02,0.000000000000000000e+00,3.702767970153461041e-01
6.500000000000001610e-02,1.931539931126719511e-01,6.188120944273070023e+00,9.939534325172542928e-02,0.000000000000000000e+00,3.845161523699509587e-01
6.750000000000001832e-02,2.087635489563510471e-01,6.433595336986180691e+00,9.939524722741606422e-02,0.000000000000000000e+00,3.987557738133386542e-01
7.000000000000002054e-02,2.249870199658143000e-01,6.679473592429737039e+00,9.939515273807930651e-02,0.000000000000000000e+00,4.129956803272974986e-01
7.250000000000002276e-02,2.418254155284150775e-01,6.925755198261009937e+00,9.939506087965002679e-02,0.000000000000000000e+00,4.272358905248425098e-01
7.500000000000002498e-02,2.592797436966255420e-01,7.172439548350606486e+00,9.939497438006228425e-02,0.000000000000000000e+00,4.414764225909745265e-01
7.750000000000002720e-02,2.773510109578540828e-01,7.419525951359601024e+00,9.939489126617093162e-02,0.000000000000000000e+00,4.557172942156174078e-01
8.000000000000002942e-02,2.960402220274317431e-01,7.667013642291640174e+00,9.939481323509746780e-02,0.000000000000000000e+00,4.699585225823523227e-01
8.250000000000003164e-02,3.153483796721630039e-01,7.914901796967483527e+00,9.939474138429175987e-02,0.000000000000000000e+00,4.842001243281406353e-01
8.500000000000003386e-02,3.352764845717393083e-01,8.163189549469517914e+00,9.939467722207638578e-02,0.000000000000000000e+00,4.984421155105786538e-01
8.750000000000003608e-02,3.558255352254894310e-01,8.411876012677899084e+00,9.939461956334813553e-02,0.000000000000000000e+00,5.126845115676581521e-01
8.999999999999999667e-02,3.769965279122806656e-01,8.660960302097256758e+00,9.939452883345213652e-02,0.000000000000000000e+00,5.269273263025099352e-01
9.249999999999999889e-02,3.987904872953345059e-01,8.910832913794472177e+00,9.939442650887170272e-02,0.000000000000000000e+00,5.411705934474714264e-01
9.500000000000000111e-02,4.212097999226366296e-01,9.161919732439875119e+00,9.939433598476386800e-02,0.000000000000000000e+00,5.554143302281111527e-01
9.750000000000000333e-02,4.442575251022853333e-01,9.414231857662246128e+00,9.939425973147648918e-02,0.000000000000000000e+00,5.696585519131041053e-01
1.000000000000000056e-01,4.679367260267956463e-01,9.667769128125456746e+00,9.939418835814539666e-02,0.000000000000000000e+00,5.839032727589457128e-01
1.025000000000000078e-01,4.922504652109904177e-01,9.922527743350203266e+00,9.939410699234799140e-02,0.000000000000000000e+00,5.981485112845125185e-01
1.050000000000000100e-01,5.172017919061924207e-01,1.017850344788847750e+01,9.939401593185748229e-02,0.000000000000000000e+00,6.123942884684420163e-01
1.075000000000000122e-01,5.427937484063197759e-01,1.043569544698798346e+01,9.939391184742232821e-02,0.000000000000000000e+00,6.266406259563878089e-01
1.100000000000000006e-01,5.690293749978505566e-01,1.069410293972366865e+01,9.939379631350550581e-02,0.000000000000000000e+00,6.408875461045518973e-01
1.125000000000000028e-01,5.959116553568382102e-01,1.095285150411172204e+01,9.939366415951714218e-02,0.000000000000000000e+00,6.551350720022794949e-01
1.150000000000000050e-01,6.234405043919453160e-01,1.121106654509452660e+01,9.939351868616018437e-02,0.000000000000000000e+00,6.693832275568283308e-01
1.175000000000000072e-01,6.516145876758242528e-01,1.146874696368012891e+01,9.939335421401963855e-02,0.000000000000000000e+00,6.836320374981325054e-01
1.200000000000000094e-01,6.804325680240159713e-01,1.172589164365469649e+01,9.939317078882503598e-02,0.000000000000000000e+00,6.978815274646229527e-01
1.225000000000000117e-01,7.098931054516268713e-01,1.198249945108946157e+01,9.939296917376472251e-02,0.000000000000000000e+00,7.121317240401011661e-01
1.250000000000000000e-01,7.399948571287457977e-01,1.223856923381429418e+01,9.939274733493953795e-02,0.000000000000000000e+00,7.263826547937028977e-01
1.275000000000000022e-01,7.707364773345378728e-01,1.249409982087463433e+01,9.939249978906578020e-02,0.000000000000000000e+00,7.406343483436053088e-01
1.300000000000000044e-01,8.021166174099724211e-01,1.274909002196983820e+01,9.939223031944194320e-02,0.000000000000000000e+00,7.548868344237718020e-01
1.325000000000000067e-01,8.341337891848270569e-01,1.300377673866509731e+01,9.939193763339539134e-02,0.000000000000000000e+00,7.691401439177930621e-01
1.350000000000000089e-01,8.667879937021978343e-01,1.325912433751554254e+01,9.939160905872067298e-02,0.000000000000000000e+00,7.833943089215552602e-01
1.375000000000000111e-01,9.000810026716652423e-01,1.351523874090172406e+01,9.939125609749181745e-02,0.000000000000000000e+00,7.976493628335636910e-01
1.400000000000000133e-01,9.340147324607573909e-01,1.377211880258725962e+01,9.939087384262079716e-02,0.000000000000000000e+00,8.119053403656947276e-01
1.425000000000000155e-01,9.685910965534245687e-01,1.402976334425144422e+01,9.939045890996360544e-02,0.000000000000000000e+00,8.261622776301287274e-01
1.450000000000000178e-01,1.003812005469350455e+00,1.428817115460944365e+01,9.939000423633700954e-02,0.000000000000000000e+00,8.404202121786210622e-01
1.475000000000000200e-01,1.039679366681025785e+00,1.454734098850211055e+01,9.938950740089273761e-02,0.000000000000000000e+00,8.546791831371298720e-01
1.500000000000000222e-01,1.076195084528543289e+00,1.480727156595816574e+01,9.938899733387336621e-02,0.000000000000000000e+00,8.689392311201271646e-01
1.525000000000000244e-01,1.113361060377627387e+00,1.506796601527211799e+01,9.938847881954045171e-02,0.000000000000000000e+00,8.832003912969905723e-01
1.550000000000000266e-01,1.151179208023459744e+00,1.532942787956817554e+01,9.938797043808542120e-02,0.000000000000000000e+00,8.974626961878851006e-01
1.575000000000000289e-01,1.189651445615491854e+00,1.559165647379687059e+01,9.938745660579857699e-02,0.000000000000000000e+00,9.117261780147406514e-01
1.600000000000000311e-01,1.228779689588117785e+00,1.585465110876205941e+01,9.938694847525400555e-02,0.000000000000000000e+00,9.259908686348258255e-01
1.625000000000000333e-01,1.268565854650470781e+00,1.611841109138377348e+01,9.938645212767263648e-02,0.000000000000000000e+00,9.402567995131158041e-01
1.650000000000000355e-01,1.309011853776848699e+00,1.638293572496507977e+01,9.938595182125374572e-02,0.000000000000000000e+00,9.545240015680088730e-01
1.675000000000000377e-01,1.350119598197834225e+00,1.664822430946052378e+01,9.938546770840436806e-02,0.000000000000000000e+00,9.687925052222244870e-01
1.700000000000000400e-01,1.391890997392067897e+00,1.691427614177307248e+01,9.938499076546727928e-02,0.000000000000000000e+00,9.830623401601582545e-01
1.725000000000000422e-01,1.434327959078807391e+00,1.718109051606837667e+01,9.938453329881857812e-02,0.000000000000000000e+00,9.973335353532366554e-01
1.750000000000000444e-01,1.477432389211264407e+00,1.744866672413862929e+01,9.938409237541162566e-02,0.000000000000000000e+00,1.011606118929497367e+00
1.775000000000000466e-01,1.521206191970882582e+00,1.771697921770347151e+01,9.938367100586648073e-02,0.000000000000000000e+00,1.025880118086690329e+00
1.800000000000000488e-01,1.565651011505771129e+00,1.798512856498817314e+01,9.938328085855759053e-02,0.000000000000000000e+00,1.040155559028319576e+00
1.825000000000000511e-01,1.610765866585034178e+00,1.825268271344562265e+01,9.938291925113991454e-02,0.000000000000000000e+00,1.054432466905299792e+00
1.850000000000000533e-01,1.656549268774779593e+00,1.851964089467008989e+01,9.938258121003877565e-02,0.000000000000000000e+00,1.068710865629911799e+00
1.875000000000000555e-01,1.702999727725520440e+00,1.878600235004172347e+01,9.938227195200999287e-02,0.000000000000000000e+00,1.082990777959266904e+00
1.900000000000000577e-01,1.750115751196858360e+00,1.905176633110518125e+01,9.938199467845459933e-02,0.000000000000000000e+00,1.097272225342308616e+00
1.925000000000000600e-01,1.797895845083095301e+00,1.931693209989660787e+01,9.938175594232696863e-02,0.000000000000000000e+00,1.111555227785387068e+00
1.950000000000000622e-01,1.846338513439653495e+00,1.958149892935201919e+01,9.938155515341352830e-02,0.000000000000000000e+00,1.125839803833837305e+00
1.975000000000000644e-01,1.895442258510591227e+00,1.984546610372297337e+01,9.938140125239323941e-02,0.000000000000000000e+00,1.140125970444503478e+00
2.000000000000000666e-01,1.945205580757107366e+00,2.010883291897211933e+01,9.938139126887200747e-02,0.000000000000000000e+00,1.154413742267585752e+00
2.025000000000000688e-01,1.995626980043307741e+00,2.037163863731845126e+01,9.938165501682671987e-02,0.000000000000000000e+00,1.168703097238455779e+00
2.050000000000000711e-01,2.046705241507276174e+00,2.063467170347497870e+01,9.938217732502654944e-02,0.000000000000000000e+00,1.182993993159775714e+00
2.075000000000000733e-01,2.098441424509922992e+00,2.089830212352984873e+01,9.938296659433863700e-02,0.000000000000000000e+00,1.197286380825955510e+00
2.100000000000000755e-01,2.150837022920755182e+00,2.116253085527128874e+01,9.938402874255289343e-02,0.000000000000000000e+00,1.211580203891769569e+00
2.125000000000000777e-01,2.203893533196183974e+00,2.142735920758665102e+01,9.938525347490639872e-02,0.000000000000000000e+00,1.225875399532204701e+00
2.150000000000000799e-01,2.257612455633769777e+00,2.169279471077003052e+01,9.938649332179931573e-02,0.000000000000000000e+00,1.240171941311177362e+00
2.175000000000000822e-01,2.311995317316129395e+00,2.195884856456413203e+01,9.938769543414768814e-02,0.000000000000000000e+00,1.254469829363410227e+00
2.200000000000000844e-01,2.367043665655464757e+00,2.222552489901734063e+01,9.938885265872077213e-02,0.000000000000000000e+00,1.268769066661919798e+00
2.225000000000000866e-01,2.422759061065852926e+00,2.249283155040381033e+01,9.938995997771024604e-02,0.000000000000000000e+00,1.283069658932600721e+00
2.250000000000000888e-01,2.479143083696379257e+00,2.276077532854702667e+01,9.939100362411983081e-02,0.000000000000000000e+00,1.297371615132621336e+00
2.275000000000000910e-01,2.536197329416110424e+00,2.302936076319670278e+01,9.939197158297360946e-02,0.000000000000000000e+00,1.311674947997749197e+00
2.300000000000000100e-01,2.593923404166879720e+00,2.329859019725297031e+01,9.939285875201292475e-02,0.000000000000000000e+00,1.325979674549164988e+00
2.325000000000000122e-01,2.652322894574525414e+00,2.356808034002811070e+01,9.939359569769141978e-02,0.000000000000000000e+00,1.340285816516767037e+00
2.350000000000000144e-01,2.711396040377598737e+00,2.383744586917625341e+01,9.939417031507240263e-02,0.000000000000000000e+00,1.354593400976376927e+00
2.375000000000000167e-01,2.771142528363717439e+00,2.410668305297689074e+01,9.939455831892041182e-02,0.000000000000000000e+00,1.368902461190059316e+00
2.400000000000000189e-01,2.831562034928995164e+00,2.437578630620366482e+01,9.939474865266118009e-02,0.000000000000000000e+00,1.383213036883145675e+00
2.425000000000000211e-01,2.892654221486970378e+00,2.464474826515589356e+01,9.939465870147909388e-02,0.000000000000000000e+00,1.397525175083221605e+00
2.450000000000000233e-01,2.954418730063102405e+00,2.491355985917615712e+01,9.939392813807923499e-02,0.000000000000000000e+00,1.411838930734014230e+00
2.475000000000000255e-01,3.016855179066147752e+00,2.518221037890529956e+01,9.939416078923253572e-02,0.000000000000000000e+00,1.426154368099841641e+00
2.500000000000000000e-01,3.079963159036075648e+00,2.545068809006328792e+01,9.939370254412036032e-02,0.000000000000000000e+00,1.440471557225772026e+00
2.525000000000000022e-01,3.143742231449373037e+00,2.571898137603731271e+01,9.939306022581102795e-02,0.000000000000000000e+00,1.454790551244653951e+00
2.550000000000000044e-01,3.208191929249929686e+00,2.598708422734677370e+01,9.939221366687614467e-02,0.000000000000000000e+00,1.469111397621762238e+00
2.575000000000000067e-01,3.273311775593243045e+00,2.625499536361329334e+01,9.939117833667072965e-02,0.000000000000000000e+00,1.483434146212181393e+00
