Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,9.958682724734949088e-02,0.000000000000000000e+00,1.432843815149443568e-02
2.500000000000000052e-03,9.988416934312167525e-03,1.255369799613195898e-02,9.958682724556290611e-02,0.000000000000000000e+00,2.859320039317645584e-02
5.000000000000000104e-03,1.005026686326183569e-02,9.917802091424010591e-02,9.958682723910512735e-02,0.000000000000000000e+00,4.285796264015799550e-02
7.499999999999999722e-03,1.037073074379042843e-02,2.598807110726315539e-01,9.958682722342619698e-02,0.000000000000000000e+00,5.712272490463291691e-02
1.000000000000000021e-02,1.113951734482412047e-02,4.772268599415752099e-01,9.958682719396895477e-02,0.000000000000000000e+00,7.138748720894598498e-02
1.250000000000000069e-02,1.246262476810431480e-02,7.148769431847183942e-01,9.958682714375649558e-02,0.000000000000000000e+00,8.565224958733072547e-02
1.500000000000000118e-02,1.439095379640432937e-02,9.706218781800644013e-01,9.958682706778387850e-02,0.000000000000000000e+00,9.991701208674820534e-02
1.750000000000000167e-02,1.696564348181445886e-02,1.233563277331317209e+00,9.958682695597186052e-02,0.000000000000000000e+00,1.141817747674620659e-01
2.000000000000000042e-02,2.020024629417916176e-02,1.501013868329291290e+00,9.958682680775138296e-02,0.000000000000000000e+00,1.284465377033284228e-01
2.249999999999999917e-02,2.410603566945038537e-02,1.772974461765677967e+00,9.958682660623109639e-02,0.000000000000000000e+00,1.427113009811570299e-01
2.499999999999999792e-02,2.869428703447147316e-02,2.049445805437580148e+00,9.958682635304388908e-02,0.000000000000000000e+00,1.569760647004732057e-01
2.749999999999999667e-02,3.397627764768531428e-02,2.330428580239094494e+00,9.958682605087694484e-02,0.000000000000000000e+00,1.712408289727875843e-01
2.999999999999999542e-02,3.996400780439567785e-02,2.613132937901878172e+00,9.958682570771078268e-02,0.000000000000000000e+00,1.855055939202615856e-01
3.249999999999999417e-02,4.665608387111767896e-02,2.891743690162142055e+00,9.958682531184626097e-02,0.000000000000000000e+00,1.997703596746256416e-01
3.499999999999999639e-02,5.404227100629985930e-02,3.166098677240676729e+00,9.958682487762790525e-02,0.000000000000000000e+00,2.140351263760625899e-01
3.749999999999999861e-02,6.211192895371599881e-02,3.436196412976160186e+00,9.958682439202799774e-02,0.000000000000000000e+00,2.282998941717040708e-01
4.000000000000000083e-02,7.085441373462664227e-02,3.702035397718440368e+00,9.958682384523548370e-02,0.000000000000000000e+00,2.425646632144985437e-01
4.250000000000000305e-02,8.025907761811239272e-02,3.963614125685503975e+00,9.958682327194225137e-02,0.000000000000000000e+00,2.568294336620192686e-01
4.500000000000000527e-02,9.031526910977615008e-02,4.220931092289247566e+00,9.958682266644454384e-02,0.000000000000000000e+00,2.710942056744265471e-01
4.750000000000000749e-02,1.010123329587051810e-01,4.473984801371911679e+00,9.958682207180616364e-02,0.000000000000000000e+00,2.853589794129540724e-01
5.000000000000000971e-02,1.123396101824388621e-01,4.722773772294310390e+00,9.958682154078955795e-02,0.000000000000000000e+00,2.996237550372229386e-01
5.250000000000001193e-02,1.242864380701311777e-01,4.967381489699725705e+00,9.958682113559974569e-02,0.000000000000000000e+00,3.138885326764320194e-01
