Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,9.990700986838770004e-02,0.000000000000000000e+00,1.432500223552193343e-02
2.500000000000000052e-03,9.988416931171570368e-03,1.255370004411628972e-02,9.990700986838703390e-02,0.000000000000000000e+00,2.863562725859828545e-02
5.000000000000000104e-03,1.005026686573026740e-02,9.917803994427737413e-02,9.990700986838545183e-02,0.000000000000000000e+00,4.294625228167602005e-02
7.499999999999999722e-03,1.037073080904826923e-02,2.598807758066802309e-01,9.990700986837863784e-02,0.000000000000000000e+00,5.725687730475997189e-02
1.000000000000000021e-02,1.113951759585237768e-02,4.772269834589158988e-01,9.990700986835258923e-02,0.000000000000000000e+00,7.156750232786343591e-02
1.250000000000000069e-02,1.246262532175967767e-02,7.148770836130098338e-01,9.990700986831478614e-02,0.000000000000000000e+00,8.587812735101749140e-02
1.500000000000000118e-02,1.439095461111814835e-02,9.706219081388928194e-01,9.990700986820040541e-02,0.000000000000000000e+00,1.001887523742849284e-01
1.750000000000000167e-02,1.696564413236771943e-02,1.233562973174802790e+00,9.990700986797861061e-02,0.000000000000000000e+00,1.144993773977844437e-01
2.000000000000000042e-02,2.020024575175655493e-02,1.501012931579460474e+00,9.990700986744051326e-02,0.000000000000000000e+00,1.288100024217294914e-01
2.249999999999999917e-02,2.410603213089702185e-02,1.772972548841797780e+00,9.990700986668622774e-02,0.000000000000000000e+00,1.431206274464915662e-01
2.499999999999999792e-02,2.869427783219007100e-02,2.049442565822899187e+00,9.990700986526682148e-02,0.000000000000000000e+00,1.574312524726792784e-01
2.749999999999999667e-02,3.397625925836553901e-02,2.330423701204132669e+00,9.990700986312087140e-02,0.000000000000000000e+00,1.717418775012808929e-01
2.999999999999999542e-02,3.996397597067205543e-02,2.613126193227175875e+00,9.990700985944593604e-02,0.000000000000000000e+00,1.860525025338486682e-01
3.249999999999999417e-02,4.665603385706538347e-02,2.891735004396498443e+00,9.990700985313670512e-02,0.000000000000000000e+00,2.003631275727948968e-01
3.499999999999999639e-02,5.404219800707533994e-02,3.166088179916442424e+00,9.990700984437494991e-02,0.000000000000000000e+00,2.146737526218107650e-01
3.749999999999999861e-02,6.211182862836915619e-02,3.436184477826138117e+00,9.990700982970908417e-02,0.000000000000000000e+00,2.289843776864147751e-01
4.000000000000000083e-02,7.085428283408062855e-02,3.702022673887733539e+00,9.990700980879360649e-02,0.000000000000000000e+00,2.432950027748299882e-01
4.250000000000000305e-02,8.025891468671692008e-02,3.963601561029578058e+00,9.990700977693912910e-02,0.000000000000000000e+00,2.576056278990819792e-01
4.500000000000000527e-02,9.031507524059941006e-02,4.220919948595565963e+00,9.990700973210804581e-02,0.000000000000000000e+00,2.719162530766104924e-01
4.750000000000000749e-02,1.010121125823699867e-01,4.473976661448562098e+00,9.990700966804499927e-02,0.000000000000000000e+00,2.862268783323570487e-01
