Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931171870475e-03,1.255370004545219680e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686573305163e-02,9.917803995706449272e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080912504289e-02,2.598807759089811209e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951759627467182e-02,4.772269831557235387e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246262531967664601e-02,7.148770785884189793e-01,1.344419251713363681e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439095458734245686e-02,9.706218843238869631e-01,-2.290271555550530007e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696564402266275556e-02,1.233562900032465270e+00,-6.716493675831840941e-16,0.000000000000000000e+00,4.614077819186924836e-16
2.000000000000000042e-02,2.020024540259597254e-02,1.501012756502315693e+00,7.351445448901817271e-15,0.000000000000000000e+00,1.795481808903767143e-15
2.249999999999999917e-02,2.410603124161285818e-02,1.772972192245001244e+00,6.519302995950189570e-14,0.000000000000000000e+00,4.583153710291520843e-15
2.499999999999999792e-02,2.869427588593442824e-02,2.049441918484965264e+00,8.850937361622822459e-14,0.000000000000000000e+00,6.454632045422003659e-15
2.749999999999999667e-02,3.397625544661723312e-02,2.330422621515902737e+00,1.806317585788343333e-13,0.000000000000000000e+00,7.901516800556537858e-15
2.999999999999999542e-02,3.996396911099626276e-02,2.613124505185747903e+00,1.297508352196460985e-13,0.000000000000000000e+00,1.237883420424742321e-15
3.249999999999999417e-02,4.665602230769132219e-02,2.891732499217525287e+00,2.565532589893035788e-13,0.000000000000000000e+00,-1.542544743701977766e-14
3.499999999999999639e-02,5.404217958895157076e-02,3.166084620116219384e+00,-2.439775057175708006e-13,0.000000000000000000e+00,-5.100285339254341007e-14
3.749999999999999861e-02,6.211180055335233097e-02,3.436179598706219362e+00,-7.432632768842718736e-13,0.000000000000000000e+00,-9.467353290756777005e-14
4.000000000000000083e-02,7.085424163770651096e-02,3.702016185208115928e+00,-8.897507443109170556e-13,0.000000000000000000e+00,-1.349882223433256378e-13
4.250000000000000305e-02,8.025885616604433448e-02,3.963593149718807940e+00,-1.208157510123733002e-12,0.000000000000000000e+00,-1.591757403282180059e-13
4.500000000000000527e-02,9.031499439814380525e-02,4.220909280800400509e+00,-1.552853871565885579e-12,0.000000000000000000e+00,-1.502276263308214983e-13
4.750000000000000749e-02,1.010120035754853707e-01,4.473963385026344497e+00,-2.266777952782440285e-12,0.000000000000000000e+00,-9.196462242782954330e-14
5.000000000000000971e-02,1.123392279658185777e-01,4.722754286208220798e+00,-1.448279552187646047e-12,0.000000000000000000e+00,5.896515961730924981e-14
5.250000000000001193e-02,1.242860089863467576e-01,4.967367436142415826e+00,1.035238718397526756e-12,0.000000000000000000e+00,3.034924847236777546e-13
5.500000000000001416e-02,1.368425789648811952e-01,5.210901125764738850e+00,2.770876020171819194e-12,0.000000000000000000e+00,6.465145523347009615e-13
