Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,2.914742320373064156e-12,0.000000000000000000e+00,5.766340015296827556e-13
2.500000000000000052e-03,9.988418595230008287e-03,1.255227568105264993e-02,-1.244235931447461009e-11,0.000000000000000000e+00,-2.662407118745178598e-12
5.000000000000000104e-03,1.005026419248475703e-02,9.916456461407319178e-02,1.962219388501561126e-10,0.000000000000000000e+00,-2.370900987250119006e-11
7.499999999999999722e-03,1.037068313661225830e-02,2.598307180103317515e-01,1.578560490514231290e-10,0.000000000000000000e+00,-9.773182032836216411e-11
1.000000000000000021e-02,1.113931535859203487e-02,4.771028004108969212e-01,-2.518389579065109219e-10,0.000000000000000000e+00,-2.830315966768252021e-10
1.250000000000000069e-02,1.246205803817888175e-02,7.146290881441828002e-01,-3.005414046978210803e-11,0.000000000000000000e+00,-6.094919145557637706e-10
1.500000000000000118e-02,1.438968099196238741e-02,9.701890790417506683e-01,1.146118147085305808e-10,0.000000000000000000e+00,-1.134659453328675410e-09
1.750000000000000167e-02,1.696316419399029884e-02,1.232873732886719198e+00,-2.757739228528874288e-09,0.000000000000000000e+00,-1.962655784464257517e-09
2.000000000000000042e-02,2.019587482296105602e-02,1.499985824154406178e+00,-1.746999994574758176e-09,0.000000000000000000e+00,-3.046082133139188545e-09
2.249999999999999917e-02,2.409887651802964867e-02,1.771516862132145320e+00,-6.848328015539161716e-09,0.000000000000000000e+00,-4.470055237292241699e-09
2.499999999999999792e-02,2.868321201290877434e-02,2.047458903138816400e+00,-6.118144047650181068e-09,0.000000000000000000e+00,-6.175802293237681057e-09
2.749999999999999667e-02,3.395990447458678563e-02,2.327804500308034985e+00,-1.608370703600024314e-08,0.000000000000000000e+00,-8.201714462795597724e-09
2.999999999999999542e-02,3.994068006187304759e-02,2.609756311585488930e+00,-1.423283344458949580e-08,0.000000000000000000e+00,-1.035452306878387551e-08
3.249999999999999417e-02,4.662385280678590926e-02,2.887492364312179927e+00,-1.727246862564805960e-08,0.000000000000000000e+00,-1.271183051773305546e-08
3.499999999999999639e-02,5.399887870966820630e-02,3.160844050045317211e+00,-1.955134170822702479e-08,0.000000000000000000e+00,-1.519365145923175502e-08
3.749999999999999861e-02,6.205479250203255193e-02,3.429803886292416504e+00,-2.580080876806812429e-08,0.000000000000000000e+00,-1.775938408275361387e-08
4.000000000000000083e-02,7.078061044950684222e-02,3.694364805688937548e+00,-2.080324783206610045e-08,0.000000000000000000e+00,-2.033134562115377058e-08
4.250000000000000305e-02,8.016533137768705464e-02,3.954520135493368116e+00,-1.234356574732806858e-08,0.000000000000000000e+00,-2.301096160281182617e-08
4.500000000000000527e-02,9.019793764780723033e-02,4.210263579314080573e+00,-1.105039308746499360e-08,0.000000000000000000e+00,-2.592504888885768151e-08
4.750000000000000749e-02,1.008673960877949499e-01,4.461589200615950546e+00,-2.273094636713921418e-08,0.000000000000000000e+00,-2.915025412126032141e-08
5.000000000000000971e-02,1.121626588831717702e-01,4.708491407726468125e+00,-1.191529863144291721e-08,0.000000000000000000e+00,-3.248705583822480317e-08
5.250000000000001193e-02,1.240726626073729855e-01,4.951009505968543500e+00,-2.195534776940543009e-08,0.000000000000000000e+00,-3.608492342040485885e-08
5.500000000000001416e-02,1.365870737754034669e-01,5.192184221126304067e+00,-9.937219182861097596e-09,0.000000000000000000e+00,-3.988368731375156293e-08
5.750000000000001638e-02,1.497044968569106460e-01,5.433480929274885796e+00,-2.177891546669339780e-08,0.000000000000000000e+00,-4.402877048647188925e-08
6.000000000000001860e-02,1.634252247256407498e-01,5.674877715959580016e+00,-3.465335865517743134e-08,0.000000000000000000e+00,-4.842213440004156243e-08
6.250000000000001388e-02,1.777494948205682879e-01,5.916351501515763722e+00,-2.661188695079134370e-08,0.000000000000000000e+00,-5.296996716920608410e-08
6.500000000000001610e-02,1.926774862103059760e-01,6.157878000970437249e+00,-1.573223923071568942e-08,0.000000000000000000e+00,-5.783110993445053441e-08
6.750000000000001832e-02,2.082093165571244353e-01,6.399431683628452383e+00,-2.419283565764735263e-08,0.000000000000000000e+00,-6.297752395811894925e-08
7.000000000000002054e-02,2.243450389797661260e-01,6.640985732500388927e+00,-1.096127122365005831e-08,0.000000000000000000e+00,-6.842877692623335172e-08
7.250000000000002276e-02,2.410846388145122254e-01,6.882512003328642436e+00,-1.076018773791734751e-08,0.000000000000000000e+00,-7.433827737096669447e-08
7.500000000000002498e-02,2.584280302739175861e-01,7.123980983437785852e+00,-3.038301685359125863e-08,0.000000000000000000e+00,-8.082861175826364997e-08
7.750000000000002720e-02,2.763750530025436691e-01,7.365361750476157709e+00,-1.388997860298048438e-08,0.000000000000000000e+00,-8.778307061407456280e-08
8.000000000000002942e-02,2.949254685293498102e-01,7.606621931555581639e+00,-3.213136487572803648e-08,0.000000000000000000e+00,-9.530258266363996009e-08
8.250000000000003164e-02,3.140789566185089310e-01,7.847727662414412109e+00,-3.103252638282791437e-08,0.000000000000000000e+00,-1.031572966981815481e-07
8.500000000000003386e-02,3.338351115178289086e-01,8.088643546784027194e+00,1.184993708147854103e-08,0.000000000000000000e+00,-1.115359582434237100e-07
8.750000000000003608e-02,3.541934381058113313e-01,8.329332616543618784e+00,-5.551439364065496400e-08,0.000000000000000000e+00,-1.207227016324306277e-07
8.999999999999999667e-02,3.751533479400177007e-01,8.569756292473272197e+00,-6.306189753423161687e-08,0.000000000000000000e+00,-1.302177636619271272e-07
9.249999999999999889e-02,3.967141810176735284e-01,8.810286962308653713e+00,-2.385115592722036464e-09,0.000000000000000000e+00,-1.401611667315738070e-07
9.500000000000000111e-02,4.188766241745818242e-01,9.051295016854819409e+00,1.530094167394339259e-08,0.000000000000000000e+00,-1.509162506408642609e-07
9.750000000000000333e-02,4.416418463564975583e-01,9.292736289216051659e+00,4.289126536414701303e-08,0.000000000000000000e+00,-1.626240402114396734e-07
1.000000000000000056e-01,4.650109050571895053e-01,9.534564763069218074e+00,8.842186678639707420e-08,0.000000000000000000e+00,-1.755556135025902414e-07
1.025000000000000078e-01,4.889847479836451072e-01,9.776852663314949510e+00,8.069736792299085752e-08,0.000000000000000000e+00,-1.901459742279960163e-07
1.050000000000000100e-01,5.135646281359574905e-01,1.001968646314828604e+01,1.301043267219911671e-07,0.000000000000000000e+00,-2.064204113409798099e-07
1.075000000000000122e-01,5.387518955264968268e-01,1.026303994143703413e+01,1.100943758827948538e-07,0.000000000000000000e+00,-2.247678357263412360e-07
1.100000000000000006e-01,5.645478343403833588e-01,1.050688638570106193e+01,3.020438623752379551e-08,0.000000000000000000e+00,-2.451508087817602320e-07
1.125000000000000028e-01,5.909536073931807021e-01,1.075033131985400914e+01,-1.578563310385521657e-07,0.000000000000000000e+00,-2.670525263361795982e-07
1.150000000000000050e-01,6.179672651884197121e-01,1.099248115615342236e+01,-6.318674259478583321e-08,0.000000000000000000e+00,-2.895450321400743943e-07
1.175000000000000072e-01,6.455855553386393719e-01,1.123330993367136976e+01,-1.649694034408331416e-07,0.000000000000000000e+00,-3.131292394465117681e-07
1.200000000000000094e-01,6.738051604030190767e-01,1.147279142710311284e+01,-1.461713300505474572e-07,0.000000000000000000e+00,-3.373179864286545810e-07
1.225000000000000117e-01,7.026226972285606331e-01,1.171089915172117202e+01,-9.981263453283186337e-08,0.000000000000000000e+00,-3.620916063785255089e-07
1.250000000000000000e-01,7.320347163044301775e-01,1.194760636914219454e+01,-2.441742970793418594e-07,0.000000000000000000e+00,-3.877664716679278247e-07
1.275000000000000022e-01,7.620377011314527493e-01,1.218288609397247058e+01,-1.861985028103079068e-07,0.000000000000000000e+00,-4.135932908897054179e-07
1.300000000000000044e-01,7.926280676095526223e-01,1.241671110299779635e+01,-1.372341508318776862e-07,0.000000000000000000e+00,-4.397102614499972698e-07
1.325000000000000067e-01,8.238020288573207894e-01,1.264928861183600795e+01,-1.419053555095145540e-07,0.000000000000000000e+00,-4.666231287716137655e-07
1.350000000000000089e-01,8.555572000295967872e-01,1.288154135541160805e+01,-1.165922932703607871e-07,0.000000000000000000e+00,-4.943751435521792107e-07
1.375000000000000111e-01,8.878928703168773584e-01,1.311354406070957701e+01,-8.183877597031662095e-08,0.000000000000000000e+00,-5.230233468605334832e-07
1.400000000000000133e-01,9.208083969925878742e-01,1.334526541644838638e+01,-4.685203757116056003e-08,0.000000000000000000e+00,-5.527428715906812815e-07
1.425000000000000155e-01,9.543030587816992982e-01,1.357667363703826702e+01,5.413280503381106688e-08,0.000000000000000000e+00,-5.838386247325891118e-07
1.450000000000000178e-01,9.883760546762114796e-01,1.380773646482975003e+01,-1.464258991335403107e-08,0.000000000000000000e+00,-6.167841074464712951e-07
1.475000000000000200e-01,1.023026502756333000e+00,1.403842117287094027e+01,-1.766440060863382258e-07,0.000000000000000000e+00,-6.515928636512651931e-07
1.500000000000000222e-01,1.058253439019224196e+00,1.426869456979624395e+01,-3.142906389147822708e-07,0.000000000000000000e+00,-6.872961897459998231e-07
1.525000000000000244e-01,1.094055833058937166e+00,1.449881310939304591e+01,-2.065021871898046468e-07,0.000000000000000000e+00,-7.232692746633786855e-07
1.550000000000000266e-01,1.130433592025108291e+00,1.472904883724847203e+01,3.860183140061374785e-08,0.000000000000000000e+00,-7.601892911454377296e-07
1.575000000000000289e-01,1.167387003343457907e+00,1.495939191209925134e+01,-4.156612120868005816e-09,0.000000000000000000e+00,-7.990934947189208148e-07
1.600000000000000311e-01,1.204916329664375452e+00,1.518983216294358485e+01,-2.055603210846407421e-07,0.000000000000000000e+00,-8.396936788415473747e-07
1.625000000000000333e-01,1.243021808005249751e+00,1.542035903071962366e+01,-1.004778332524613045e-07,0.000000000000000000e+00,-8.812785066905115232e-07
1.650000000000000355e-01,1.281703648748270252e+00,1.565096151453214190e+01,-4.202714435022051171e-08,0.000000000000000000e+00,-9.243125191221168213e-07
1.675000000000000377e-01,1.320962034506977911e+00,1.588162812332206109e+01,-1.054022573006834471e-07,0.000000000000000000e+00,-9.690112086956789137e-07
1.700000000000000400e-01,1.360797118875716194e+00,1.611234683272653001e+01,-1.631202948127159387e-08,0.000000000000000000e+00,-1.015273737511306107e-06
