Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.125567072717257816e-14,0.000000000000000000e+00,-1.106771517362396073e-14
2.500000000000000052e-03,9.988416935516742159e-03,1.255369564673902878e-02,-1.877578419545323136e-14,0.000000000000000000e+00,-7.242251293516937019e-14
5.000000000000000104e-03,1.005026685658757732e-02,9.917799922449341277e-02,6.339528152203557545e-13,0.000000000000000000e+00,-3.468617452720879519e-13
7.499999999999999722e-03,1.037073066285088344e-02,2.598806291530494361e-01,-5.427682366828127541e-12,0.000000000000000000e+00,-1.147223207382258258e-12
1.000000000000000021e-02,1.113951701016816995e-02,4.772266629968180962e-01,-5.809521944832263423e-12,0.000000000000000000e+00,-2.393334460632336453e-12
1.250000000000000069e-02,1.246262385984300489e-02,7.148765696980937667e-01,-1.641593948326195359e-11,0.000000000000000000e+00,-4.153478717816076794e-12
1.500000000000000118e-02,1.439095184015169379e-02,9.706212664518478750e-01,-1.999285570928950085e-11,0.000000000000000000e+00,-6.059793347804874181e-12
1.750000000000000167e-02,1.696563985409624276e-02,1.233562374751812740e+00,-1.973941879635395106e-11,0.000000000000000000e+00,-7.968062978491020434e-12
2.000000000000000042e-02,2.020024024980731844e-02,1.501012640275569687e+00,-1.444203869482018670e-11,0.000000000000000000e+00,-1.000133755437316099e-11
2.249999999999999917e-02,2.410602639210196463e-02,1.772972901196237405e+00,-1.733781006108944748e-11,0.000000000000000000e+00,-1.222942815254228515e-11
2.499999999999999792e-02,2.869427371130449378e-02,2.049443942852173794e+00,-3.902214648568244678e-11,0.000000000000000000e+00,-1.454948722091234932e-11
2.749999999999999667e-02,3.397625956888834786e-02,2.330426493729810922e+00,-3.376334934269866207e-11,0.000000000000000000e+00,-1.657703481135598462e-11
2.999999999999999542e-02,3.996398448810117160e-02,2.613130763255303801e+00,-1.732230233785579707e-11,0.000000000000000000e+00,-1.822526589431213688e-11
3.249999999999999417e-02,4.665605520982946813e-02,2.891741625088692480e+00,-1.105721657358106542e-11,0.000000000000000000e+00,-1.997111569890453920e-11
3.499999999999999639e-02,5.404223742160246813e-02,3.166096982824399664e+00,-3.019325211296023475e-11,0.000000000000000000e+00,-2.194928024494054220e-11
3.749999999999999861e-02,6.211189155605732759e-02,3.436195415189415847e+00,-2.457545500628112562e-11,0.000000000000000000e+00,-2.372764924844795406e-11
4.000000000000000083e-02,7.085437448534967486e-02,3.702035487099887057e+00,-4.615808906755111089e-11,0.000000000000000000e+00,-2.552153160641197283e-11
4.250000000000000305e-02,8.025903948953569400e-02,3.963615754922858336e+00,9.450581718885270170e-12,0.000000000000000000e+00,-2.687683419026776116e-11
4.500000000000000527e-02,9.031523623803219825e-02,4.220934771607546487e+00,3.438746407276876522e-11,0.000000000000000000e+00,-2.856443914383808092e-11
4.750000000000000749e-02,1.010123107838153400e-01,4.473991091655794783e+00,1.939206876192786433e-11,0.000000000000000000e+00,-3.095770100800657178e-11
5.000000000000000971e-02,1.123396055699383972e-01,4.722783275905181100e+00,2.210908204258648757e-11,0.000000000000000000e+00,-3.394017260280708007e-11
5.250000000000001193e-02,1.242864594608242557e-01,4.967395708078104377e+00,2.309198933455711399e-11,0.000000000000000000e+00,-3.758751496699957424e-11
5.500000000000001416e-02,1.368430987314091518e-01,5.210925592739085843e+00,2.020719786264337502e-11,0.000000000000000000e+00,-4.187097566726317465e-11
5.750000000000001638e-02,1.500087918956805044e-01,5.454859270052251574e+00,1.164190336890112043e-11,0.000000000000000000e+00,-4.682637661068261463e-11
6.000000000000001860e-02,1.637845482377156547e-01,5.699196392351335128e+00,5.424434344471025253e-12,0.000000000000000000e+00,-5.242414886927177091e-11
6.250000000000001388e-02,1.781713761716940680e-01,5.943936610529080511e+00,-9.281913347093416871e-12,0.000000000000000000e+00,-5.838700101477376773e-11
6.500000000000001610e-02,1.931702832388630942e-01,6.189079575054115878e+00,-1.655818076982139280e-10,0.000000000000000000e+00,-6.466552923791538621e-11
6.750000000000001832e-02,2.087822761069959288e-01,6.434624936899751901e+00,-1.077453823989800730e-10,0.000000000000000000e+00,-7.000621798252281124e-11
7.000000000000002054e-02,2.250083605721240332e-01,6.680572348387125992e+00,-1.560301538665303771e-10,0.000000000000000000e+00,-7.476745196027249912e-11
7.250000000000002276e-02,2.418495415623306555e-01,6.926921463945722834e+00,-2.786739635628645853e-10,0.000000000000000000e+00,-7.870056050595625044e-11
7.500000000000002498e-02,2.593068231434013660e-01,7.173671940795796509e+00,-2.685938876868140869e-10,0.000000000000000000e+00,-8.058517385782849611e-11
7.750000000000002720e-02,2.773812085261386229e-01,7.420823439554718348e+00,-2.592879731962710667e-10,0.000000000000000000e+00,-8.056306833921631758e-11
8.000000000000002942e-02,2.960737000751521575e-01,7.668375624772194143e+00,-6.374190752926846476e-11,0.000000000000000000e+00,-7.857535749345864310e-11
8.250000000000003164e-02,3.153852993189493747e-01,7.916328165400068784e+00,-1.580164422782030078e-10,0.000000000000000000e+00,-7.594285822008026210e-11
8.500000000000003386e-02,3.353170032842458514e-01,8.164678399104154494e+00,-5.632713871072550201e-11,0.000000000000000000e+00,-7.218781259064924888e-11
8.750000000000003608e-02,3.558698101408890868e-01,8.413425409027061264e+00,5.399713600484939358e-12,0.000000000000000000e+00,-6.783410433574502768e-11
8.999999999999999667e-02,3.770447111476067370e-01,8.662571129739481179e+00,-6.005027239034812473e-11,0.000000000000000000e+00,-6.305223767680299989e-11
9.249999999999999889e-02,3.988427287764295115e-01,8.912529849406640281e+00,-6.867169337916662478e-11,0.000000000000000000e+00,-5.746353131775742301e-11
9.500000000000000111e-02,4.212663395874072791e-01,9.163715330210170151e+00,-2.812732224694622858e-10,0.000000000000000000e+00,-5.121595497783516855e-11
9.750000000000000333e-02,4.443186102039985985e-01,9.416127247029818292e+00,-5.638203319330927034e-10,0.000000000000000000e+00,-4.259863633523848682e-11
1.000000000000000056e-01,4.680026066444876731e-01,9.669765400800960364e+00,-5.692861682099532422e-10,0.000000000000000000e+00,-2.968724823243621813e-11
1.025000000000000078e-01,4.923213943572248841e-01,9.924629079759254680e+00,-5.105297646917553649e-10,0.000000000000000000e+00,-1.236799711449619539e-11
1.050000000000000100e-01,5.172780365469203945e-01,1.018071774452911527e+01,-5.379952418013705509e-10,0.000000000000000000e+00,8.910665313271630827e-12
1.075000000000000122e-01,5.428755957356075079e-01,1.043803153209972301e+01,-6.538431208292164387e-10,0.000000000000000000e+00,3.475399147477838089e-11
1.100000000000000006e-01,5.691171348644000760e-01,1.069657072038538459e+01,-3.611276162625887873e-10,0.000000000000000000e+00,6.568607834971990990e-11
