Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,5.435858171157554183e-12,0.000000000000000000e+00,2.739836610667541932e-13
2.500000000000000052e-03,9.988417365290495203e-03,1.255332278207741716e-02,2.241211047179470197e-11,0.000000000000000000e+00,-1.639528728512935343e-12
5.000000000000000104e-03,1.005026614927847887e-02,9.917445296338762983e-02,-2.028252294835599548e-11,0.000000000000000000e+00,-1.400412352098880726e-11
7.499999999999999722e-03,1.037071810496354579e-02,2.598673736496864284e-01,-1.641497738947711315e-10,0.000000000000000000e+00,-4.965472125785803588e-11
1.000000000000000021e-02,1.113946347117596158e-02,4.771935416665832319e-01,-3.665650475510154543e-11,0.000000000000000000e+00,-1.092528838978488117e-10
1.250000000000000069e-02,1.246247280963386911e-02,7.148099263837206507e-01,-2.084420317880145629e-10,0.000000000000000000e+00,-2.185125586878103665e-10
1.500000000000000118e-02,1.439061067210326700e-02,9.705040678507115270e-01,-2.042431341665074735e-10,0.000000000000000000e+00,-3.872511871019393870e-10
1.750000000000000167e-02,1.696497151543048532e-02,1.233374337892395589e+00,2.037771900952406577e-10,0.000000000000000000e+00,-6.401413442048894060e-10
2.000000000000000042e-02,2.019905518566774208e-02,1.500730346997052544e+00,-6.246419337444020366e-10,0.000000000000000000e+00,-1.008070903940359729e-09
2.249999999999999917e-02,2.410407477106529806e-02,1.772569907725606742e+00,-9.791496920344502402e-10,0.000000000000000000e+00,-1.491661903084009512e-09
2.499999999999999792e-02,2.869123792270382792e-02,2.048890884579555927e+00,-4.434455851472914328e-10,0.000000000000000000e+00,-2.115702696089132329e-09
2.749999999999999667e-02,3.397174697835170926e-02,2.329691183340898419e+00,-2.220933584026974052e-09,0.000000000000000000e+00,-2.920250026372425119e-09
2.999999999999999542e-02,3.995752042718934277e-02,2.612178313958316789e+00,-1.484280944083200715e-09,0.000000000000000000e+00,-3.888939961074496698e-09
3.249999999999999417e-02,4.664707633813351684e-02,2.890534584650018779e+00,-1.405444960418689489e-09,0.000000000000000000e+00,-5.065821541732442962e-09
3.499999999999999639e-02,5.403008531332914588e-02,3.164595365451861042e+00,-1.037111729151605309e-09,0.000000000000000000e+00,-6.484191935504632863e-09
3.749999999999999861e-02,6.209580640927668538e-02,3.434356771501050343e+00,-5.086233411384849045e-09,0.000000000000000000e+00,-8.194282577225963657e-09
4.000000000000000083e-02,7.083348900029345918e-02,3.699814969420330613e+00,-8.077599607797771436e-09,0.000000000000000000e+00,-1.013722482178050155e-08
4.250000000000000305e-02,8.023237290649738729e-02,3.960966176267477046e+00,-9.086324852517090343e-09,0.000000000000000000e+00,-1.228671856843355275e-08
4.500000000000000527e-02,9.028168851940149287e-02,4.217806658776512840e+00,-8.813418975437290722e-09,0.000000000000000000e+00,-1.464158565766590042e-08
4.750000000000000749e-02,1.009706569257214637e-01,4.470332732904916284e+00,-8.211922096430329526e-09,0.000000000000000000e+00,-1.724085921464412444e-08
5.000000000000000971e-02,1.122884900302389272e-01,4.718540763572803165e+00,-6.878472197961931616e-09,0.000000000000000000e+00,-2.010970646962857504e-08
5.250000000000001193e-02,1.242243914665230320e-01,4.962529424760244723e+00,-8.566114987347434437e-09,0.000000000000000000e+00,-2.329426365124256309e-08
5.500000000000001416e-02,1.367685055528722604e-01,5.205413134730777713e+00,-6.915166737256973726e-09,0.000000000000000000e+00,-2.678608507461174062e-08
5.750000000000001638e-02,1.499200461476740964e-01,5.448680869831064477e+00,-7.338593787322825105e-09,0.000000000000000000e+00,-3.062920765369252104e-08
6.000000000000001860e-02,1.636799747260641313e-01,5.692335161896604490e+00,-7.481140166668066664e-09,0.000000000000000000e+00,-3.483344752212713467e-08
6.250000000000001388e-02,1.780492591203209352e-01,5.936378564740842023e+00,-1.106271224839111514e-08,0.000000000000000000e+00,-3.940219976594493303e-08
6.500000000000001610e-02,1.930288735402610478e-01,6.180813595322138809e+00,-8.017075864663202530e-09,0.000000000000000000e+00,-4.433376626186909309e-08
6.750000000000001832e-02,2.086197984493672053e-01,6.425642679857743289e+00,-1.030308522728826857e-08,0.000000000000000000e+00,-4.965580202939268632e-08
7.000000000000002054e-02,2.248230203089849055e-01,6.670868104695259149e+00,-7.761778131422721077e-09,0.000000000000000000e+00,-5.534372922006768174e-08
7.250000000000002276e-02,2.416395312023083275e-01,6.916491971687688256e+00,-1.486484436129298102e-08,0.000000000000000000e+00,-6.144286098562098214e-08
7.500000000000002498e-02,2.590703283493239195e-01,7.162516157967566244e+00,-1.877938865859955618e-08,0.000000000000000000e+00,-6.788456779275074124e-08
7.750000000000002720e-02,2.771164135237230708e-01,7.408942280026462157e+00,-1.757822482260745743e-08,0.000000000000000000e+00,-7.464971558570429946e-08
8.000000000000002942e-02,2.957787923823906873e-01,7.655771662108111997e+00,-1.451450325016324335e-08,0.000000000000000000e+00,-8.174979658663273366e-08
8.250000000000003164e-02,3.150584737184529693e-01,7.903007377438676428e+00,-1.651699700480143006e-08,0.000000000000000000e+00,-8.920317482420280601e-08
8.500000000000003386e-02,3.349564796765596153e-01,8.150671841126266415e+00,-1.649159914237466876e-08,0.000000000000000000e+00,-9.699937134076303853e-08
8.750000000000003608e-02,3.554738921567808241e-01,8.398767057104404188e+00,-1.700404315987139240e-08,0.000000000000000000e+00,-1.051212910715656703e-07
8.999999999999999667e-02,3.766117853873684473e-01,8.647288158475706865e+00,-2.134358919040574101e-08,0.000000000000000000e+00,-1.135665300701373616e-07
9.249999999999999889e-02,3.983712471084393525e-01,8.896643667715595782e+00,-2.606499851174790360e-08,0.000000000000000000e+00,-1.223068260515431613e-07
9.500000000000000111e-02,4.207548041811619011e-01,9.147241912895060167e+00,-2.312156619548690675e-08,0.000000000000000000e+00,-1.313035946845532662e-07
9.750000000000000333e-02,4.437655603987945563e-01,9.399077454136989473e+00,-1.959864775892652790e-08,0.000000000000000000e+00,-1.405704194789019252e-07
1.000000000000000056e-01,4.674066059235433279e-01,9.652144839476299865e+00,-2.372687345891077155e-08,0.000000000000000000e+00,-1.501217089021044607e-07
1.025000000000000078e-01,4.916810147293884103e-01,9.906353994389125006e+00,-2.375364038596742023e-08,0.000000000000000000e+00,-1.599533676474715457e-07
1.050000000000000100e-01,5.165915370742221180e-01,1.016156898832069189e+01,-3.106655962800066072e-08,0.000000000000000000e+00,-1.700931930364011600e-07
1.075000000000000122e-01,5.421406265254906653e-01,1.041772575617245877e+01,-3.610570997924965094e-08,0.000000000000000000e+00,-1.805449390642234907e-07
1.100000000000000006e-01,5.683306682933492171e-01,1.067484848713865908e+01,-2.346247961173918110e-08,0.000000000000000000e+00,-1.913225473352685808e-07
1.125000000000000028e-01,5.951640004815420548e-01,1.093202730855089122e+01,-2.940404501614018062e-08,0.000000000000000000e+00,-2.025203332897286055e-07
1.150000000000000050e-01,6.226398035136467835e-01,1.118834640372241651e+01,-2.393580589383337455e-08,0.000000000000000000e+00,-2.141563571767970049e-07
1.175000000000000072e-01,6.507559026138718394e-01,1.144375941611938252e+01,-1.118195102717424275e-08,0.000000000000000000e+00,-2.263273439166760350e-07
1.200000000000000094e-01,6.795100054395625255e-01,1.169821691827753085e+01,-5.972156452556383369e-09,0.000000000000000000e+00,-2.391469098526301192e-07
1.225000000000000117e-01,7.088996942872506368e-01,1.195166618541767178e+01,1.495749782412788841e-09,0.000000000000000000e+00,-2.527257117420638796e-07
1.250000000000000000e-01,7.389224177095705670e-01,1.220405092778008616e+01,-4.270085078034296439e-08,0.000000000000000000e+00,-2.672005088672105428e-07
1.275000000000000022e-01,7.695754814392569143e-01,1.245531098087583644e+01,-5.867011758044998959e-08,0.000000000000000000e+00,-2.824549985971029223e-07
1.300000000000000044e-01,8.008560385146615834e-01,1.270538195232277090e+01,-4.142049856379803660e-08,0.000000000000000000e+00,-2.984902798638211677e-07
1.325000000000000067e-01,8.327609423126071109e-01,1.295443233139483752e+01,-7.656413679216963087e-08,0.000000000000000000e+00,-3.154975146994383242e-07
1.350000000000000089e-01,8.652883594219327179e-01,1.320335100393070071e+01,-2.415191671109059452e-08,0.000000000000000000e+00,-3.334316395620971567e-07
1.375000000000000111e-01,8.984380367858382233e-01,1.345216478507954250e+01,-5.662157269759620338e-08,0.000000000000000000e+00,-3.526505631586285208e-07
1.400000000000000133e-01,9.322096652239967307e-01,1.370078755510188806e+01,-3.097167741456802113e-08,0.000000000000000000e+00,-3.731450638994572068e-07
1.425000000000000155e-01,9.666027166128905446e-01,1.394912644201045282e+01,-5.081747391999752298e-08,0.000000000000000000e+00,-3.951778656677006206e-07
1.450000000000000178e-01,1.001616426656096293e+00,1.419708118080291293e+01,1.907953694574700778e-09,0.000000000000000000e+00,-4.188437419621528528e-07
1.475000000000000200e-01,1.037249776026583969e+00,1.444454342660733381e+01,-5.563177274408468021e-08,0.000000000000000000e+00,-4.445773736720344855e-07
1.500000000000000222e-01,1.073501469765624439e+00,1.469139602214560369e+01,-8.482871603098933589e-08,0.000000000000000000e+00,-4.723038812767664905e-07
1.525000000000000244e-01,1.110369930127158344e+00,1.493781242659825459e+01,-2.992438211003090316e-08,0.000000000000000000e+00,-5.020233228032006052e-07
1.550000000000000266e-01,1.147854323496759754e+00,1.518400337194740501e+01,-1.401733209547830390e-08,0.000000000000000000e+00,-5.342626085737664652e-07
1.575000000000000289e-01,1.185954047266425615e+00,1.542989806909879569e+01,-8.020913197181817110e-09,0.000000000000000000e+00,-5.694034692134829951e-07
1.600000000000000311e-01,1.224668319570300756e+00,1.567542161628386488e+01,-6.041185129261196604e-08,0.000000000000000000e+00,-6.075644284851794573e-07
1.625000000000000333e-01,1.263996168922044916e+00,1.592049485621825511e+01,-3.195239904061901365e-08,0.000000000000000000e+00,-6.486576619662333248e-07
1.650000000000000355e-01,1.303936423496886210e+00,1.616503423656496707e+01,-4.735138423138307859e-08,0.000000000000000000e+00,-6.931801434013974323e-07
1.675000000000000377e-01,1.344487700065571723e+00,1.640895167444018909e+01,-1.445885533415826375e-08,0.000000000000000000e+00,-7.412730732330747175e-07
1.700000000000000400e-01,1.385648392593782807e+00,1.665215442499726706e+01,-2.460986176997722717e-07,0.000000000000000000e+00,-7.935036375543154763e-07
1.725000000000000422e-01,1.427416660513865176e+00,1.689454495744431384e+01,-4.112431001978367646e-07,0.000000000000000000e+00,-8.488945520432733996e-07
1.750000000000000444e-01,1.469790416694187751e+00,1.713602083910150853e+01,-2.690910918717056107e-07,0.000000000000000000e+00,-9.066350886944355613e-07
1.775000000000000466e-01,1.512767315119367018e+00,1.737645003504166397e+01,-4.046137957363022062e-07,0.000000000000000000e+00,-9.677441640209030519e-07
1.800000000000000488e-01,1.556344482529049333e+00,1.761483065696794981e+01,-4.347375770064756586e-07,0.000000000000000000e+00,-1.031574018778145222e-06
1.825000000000000511e-01,1.600516165912032385e+00,1.785061992877636428e+01,-4.360507581397856227e-07,0.000000000000000000e+00,-1.098189638333011876e-06
1.850000000000000533e-01,1.645275820130157607e+00,1.808369736569386887e+01,-4.766021127772507775e-07,0.000000000000000000e+00,-1.167853424216748000e-06
1.875000000000000555e-01,1.690616596031301766e+00,1.831393751185389007e+01,-3.368319309651816480e-07,0.000000000000000000e+00,-1.239969952731318972e-06
1.900000000000000577e-01,1.736531328016533537e+00,1.854120993895248759e+01,-6.194570200711756550e-07,0.000000000000000000e+00,-1.315705291878798362e-06
1.925000000000000600e-01,1.783012521614973256e+00,1.876537926918424404e+01,-5.540458527222419152e-07,0.000000000000000000e+00,-1.394171640104607685e-06
1.950000000000000622e-01,1.830052341130755655e+00,1.898630522503696483e+01,-8.660625775740960006e-07,0.000000000000000000e+00,-1.475324494754991808e-06
1.975000000000000644e-01,1.877642597431410820e+00,1.920384270694392725e+01,-7.482324131664383101e-07,0.000000000000000000e+00,-1.557675628760276688e-06
2.000000000000000666e-01,1.925774735943013072e+00,1.941784190175234315e+01,-9.378104318213242067e-07,0.000000000000000000e+00,-1.642107868613269721e-06
2.025000000000000688e-01,1.974439886598041705e+00,1.962926612038532070e+01,-1.116400566461778176e-06,0.000000000000000000e+00,-1.727450099358572037e-06
2.050000000000000711e-01,2.023632876816444881e+00,1.983989409447864816e+01,-1.133907934909688653e-06,0.000000000000000000e+00,-1.812013753261144274e-06
2.075000000000000733e-01,2.073352181146961293e+00,2.005006182192544273e+01,-7.305767629918184344e-07,0.000000000000000000e+00,-1.896075367679269229e-06
2.100000000000000755e-01,2.123596635273135913e+00,2.025974632802028097e+01,-1.116520539463829622e-06,0.000000000000000000e+00,-1.981872818626429466e-06
2.125000000000000777e-01,2.174365018827519869e+00,2.046892693217341375e+01,-9.227196029309273574e-07,0.000000000000000000e+00,-2.067537446365059550e-06
2.150000000000000799e-01,2.225656060921983315e+00,2.067758489946121969e+01,-8.770862059204240894e-07,0.000000000000000000e+00,-2.153905164827668426e-06
2.175000000000000822e-01,2.277468444822878357e+00,2.088570311265790735e+01,-1.163787298515387639e-06,0.000000000000000000e+00,-2.240599116603304678e-06
2.200000000000000844e-01,2.329800811819222162e+00,2.109326576809790410e+01,-1.253222062010651132e-06,0.000000000000000000e+00,-2.326466697920688692e-06
2.225000000000000866e-01,2.382651764340516287e+00,2.130025809269266546e+01,-1.248778864296468729e-06,0.000000000000000000e+00,-2.410251694628843961e-06
2.250000000000000888e-01,2.436019868379924347e+00,2.150666607966673638e+01,-1.018637612563943460e-06,0.000000000000000000e+00,-2.492972152231195406e-06
2.275000000000000910e-01,2.489903655267175164e+00,2.171247624258151276e+01,-8.056340917168777178e-07,0.000000000000000000e+00,-2.574587156888805523e-06
2.300000000000000100e-01,2.544301622836192323e+00,2.191767538932814929e+01,-1.331757777951564586e-06,0.000000000000000000e+00,-2.656899388216610708e-06
2.325000000000000122e-01,2.599212213050967613e+00,2.212188659931636181e+01,-1.357889399124140654e-06,0.000000000000000000e+00,-2.736509414707857840e-06
2.350000000000000144e-01,2.654632559104923573e+00,2.232473632928218166e+01,-1.695720029522570246e-06,0.000000000000000000e+00,-2.813529370266212992e-06
2.375000000000000167e-01,2.710559252689777043e+00,2.252621658392376247e+01,-1.298032313476293942e-06,0.000000000000000000e+00,-2.886230493433268330e-06
2.400000000000000189e-01,2.766988865509863338e+00,2.272631929909513460e+01,-1.113351961129165027e-06,0.000000000000000000e+00,-2.956177133690987582e-06
2.425000000000000211e-01,2.823917949024849605e+00,2.292503619649244229e+01,-1.040835103505647348e-06,0.000000000000000000e+00,-3.023755134099394919e-06
2.450000000000000233e-01,2.881343033835177092e+00,2.312235865113985511e+01,-1.052567593171766594e-06,0.000000000000000000e+00,-3.089483721629566925e-06
2.475000000000000255e-01,2.939260628746133364e+00,2.331827757172691662e+01,-1.175611422838851191e-06,0.000000000000000000e+00,-3.153180540574995474e-06
2.500000000000000000e-01,2.997667219537192285e+00,2.351278329207277906e+01,-1.500845486719889205e-06,0.000000000000000000e+00,-3.214239091108246257e-06
2.525000000000000022e-01,3.056559263163788565e+00,2.370579517334004294e+01,-1.754764433781535448e-06,0.000000000000000000e+00,-3.271205260413709671e-06
2.550000000000000044e-01,3.115932943765483021e+00,2.389723116690313276e+01,-1.771753732070916144e-06,0.000000000000000000e+00,-3.322475673036114636e-06
2.575000000000000067e-01,3.175784314415897924e+00,2.408707838255000411e+01,-1.971100526392374107e-06,0.000000000000000000e+00,-3.367986252018740056e-06
2.600000000000000089e-01,3.236109395597446259e+00,2.427532325788056156e+01,-1.933828615729239627e-06,0.000000000000000000e+00,-3.406905368176968408e-06
2.625000000000000111e-01,3.296904173492439583e+00,2.446195150893084502e+01,-1.978090963232290844e-06,0.000000000000000000e+00,-3.439583508545388381e-06
2.650000000000000133e-01,3.358164598151600622e+00,2.464694808827474404e+01,-1.920003099615817681e-06,0.000000000000000000e+00,-3.465404500091857031e-06
2.675000000000000155e-01,3.419886581565737771e+00,2.483029714892242268e+01,-2.223937303003037359e-06,0.000000000000000000e+00,-3.484042276532369160e-06
2.700000000000000178e-01,3.482065995647263268e+00,2.501198201619428474e+01,-2.032078301351827364e-06,0.000000000000000000e+00,-3.494459198535372436e-06
2.725000000000000200e-01,3.544698670147623076e+00,2.519198516412158284e+01,-1.968811319493597206e-06,0.000000000000000000e+00,-3.497034710040245560e-06
2.750000000000000222e-01,3.607780390516346358e+00,2.537028819732119800e+01,-2.094282748417804188e-06,0.000000000000000000e+00,-3.491524983536681813e-06
2.775000000000000244e-01,3.671306895719989249e+00,2.554687184063980609e+01,-2.334579523988513709e-06,0.000000000000000000e+00,-3.477268074268209339e-06
2.800000000000000266e-01,3.735273876039471919e+00,2.572171593348479490e+01,-2.038574855071764236e-06,0.000000000000000000e+00,-3.453200338546229935e-06
2.825000000000000289e-01,3.799676970852576829e+00,2.589479942842480042e+01,-2.511871432648815550e-06,0.000000000000000000e+00,-3.420270114760504618e-06
2.850000000000000311e-01,3.864511766419135519e+00,2.606610039434633563e+01,-2.168604668278192165e-06,0.000000000000000000e+00,-3.376200224469443800e-06
2.875000000000000333e-01,3.929773793674700144e+00,2.623559602556466430e+01,-1.929841844808120988e-06,0.000000000000000000e+00,-3.322198123074531915e-06
2.899999999999999800e-01,3.995458526050178261e+00,2.640326265345527901e+01,-1.539432155089837688e-06,0.000000000000000000e+00,-3.258841898563261432e-06
2.924999999999999822e-01,4.061561385069901498e+00,2.656919651733844745e+01,-2.191161819424967410e-06,0.000000000000000000e+00,-3.187086388219124578e-06
2.949999999999999845e-01,4.128078153469711076e+00,2.673349026239449344e+01,-1.813844582975210466e-06,0.000000000000000000e+00,-3.104219970414712079e-06
2.974999999999999867e-01,4.195004713925607476e+00,2.689611349440100341e+01,-1.739361018132140176e-06,0.000000000000000000e+00,-3.011683888440930943e-06
2.999999999999999889e-01,4.262336872608156746e+00,2.705703491231305691e+01,-1.258684905806857431e-06,0.000000000000000000e+00,-2.909735600617781609e-06
3.024999999999999911e-01,4.330070431522181629e+00,2.721734375683256602e+01,-1.551111656432118301e-06,0.000000000000000000e+00,-2.799617314653815596e-06
3.049999999999999933e-01,4.398205018112927966e+00,2.737805508903226936e+01,-1.207027227736776603e-06,0.000000000000000000e+00,-2.679930541344655688e-06
3.074999999999999956e-01,4.466741558650602961e+00,2.753902636889629818e+01,-1.019459084154864685e-06,0.000000000000000000e+00,-2.551614237700196113e-06
3.099999999999999978e-01,4.535680621845174620e+00,2.770011314107826905e+01,-1.501582566153388158e-06,0.000000000000000000e+00,-2.415012562394091184e-06
3.125000000000000000e-01,4.605022414295102173e+00,2.786116946811968376e+01,-1.231363097718337985e-06,0.000000000000000000e+00,-2.268329982670159839e-06
3.150000000000000022e-01,4.674766777042480115e+00,2.802204840599619118e+01,-9.987639390064169359e-07,0.000000000000000000e+00,-2.112444773914141235e-06
3.175000000000000044e-01,4.744913183342148066e+00,2.818260251931410920e+01,-6.813688928123499890e-07,0.000000000000000000e+00,-1.947756165721244244e-06
3.200000000000000067e-01,4.815460737738709973e+00,2.834268443066461174e+01,-3.380115354537819702e-07,0.000000000000000000e+00,-1.775295305873717646e-06
3.225000000000000089e-01,4.886408176533532099e+00,2.850214739576158607e+01,-3.888397467197142717e-07,0.000000000000000000e+00,-1.596078053102421914e-06
3.250000000000000111e-01,4.957753869701902794e+00,2.866084589387099157e+01,-2.840238907976380099e-07,0.000000000000000000e+00,-1.409894993415378592e-06
3.275000000000000133e-01,5.029495824288388484e+00,2.881863621741850778e+01,-1.533071896574573998e-07,0.000000000000000000e+00,-1.216868553632529591e-06
3.300000000000000155e-01,5.101631689271256320e+00,2.897537704527138658e+01,-1.121225596995306225e-07,0.000000000000000000e+00,-1.017203861782248591e-06
3.325000000000000178e-01,5.174158761844805277e+00,2.913092998292331615e+01,-1.299244375415839358e-07,0.000000000000000000e+00,-8.113140246646881570e-07
3.350000000000000200e-01,5.247073995026719118e+00,2.928516005057477756e+01,-5.648857102141042801e-08,0.000000000000000000e+00,-5.987338197018599158e-07
3.375000000000000222e-01,5.320374006450652615e+00,2.943793610515076153e+01,-1.128457177135771055e-08,0.000000000000000000e+00,-3.792279652450370147e-07
3.400000000000000244e-01,5.394055088173346668e+00,2.958913118782644958e+01,-2.677329244120674948e-07,0.000000000000000000e+00,-1.528639923399886842e-07
3.425000000000000266e-01,5.468113217305236695e+00,2.973862278867147779e+01,-2.105374558000682367e-07,0.000000000000000000e+00,8.100141514807848029e-08
3.450000000000000289e-01,5.542544067255299467e+00,2.988629302987307312e+01,2.481353058823424812e-08,0.000000000000000000e+00,3.228651383514210234e-07
3.475000000000000311e-01,5.617343019390179215e+00,3.003202877384668668e+01,3.545864996528268277e-07,0.000000000000000000e+00,5.720268196205100488e-07
3.500000000000000333e-01,5.692505174922412259e+00,3.017572166241789233e+01,1.030668086155007237e-06,0.000000000000000000e+00,8.276513511954674177e-07
3.525000000000000355e-01,5.768025352200742972e+00,3.031707313219938982e+01,1.260546328318302027e-06,0.000000000000000000e+00,1.087330758870708080e-06
