Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,-4.698591253993075860e-13,0.000000000000000000e+00,3.241525600883996073e-14
2.500000000000000052e-03,9.988567513481977703e-03,1.496320274811237423e-02,9.037233517497842894e-13,0.000000000000000000e+00,2.610084965853868779e-13
5.000000000000000104e-03,1.005932768740792210e-02,1.088164753301892468e-01,5.234642532155314087e-12,0.000000000000000000e+00,1.169355660241407064e-12
7.499999999999999722e-03,1.040951040644740380e-02,2.815680713908550459e-01,1.683795311364006727e-11,0.000000000000000000e+00,3.667327601912080203e-12
1.000000000000000021e-02,1.124116792648184940e-02,5.146487860143184045e-01,2.255796873928156118e-11,0.000000000000000000e+00,7.363739732574087888e-12
1.250000000000000069e-02,1.266719573616702926e-02,7.693547691171758185e-01,-7.274202101841837434e-13,0.000000000000000000e+00,1.439532300776007194e-11
1.500000000000000118e-02,1.474180696895729947e-02,1.043332878579210199e+00,-1.289089792432110196e-11,0.000000000000000000e+00,2.611700660899760225e-11
1.750000000000000167e-02,1.750881698890507238e-02,1.324975072304647838e+00,7.504398820696658153e-11,0.000000000000000000e+00,4.583022139515331955e-11
2.000000000000000042e-02,2.098265814685114361e-02,1.611418567904989940e+00,-4.490989348008762665e-12,0.000000000000000000e+00,7.371480975382966132e-11
2.249999999999999917e-02,2.517533380771925719e-02,1.902663525408940792e+00,-8.695434125741273822e-11,0.000000000000000000e+00,1.138657622798026306e-10
2.499999999999999792e-02,3.009884767259699001e-02,2.198709990182606155e+00,-2.116856658273614482e-10,0.000000000000000000e+00,1.735246767444743615e-10
2.749999999999999667e-02,3.576520348919991904e-02,2.499557887736635564e+00,-2.067622081828343935e-10,0.000000000000000000e+00,2.591127361351670766e-10
2.999999999999999542e-02,4.218717312166300054e-02,2.802234771769852806e+00,-2.130531940391472264e-10,0.000000000000000000e+00,3.766751463568001319e-10
3.249999999999999417e-02,4.936325976241862784e-02,3.100545617039677904e+00,9.552938942323653253e-11,0.000000000000000000e+00,5.330547484804597013e-10
3.499999999999999639e-02,5.728254680576359836e-02,3.394316552322244718e+00,-5.058177108949180717e-11,0.000000000000000000e+00,7.274223427255389612e-10
3.749999999999999861e-02,6.593368290422392530e-02,3.683544757089639798e+00,4.316087555943892487e-10,0.000000000000000000e+00,9.754259295073817643e-10
4.000000000000000083e-02,7.530530959644025912e-02,3.968227297708625034e+00,1.038979895495230253e-09,0.000000000000000000e+00,1.275410301822191349e-09
4.250000000000000305e-02,8.538606102293225253e-02,4.248361124865320804e+00,1.553127891581558062e-09,0.000000000000000000e+00,1.622644583804010930e-09
4.500000000000000527e-02,9.616456363520743678e-02,4.523943070602306271e+00,1.360065045108896457e-09,0.000000000000000000e+00,2.016772690608929054e-09
4.750000000000000749e-02,1.076294358973274717e-01,4.794969845102553307e+00,8.165332250092493953e-10,0.000000000000000000e+00,2.469419971762424524e-09
5.000000000000000971e-02,1.197692879792442988e-01,5.061438033182009910e+00,-9.264917333848369488e-11,0.000000000000000000e+00,2.996751671704666846e-09
5.250000000000001193e-02,1.325727220451666799e-01,5.323448469997572374e+00,2.047441589345630202e-09,0.000000000000000000e+00,3.615193039067375883e-09
5.500000000000001416e-02,1.460293266239697796e-01,5.584313548955750051e+00,2.605357003679323417e-09,0.000000000000000000e+00,4.300155309295406066e-09
5.750000000000001638e-02,1.601383428508949269e-01,5.845618070652395026e+00,3.780748339246271626e-09,0.000000000000000000e+00,5.046076239002952691e-09
6.000000000000001860e-02,1.749008699501906350e-01,6.107363524413039535e+00,3.789028629787041102e-09,0.000000000000000000e+00,5.835854435841711976e-09
6.250000000000001388e-02,1.903180130685703797e-01,6.369560212374422825e+00,4.266774923288018262e-09,0.000000000000000000e+00,6.663728627976806386e-09
6.500000000000001610e-02,2.063909055251429148e-01,6.632209168113236686e+00,4.685543329908686788e-09,0.000000000000000000e+00,7.523798975331062596e-09
6.750000000000001832e-02,2.231206753220035810e-01,6.895305491343933113e+00,4.917006445802812642e-09,0.000000000000000000e+00,8.403326902036732927e-09
7.000000000000002054e-02,2.405084379817625240e-01,7.158843978993391310e+00,4.404377490583123279e-09,0.000000000000000000e+00,9.301179853268515149e-09
7.250000000000002276e-02,2.585552959380049143e-01,7.422819280365660966e+00,4.398265827791748490e-09,0.000000000000000000e+00,1.021964785547826593e-08
7.500000000000002498e-02,2.772623380470935484e-01,7.687225716454188174e+00,4.028775357374174111e-09,0.000000000000000000e+00,1.115942875852751683e-08
