Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416924818610543e-03,1.255359836846930109e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026648377599363e-02,9.917763328477284535e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037072917103875648e-02,2.598798362665003525e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951315593599521e-02,4.772251696739617244e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246261555742500179e-02,7.148738441633477603e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439093543130761862e-02,9.706163839896069234e-01,1.099188881740077464e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696560920246362181e-02,1.233554144317019929e+00,5.459430350534974453e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020018621939983355e-02,1.500999778387665184e+00,1.240073978500851862e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410593666693616743e-02,1.772954182681929280e+00,2.175939086572655076e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869413307697793111e-02,2.049418388229192978e+00,3.390860913081958665e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.397605053167306738e-02,2.330393400732098108e+00,4.931611625740602153e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,3.996368792723434260e-02,2.613089664406987200e+00,6.839355171614851757e-04,0.000000000000000000e+00,7.702087192812589664e-05
3.249999999999999417e-02,4.665565098604799316e-02,2.891692294136400498e+00,9.149884988709931690e-04,0.000000000000000000e+00,1.826964946516810933e-04
3.499999999999999639e-02,5.404170496897452158e-02,3.166039428677461132e+00,1.189694024786764693e-03,0.000000000000000000e+00,3.229051300628395260e-04
3.749999999999999861e-02,6.211121047087259095e-02,3.436129887851647524e+00,1.511243460624507292e-03,0.000000000000000000e+00,5.040023944191017935e-04
4.000000000000000083e-02,7.085352513367774996e-02,3.701962487390247691e+00,1.882648385700046775e-03,0.000000000000000000e+00,7.327951997259577301e-04
4.250000000000000305e-02,8.025800363911717028e-02,3.963536044207599751e+00,2.306743359879535448e-03,0.000000000000000000e+00,1.016516091276424430e-03
4.500000000000000527e-02,9.031399771344447713e-02,4.220849379554829639e+00,2.786188695290254830e-03,0.000000000000000000e+00,1.362797981632379125e-03
4.750000000000000749e-02,1.010108561393938120e-01,4.473901320915131485e+00,3.323473230606515186e-03,0.000000000000000000e+00,1.779649281738217943e-03
5.000000000000000971e-02,1.123379247724410057e-01,4.722690703163263670e+00,3.921317227463905035e-03,0.000000000000000000e+00,2.275428909215548249e-03
5.250000000000001193e-02,1.242845465645994879e-01,4.967301695326698407e+00,4.582848705300976086e-03,0.000000000000000000e+00,2.858909604034530049e-03
5.500000000000001416e-02,1.368409507044732187e-01,5.210830908476187240e+00,5.311868944089798497e-03,0.000000000000000000e+00,3.539348269034859815e-03
5.750000000000001638e-02,1.500064074914045364e-01,5.454764476096821468e+00,6.112361046210491346e-03,0.000000000000000000e+00,4.326541595535398493e-03
6.000000000000001860e-02,1.637819275208718672e-01,5.699101916078533669e+00,6.988323054643505276e-03,0.000000000000000000e+00,5.230857298291194911e-03
6.250000000000001388e-02,1.781685202145903424e-01,5.943842797812521894e+00,7.943767889392501502e-03,0.000000000000000000e+00,6.263236253509165199e-03
6.500000000000001610e-02,1.931671939435026242e-01,6.188986732675907376e+00,8.982723285165387581e-03,0.000000000000000000e+00,7.435194627794893332e-03
6.750000000000001832e-02,2.087789561281586104e-01,6.434533366486430594e+00,1.010923172779068339e-02,0.000000000000000000e+00,8.758825998138467309e-03
7.000000000000002054e-02,2.250048133211757506e-01,6.680482373505673976e+00,1.132735039315400753e-02,0.000000000000000000e+00,1.024680346292736188e-02
7.250000000000002276e-02,2.418457712754012168e-01,6.926833451604117009e+00,1.264115108422749975e-02,0.000000000000000000e+00,1.191238174403871919e-02
7.500000000000002498e-02,2.593028350005422422e-01,7.173586318341740764e+00,1.405472017002733741e-02,0.000000000000000000e+00,1.376939928006585406e-02
7.750000000000002720e-02,2.773770088104324238e-01,7.420740707765077993e+00,1.557215852344608596e-02,0.000000000000000000e+00,1.583228031071956879e-02
8.000000000000002942e-02,2.960692963626350149e-01,7.668296367771699096e+00,1.719758146155781972e-02,0.000000000000000000e+00,1.811603695250248516e-02
8.250000000000003164e-02,3.153807006917331845e-01,7.916253057927793435e+00,1.893511868494446998e-02,0.000000000000000000e+00,2.063627126568196024e-02
8.500000000000003386e-02,3.353122242373863249e-01,8.164610547650530847e+00,2.078891421668374595e-02,0.000000000000000000e+00,2.340917731270085803e-02
