Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,8.559876687674951179e-15,0.000000000000000000e+00,1.249180932230466884e-15
2.500000000000000052e-03,9.988416929469457958e-03,1.255359600587160375e-02,4.298021681103393099e-13,0.000000000000000000e+00,3.989248729219945741e-14
5.000000000000000104e-03,1.005026647867929973e-02,9.917760403360996457e-02,2.109261364356241580e-12,0.000000000000000000e+00,1.165422213302968425e-13
7.499999999999999722e-03,1.037072907189952840e-02,2.598797691347931593e-01,2.293691399816416890e-12,0.000000000000000000e+00,6.393273450147835868e-14
1.000000000000000021e-02,1.113951294036838978e-02,4.772252333379224387e-01,5.430816107303010664e-13,0.000000000000000000e+00,-2.255543855470217184e-13
1.250000000000000069e-02,1.246261588905917157e-02,7.148745792313622172e-01,-2.874833210937836310e-12,0.000000000000000000e+00,-7.979279343622350773e-13
1.500000000000000118e-02,1.439093857058886504e-02,9.706187328540150094e-01,-6.247937530953069747e-12,0.000000000000000000e+00,-1.498462021366836368e-12
1.750000000000000167e-02,1.696561993459300491e-02,1.233559328824432200e+00,-7.974293455710400479e-12,0.000000000000000000e+00,-2.205583507902179964e-12
2.000000000000000042e-02,2.020021239599871163e-02,1.501009077591590080e+00,-1.019889613760914491e-11,0.000000000000000000e+00,-2.843385768922979142e-12
2.249999999999999917e-02,2.410598926711085555e-02,1.772968740650929353e+00,-1.163963349285104769e-11,0.000000000000000000e+00,-3.318306341904425893e-12
2.499999999999999792e-02,2.869422571057781909e-02,2.049438984288825427e+00,-6.365757887114207205e-12,0.000000000000000000e+00,-3.641939636223116187e-12
2.749999999999999667e-02,3.397619849469497161e-02,2.330420367671226956e+00,-8.022890252302481166e-12,0.000000000000000000e+00,-3.850377300156200269e-12
2.999999999999999542e-02,3.996390709165081184e-02,2.613122881311496837e+00,-9.516546614802671643e-12,0.000000000000000000e+00,-3.933175771372821892e-12
3.249999999999999417e-02,4.665595663667407300e-02,2.891731142552389500e+00,-2.722304897686390996e-12,0.000000000000000000e+00,-3.804558817857621583e-12
3.499999999999999639e-02,5.404211053687325156e-02,3.166082746588910535e+00,-3.036690855484254863e-12,0.000000000000000000e+00,-3.584227904792666259e-12
3.749999999999999861e-02,6.211172615520175327e-02,3.436175934264575016e+00,-5.039174031714434377e-12,0.000000000000000000e+00,-3.325971570750508554e-12
4.000000000000000083e-02,7.085415644234362154e-02,3.702008922826034887e+00,-2.600992165047644639e-12,0.000000000000000000e+00,-2.950396212238343814e-12
4.250000000000000305e-02,8.025874989567002848e-02,3.963579940682708358e+00,-3.227313097414664848e-12,0.000000000000000000e+00,-2.496698281411020795e-12
4.500000000000000527e-02,9.031485061114204183e-02,4.220887274020878266e+00,-6.340263361455990437e-12,0.000000000000000000e+00,-1.970281411852683076e-12
4.750000000000000749e-02,1.010117981406124799e-01,4.473928888394421932e+00,-2.503370272749057681e-11,0.000000000000000000e+00,-1.304412296774310658e-12
5.000000000000000971e-02,1.123389277148200832e-01,4.722703780435601573e+00,-3.229328070097348445e-11,0.000000000000000000e+00,-3.069399050779576716e-13
5.250000000000001193e-02,1.242855719260678449e-01,4.967297524389127972e+00,-3.235678289053031300e-11,0.000000000000000000e+00,1.134293151698116785e-12
5.500000000000001416e-02,1.368419545944476734e-01,5.210808349591268041e+00,-3.444935204849046040e-11,0.000000000000000000e+00,2.981095248591700748e-12
5.750000000000001638e-02,1.500073433727477923e-01,5.454722724734756056e+00,-1.268915305190386044e-11,0.000000000000000000e+00,5.282468044236792649e-12
6.000000000000001860e-02,1.637827470122784623e-01,5.699040431594066369e+00,-2.196732420261936691e-11,0.000000000000000000e+00,7.882436034652672089e-12
6.250000000000001388e-02,1.781691737179767199e-01,5.943761250538680763e+00,-1.620108344075401729e-11,0.000000000000000000e+00,1.084627160553251645e-11
6.500000000000001610e-02,1.931676311448398964e-01,6.188884960431600746e+00,-6.179208304673590605e-11,0.000000000000000000e+00,1.419288980539229752e-11
6.750000000000001832e-02,2.087791263941070619e-01,6.434411338532308733e+00,-4.616430395910286108e-11,0.000000000000000000e+00,1.829935276739851346e-11
7.000000000000002054e-02,2.250046660091994388e-01,6.680340160402827188e+00,-3.150747651893121432e-11,0.000000000000000000e+00,2.306940248928376052e-11
7.250000000000002276e-02,2.418452559714270034e-01,6.926671199816010649e+00,-1.171899830064230198e-11,0.000000000000000000e+00,2.846601536129888171e-11
7.500000000000002498e-02,2.593019016954665745e-01,7.173404228665356541e+00,-5.549058502776408671e-11,0.000000000000000000e+00,3.430744685279767366e-11
7.750000000000002720e-02,2.773756080246143618e-01,7.420539016875904892e+00,-1.068319620514788255e-10,0.000000000000000000e+00,4.097697777210442324e-11
8.000000000000002942e-02,2.960673792258163850e-01,7.668075332315958725e+00,-6.899991711051483705e-11,0.000000000000000000e+00,4.879271049491290819e-11
8.250000000000003164e-02,3.153782189844783201e-01,7.916012940709267198e+00,4.935019579318447713e-12,0.000000000000000000e+00,5.768340248522396063e-11
