Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,5.228679934000473560e-14,0.000000000000000000e+00,-1.318433538004179939e-14
2.500000000000000052e-03,9.988416932148490301e-03,1.255358360572151472e-02,3.183771354221234281e-13,0.000000000000000000e+00,-8.803579401469236036e-14
5.000000000000000104e-03,1.005026645425302796e-02,9.917755267736044766e-02,1.290587942354028694e-13,0.000000000000000000e+00,-4.253392575438865850e-13
7.499999999999999722e-03,1.037072887505374047e-02,2.598795682234685822e-01,-3.016359500503455823e-14,0.000000000000000000e+00,-1.344066963787756848e-12
1.000000000000000021e-02,1.113951212199815535e-02,4.772247260876171238e-01,-1.331997288180512189e-12,0.000000000000000000e+00,-3.200375727726827240e-12
1.250000000000000069e-02,1.246261358138226263e-02,7.148735654569239317e-01,-3.460000867964218097e-12,0.000000000000000000e+00,-6.147647303394111096e-12
1.500000000000000118e-02,1.439093339082041581e-02,9.706169904728425557e-01,-1.511135242290359597e-11,0.000000000000000000e+00,-1.089707248552011206e-11
1.750000000000000167e-02,1.696560994795285465e-02,1.233556643610504544e+00,-3.689593109205622603e-11,0.000000000000000000e+00,-1.746319620025883036e-11
2.000000000000000042e-02,2.020019515424507223e-02,1.501005278828369871e+00,-4.047397464281121453e-11,0.000000000000000000e+00,-2.524804739002473228e-11
2.249999999999999917e-02,2.410596194246584362e-02,1.772963745653411749e+00,-3.176466407792154417e-11,0.000000000000000000e+00,-3.453081136674136732e-11
2.499999999999999792e-02,2.869418534545838465e-02,2.049432851532288602e+00,-5.235448856010540722e-11,0.000000000000000000e+00,-4.543896977187066999e-11
2.749999999999999667e-02,3.397614238848663260e-02,2.330413356211596732e+00,-4.320006880217313053e-11,0.000000000000000000e+00,-5.827306826344853021e-11
2.999999999999999542e-02,3.996383333959893647e-02,2.613115518829635331e+00,-1.273082314014174817e-11,0.000000000000000000e+00,-7.338208148326656184e-11
3.249999999999999417e-02,4.665586483077631408e-02,2.891724277600424386e+00,-1.158195129510670618e-10,0.000000000000000000e+00,-9.159325408647366318e-11
3.499999999999999639e-02,5.404200258728450446e-02,3.166077588368849671e+00,-1.360375621750168169e-10,0.000000000000000000e+00,-1.111367504992743026e-10
3.749999999999999861e-02,6.211160721273644575e-02,3.436174085500321773e+00,-6.489048748817524178e-11,0.000000000000000000e+00,-1.320000193219155085e-10
4.000000000000000083e-02,7.085403589081529230e-02,3.702012392145752173e+00,-9.614478181133352917e-11,0.000000000000000000e+00,-1.551745610203504607e-10
4.250000000000000305e-02,8.025864235936346069e-02,3.963591124095881657e+00,-7.819834401877932562e-11,0.000000000000000000e+00,-1.807842368258636998e-10
4.500000000000000527e-02,9.031477689402356290e-02,4.220908893473954926e+00,-9.821324550816010322e-11,0.000000000000000000e+00,-2.088268679797771328e-10
4.750000000000000749e-02,1.010117863010084466e-01,4.473964312250632958e+00,-1.491736182610539312e-10,0.000000000000000000e+00,-2.391593391696545280e-10
5.000000000000000971e-02,1.123390139185543452e-01,4.722755995567308851e+00,-8.547487264588461812e-11,0.000000000000000000e+00,-2.717546626264698202e-10
5.250000000000001193e-02,1.242857996289639666e-01,4.967368209905937526e+00,-4.715026266610447768e-11,0.000000000000000000e+00,-3.070890992262133727e-10
5.500000000000001416e-02,1.368423702378097073e-01,5.210897976392992348e+00,7.900041311882605680e-11,0.000000000000000000e+00,-3.462439132921514180e-10
5.750000000000001638e-02,1.500079944885484573e-01,5.454831605558772445e+00,8.215822744738110734e-11,0.000000000000000000e+00,-3.904071829976174951e-10
6.000000000000001860e-02,1.637836818238136150e-01,5.699168721132393145e+00,9.362136805174929498e-11,0.000000000000000000e+00,-4.398450809820184723e-10
6.250000000000001388e-02,1.781704407416445923e-01,5.943908939792697410e+00,1.644111592830202159e-10,0.000000000000000000e+00,-4.949827268420612457e-10
6.500000000000001610e-02,1.931692787785940502e-01,6.189051872473458893e+00,3.375560433018036632e-10,0.000000000000000000e+00,-5.570510697894414485e-10
6.750000000000001832e-02,2.087812024960851165e-01,6.434597125647147919e+00,3.221215352498526786e-10,0.000000000000000000e+00,-6.282710283216769865e-10
7.000000000000002054e-02,2.250072174699643546e-01,6.680544302579904503e+00,2.303689683373985713e-10,0.000000000000000000e+00,-7.085461347986812447e-10
7.250000000000002276e-02,2.418483282831709325e-01,6.926893004553215327e+00,3.634659078579157834e-10,0.000000000000000000e+00,-7.973569307535935898e-10
7.500000000000002498e-02,2.593055385214388386e-01,7.173642832045859841e+00,2.153293174013336426e-10,0.000000000000000000e+00,-8.959093362685383337e-10
7.750000000000002720e-02,2.773798507719285600e-01,7.420793385872048731e+00,8.090737670677032734e-12,0.000000000000000000e+00,-1.003385608860538722e-09
8.000000000000002942e-02,2.960722666120013669e-01,7.668344237074310676e+00,7.720749607045265263e-11,0.000000000000000000e+00,-1.119004191867786660e-09
8.250000000000003164e-02,3.153837864989471607e-01,7.916294927237253809e+00,1.343919779119948898e-10,0.000000000000000000e+00,-1.243476793053112992e-09
8.500000000000003386e-02,3.353154098131955752e-01,8.164645048813200745e+00,3.687035739349793506e-10,0.000000000000000000e+00,-1.376934422068361361e-09
8.750000000000003608e-02,3.558681349007963846e-01,8.413394192042098041e+00,3.249928795064181123e-10,0.000000000000000000e+00,-1.521917129223813302e-09
8.999999999999999667e-02,3.770429590854207924e-01,8.662541944262187599e+00,2.031984057536956546e-11,0.000000000000000000e+00,-1.678627528959804230e-09
9.249999999999999889e-02,3.988409045329254221e-01,8.912501931475224737e+00,2.608889994233452608e-10,0.000000000000000000e+00,-1.845674108475552871e-09
9.500000000000000111e-02,4.212644359685597251e-01,9.163674947049592845e+00,5.399565378053224941e-10,0.000000000000000000e+00,-2.026606108302084133e-09
9.750000000000000333e-02,4.443165994133833618e-01,9.416075542828636458e+00,9.209257357219344615e-10,0.000000000000000000e+00,-2.223975762292131683e-09
1.000000000000000056e-01,4.680004599344425031e-01,9.669701570985752781e+00,1.129104463236041165e-09,0.000000000000000000e+00,-2.440478187022077660e-09
1.025000000000000078e-01,4.923190809846660354e-01,9.924552821799537128e+00,1.156570398530093012e-09,0.000000000000000000e+00,-2.679173124555399651e-09
1.050000000000000100e-01,5.172755255127883256e-01,1.018062907680578100e+01,7.988659522469221944e-10,0.000000000000000000e+00,-2.940064626748580100e-09
1.075000000000000122e-01,5.428728558890379974e-01,1.043793008878859574e+01,1.673667010372299507e-09,0.000000000000000000e+00,-3.222715603351988604e-09
1.100000000000000006e-01,5.691141338649797765e-01,1.069645560941737372e+01,2.308063302852793532e-09,0.000000000000000000e+00,-3.531774848064313398e-09
1.125000000000000028e-01,5.960023659697728515e-01,1.095533162341489941e+01,2.101127672740844683e-09,0.000000000000000000e+00,-3.871600397785075713e-09
1.150000000000000050e-01,6.235374908104711622e-01,1.121368393421196430e+01,1.275055465130575321e-09,0.000000000000000000e+00,-4.241497546987278682e-09
1.175000000000000072e-01,6.517181988340224885e-01,1.147151202087744970e+01,8.929151404973077212e-10,0.000000000000000000e+00,-4.638893542356944806e-09
1.200000000000000094e-01,6.805431791891736193e-01,1.172881536979437911e+01,7.282646404865379338e-10,0.000000000000000000e+00,-5.061845062539198980e-09
1.225000000000000117e-01,7.100111197447096512e-01,1.198559347458739843e+01,3.636270758568911439e-10,0.000000000000000000e+00,-5.510099494655496389e-09
1.250000000000000000e-01,7.401207071075159849e-01,1.224184583604554533e+01,8.636114132431875705e-12,0.000000000000000000e+00,-5.981710979277983240e-09
1.275000000000000022e-01,7.708706266404403706e-01,1.249757196204942922e+01,1.779210778334540595e-11,0.000000000000000000e+00,-6.475734252254845589e-09
1.300000000000000044e-01,8.022595624799846448e-01,1.275277136749823370e+01,-7.577689867052370590e-10,0.000000000000000000e+00,-6.992926375180821110e-09
1.325000000000000067e-01,8.342860609853772758e-01,1.300768176378145924e+01,-9.163666348936465071e-10,0.000000000000000000e+00,-7.530015480690208337e-09
1.350000000000000089e-01,8.669501600617744996e-01,1.326326861531192591e+01,-1.403766997159236037e-09,0.000000000000000000e+00,-8.085673380114757267e-09
1.375000000000000111e-01,9.002536708622608241e-01,1.351963872126651012e+01,-2.584810041767711917e-10,0.000000000000000000e+00,-8.659509143286133292e-09
1.400000000000000133e-01,9.341985513693732424e-01,1.377679181117609630e+01,1.211861604625215017e-09,0.000000000000000000e+00,-9.253961327020121643e-09
1.425000000000000155e-01,9.687867588902304705e-01,1.403472761595764062e+01,9.792125466584452611e-10,0.000000000000000000e+00,-9.877019976920776942e-09
1.450000000000000178e-01,1.004020250060039920e+00,1.429344586799488859e+01,2.318034358709937483e-09,0.000000000000000000e+00,-1.052699982244923895e-08
1.475000000000000200e-01,1.039900980845806178e+00,1.455294630121714405e+01,1.060773788924735832e-04,0.000000000000000000e+00,1.781071246406109596e-06
1.500000000000000222e-01,1.076430906550246647e+00,1.481322865118799292e+01,8.087376165490617157e-04,0.000000000000000000e+00,3.345485289579754799e-05
1.525000000000000244e-01,1.113611981878042556e+00,1.507429383991806304e+01,2.433732681957521786e-03,0.000000000000000000e+00,1.959068574804544844e-04
1.550000000000000266e-01,1.151446165175205261e+00,1.533614317646622816e+01,4.994738417607022182e-03,0.000000000000000000e+00,6.217062294322114836e-04
1.575000000000000289e-01,1.189935417002399687e+00,1.559877701607434197e+01,8.507231780153888187e-03,0.000000000000000000e+00,1.445442902705334435e-03
1.600000000000000311e-01,1.229081698852851900e+00,1.586219579338666463e+01,1.298845512320621204e-02,0.000000000000000000e+00,2.803984999066983039e-03
1.625000000000000333e-01,1.268886973352472802e+00,1.612640002533630579e+01,1.845738166316712031e-02,-2.500000000000002220e-02,4.836730838721475106e-03
1.650000000000000355e-01,1.309353204467131659e+00,1.639139031389508006e+01,2.487398837605383703e-02,-2.500000000000002220e-02,7.683863495986304089e-03
1.675000000000000377e-01,1.350482357716720871e+00,1.665716734866974491e+01,3.232021381683158195e-02,-2.500000000000002220e-02,1.148383983735484781e-02
1.700000000000000400e-01,1.392276400395622948e+00,1.692373190935253646e+01,4.063868099738421336e-02,-2.500000000000002220e-02,1.638896727849884286e-02
1.725000000000000422e-01,1.434737301672167620e+00,1.719108519703035043e+01,4.917668775728459979e-02,-2.500000000000002220e-02,2.249128330089263453e-02
1.750000000000000444e-01,1.477867034970232973e+00,1.745922944023402223e+01,5.788005997089560456e-02,-2.500000000000002220e-02,2.982224409566832171e-02
1.775000000000000466e-01,1.521667578331354020e+00,1.772814105254129657e+01,6.675703873216459749e-02,-2.500000000000002220e-02,3.840583679004550693e-02
1.800000000000000488e-01,1.566140654520580267e+00,1.799692198822908651e+01,7.581490323316404656e-02,-2.500000000000002220e-02,4.826718145954141809e-02
1.825000000000000511e-01,1.611285364697867095e+00,1.826514304093640817e+01,8.506073035860536868e-02,-7.500000000000006661e-02,5.943244712139906377e-02
1.850000000000000533e-01,1.657100310698517820e+00,1.853280679330982750e+01,9.435997779829886911e-02,-7.500000000000006661e-02,7.192417745947919661e-02
1.875000000000000555e-01,1.703584100565024961e+00,1.879991539421298796e+01,1.034292330868138987e-01,-7.500000000000006661e-02,8.575993965028066990e-02
1.900000000000000577e-01,1.750735347475733450e+00,1.906647057958920044e+01,1.125150680459079122e-01,-7.500000000000006661e-02,1.008746521817582842e-01
1.925000000000000600e-01,1.798552668724801684e+00,1.933247369395860460e+01,1.217534949698208108e-01,-7.500000000000006661e-02,1.172960375736426253e-01
1.950000000000000622e-01,1.847034684755091583e+00,1.959792571049991139e+01,1.310863335069541447e-01,-7.500000000000006661e-02,1.350461232919128729e-01
