Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931171277199e-03,1.255370004406103530e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686579109201e-02,9.917803997182993159e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080908174592e-02,2.598807699745926958e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951755829717047e-02,4.772269076374195396e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246262493808724704e-02,7.148766846765566285e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439095273009122038e-02,9.706205742891225174e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696563779504686384e-02,1.233559645261320004e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020022916435965793e-02,1.501006240133908598e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410599606116969190e-02,1.772961138427724181e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869420987423502295e-02,2.049425540120000111e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.397614534156936233e-02,2.330401247727638570e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,3.996380310930411350e-02,2.613099242414700374e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.665579142584179440e-02,2.891704295734252028e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.404187687902822779e-02,3.166053674986085475e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.211141902194005499e-02,3.436145252357540869e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.085377222215347159e-02,3.701977162823649969e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.025828632592005296e-02,3.963547762505213345e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.031430717242100448e-02,4.220855568423983684e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,1.010111769711956736e-01,4.473899220140768129e+00,4.310499933128087251e-16,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000971e-02,1.123382345920250491e-01,4.722677454529723207e+00,3.649702676593146047e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000001193e-02,1.242848158534266417e-01,4.967275300322573806e+00,7.908720126178315649e-15,0.000000000000000000e+00,-5.227246228982723017e-16
5.500000000000001416e-02,1.368411460260324231e-01,5.210790567927793049e+00,-4.423036478037412700e-16,0.000000000000000000e+00,-2.948224115352602740e-15
5.750000000000001638e-02,1.500064936373300961e-01,5.454709752766138564e+00,-2.447553258948813486e-14,0.000000000000000000e+00,-1.045869328322065772e-14
6.000000000000001860e-02,1.637818683721523338e-01,5.699032664251742375e+00,-1.161848968829498653e-13,0.000000000000000000e+00,-2.624871474590552282e-14
6.250000000000001388e-02,1.781682794388720070e-01,5.943759111921490756e+00,-1.085072920357433552e-13,0.000000000000000000e+00,-4.643844576385590581e-14
6.500000000000001610e-02,1.931667355696037314e-01,6.188888905125296880e+00,-7.811159815705705397e-14,0.000000000000000000e+00,-7.651133693127692391e-14
6.750000000000001832e-02,2.087782450200329210e-01,6.434421853463220486e+00,-1.492048405808248523e-13,0.000000000000000000e+00,-1.143096535447266811e-13
7.000000000000002054e-02,2.250038155698494691e-01,6.680357765485303467e+00,-3.945436703163713521e-13,0.000000000000000000e+00,-1.637673874581622248e-13
7.250000000000002276e-02,2.418444545190537864e-01,6.926696449814231826e+00,9.656996061616384806e-14,0.000000000000000000e+00,-2.226212927240825600e-13
7.500000000000002498e-02,2.593011686895451140e-01,7.173437714760203754e+00,1.562105321013675186e-13,0.000000000000000000e+00,-3.106964231198610637e-13
7.750000000000002720e-02,2.773749644240239287e-01,7.420581368525363430e+00,8.286888032534791546e-13,0.000000000000000000e+00,-4.360268815383824327e-13
8.000000000000002942e-02,2.960668475851286896e-01,7.668127218565247816e+00,-3.000887117934397798e-14,0.000000000000000000e+00,-6.296641515555802266e-13
