Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.401767745313247977e-14,0.000000000000000000e+00,-3.072657655842881849e-15
2.500000000000000052e-03,9.988416935244001996e-03,1.255370007043289660e-02,-8.948624689381420356e-14,0.000000000000000000e+00,-3.865990861763120547e-14
5.000000000000000104e-03,1.005026686995460702e-02,9.917802490272432936e-02,-1.074759530736094747e-12,0.000000000000000000e+00,-2.246459963054285358e-13
7.499999999999999722e-03,1.037073076416730917e-02,2.598807202532762983e-01,-1.772706953562277625e-12,0.000000000000000000e+00,-7.008525558188750691e-13
1.000000000000000021e-02,1.113951739019589972e-02,4.772268653106446212e-01,-2.646189899345674285e-12,0.000000000000000000e+00,-1.613221158465150429e-12
1.250000000000000069e-02,1.246262482187760617e-02,7.148769270945358745e-01,-2.316283625326959267e-12,0.000000000000000000e+00,-3.260474335438014650e-12
1.500000000000000118e-02,1.439095379536884864e-02,9.706218163475199834e-01,-1.519923053183887642e-12,0.000000000000000000e+00,-5.996300648984656576e-12
1.750000000000000167e-02,1.696564330246886146e-02,1.233563144834209258e+00,-1.536270340793314262e-11,0.000000000000000000e+00,-1.026077308863176996e-11
2.000000000000000042e-02,2.020024575693826069e-02,1.501013650622194717e+00,-9.870281830633905410e-12,0.000000000000000000e+00,-1.601516082256296179e-11
2.249999999999999917e-02,2.410603457334203545e-02,1.772974170150231066e+00,-2.635832815692608926e-11,0.000000000000000000e+00,-2.384417803646525558e-11
2.499999999999999792e-02,2.869428523268599193e-02,2.049445496555305724e+00,-4.810596561382779728e-11,0.000000000000000000e+00,-3.373153478490479726e-11
2.749999999999999667e-02,3.397627517382302564e-02,2.330428379027774000e+00,-4.299590489978000691e-11,0.000000000000000000e+00,-4.557507409504077025e-11
2.999999999999999542e-02,3.996400505830420558e-02,2.613133063513244370e+00,-4.632416221113219673e-11,0.000000000000000000e+00,-5.983992183626161772e-11
3.249999999999999417e-02,4.665608186450852929e-02,2.891744474431968026e+00,-4.207617970199582524e-11,0.000000000000000000e+00,-7.688203625508856440e-11
3.499999999999999639e-02,5.404227165113567599e-02,3.166100579059823783e+00,-4.510252138728952287e-11,0.000000000000000000e+00,-9.736241686271484326e-11
3.749999999999999861e-02,6.211193538838343658e-02,3.436200032108400304e+00,-5.113858353479589893e-11,0.000000000000000000e+00,-1.218669553516313974e-10
4.000000000000000083e-02,7.085443068187474713e-02,3.702041485100751927e+00,-1.149158806667132756e-10,0.000000000000000000e+00,-1.508356031940819761e-10
4.250000000000000305e-02,8.025911176636324473e-02,3.963623589423677540e+00,-1.543337069364089130e-10,0.000000000000000000e+00,-1.838154190853818318e-10
4.500000000000000527e-02,9.031532950679720118e-02,4.220944998886315247e+00,-1.682763924797637964e-10,0.000000000000000000e+00,-2.203196898672972596e-10
4.750000000000000749e-02,1.010124314060451695e-01,4.474004369394899427e+00,-2.312441417301026962e-10,0.000000000000000000e+00,-2.608219422343348202e-10
5.000000000000000971e-02,1.123397615974136565e-01,4.722800348044693841e+00,-2.489652683250787781e-10,0.000000000000000000e+00,-3.048516310275944389e-10
5.250000000000001193e-02,1.242866608479637758e-01,4.967417246540440701e+00,-3.415543066421077040e-10,0.000000000000000000e+00,-3.529726103250992138e-10
5.500000000000001416e-02,1.368433569684794904e-01,5.210952122431275590e+00,-3.008528042539281016e-10,0.000000000000000000e+00,-4.040728341084818952e-10
5.750000000000001638e-02,1.500091197762081496e-01,5.454891288314095199e+00,-2.822768872080931541e-10,0.000000000000000000e+00,-4.596028167725125739e-10
6.000000000000001860e-02,1.637849597760620557e-01,5.699234348867313393e+00,-4.881102136199190541e-10,0.000000000000000000e+00,-5.201559618337046166e-10
6.250000000000001388e-02,1.781718864699476101e-01,5.943980881753648582e+00,-3.831525689651718637e-10,0.000000000000000000e+00,-5.839910255224633869e-10
6.500000000000001610e-02,1.931709082878316497e-01,6.189130435062094371e+00,-4.502118161135955795e-10,0.000000000000000000e+00,-6.523047981123371270e-10
6.750000000000001832e-02,2.087830325122465025e-01,6.434682524454425234e+00,-4.349461276630271642e-10,0.000000000000000000e+00,-7.258327001526090300e-10
7.000000000000002054e-02,2.250092651954944123e-01,6.680636629996613784e+00,-4.249752648048158414e-10,0.000000000000000000e+00,-8.048088367452833836e-10
7.250000000000002276e-02,2.418506110687406174e-01,6.926992192645401225e+00,-4.535772508797299507e-10,0.000000000000000000e+00,-8.900142163985829901e-10
