Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,1.249986790447079388e+00,1.000118012745392519e+02,-2.152505619770172420e-14,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.500047828272447870e+00,1.001024241369166390e+02,-2.387411899713314577e-13,0.000000000000000000e+00,2.827693721192347445e-14
7.499999999999999722e-03,1.750380171841268151e+00,1.002718763319023623e+02,3.612751814212075012e-13,0.000000000000000000e+00,1.710997322397317703e-13
1.000000000000000021e-02,2.001180898444166356e+00,1.005201648354634898e+02,8.556559069409546798e-13,0.000000000000000000e+00,5.361979479118736277e-13
1.250000000000000069e-02,2.252644641231924538e+00,1.008079094051965967e+02,4.627158683457969310e-12,0.000000000000000000e+00,1.276211578468433711e-12
1.500000000000000118e-02,2.504827785938675611e+00,1.010957253226528820e+02,2.166205233596945445e-12,0.000000000000000000e+00,2.307433718216247896e-12
1.750000000000000167e-02,2.757730510909258026e+00,1.013836125486833168e+02,8.699115544386220482e-13,0.000000000000000000e+00,3.831219789197598159e-12
2.000000000000000042e-02,3.011352994393927229e+00,1.016715710459986752e+02,-3.239733474319555449e-12,0.000000000000000000e+00,6.077466860339212146e-12
2.249999999999999917e-02,3.265695416568661358e+00,1.019596330905467738e+02,-1.246426512802172125e-12,0.000000000000000000e+00,9.354922142633798233e-12
2.499999999999999792e-02,3.520758070951660823e+00,1.022478309693423455e+02,-1.258831337981897172e-11,0.000000000000000000e+00,1.388759923977567633e-11
2.749999999999999667e-02,3.776541297115257212e+00,1.025361646595356007e+02,-1.940853676487154193e-11,0.000000000000000000e+00,2.028065801077874034e-11
2.999999999999999889e-02,4.033045434575366350e+00,1.028246341390001390e+02,-1.409270230736418304e-11,0.000000000000000000e+00,2.912129231968217937e-11
3.250000000000000111e-02,4.290270822524402838e+00,1.031132350943542946e+02,-1.440619864658206686e-11,0.000000000000000000e+00,4.071154981348220754e-11
3.500000000000000333e-02,4.548217785035224558e+00,1.034019632107860360e+02,3.825440808252987325e-13,0.000000000000000000e+00,5.536752546784350382e-11
3.750000000000000555e-02,4.806886639996616140e+00,1.036908184638231347e+02,-1.197537854405109291e-11,0.000000000000000000e+00,7.345936928832261883e-11
4.000000000000000083e-02,5.066277705236119644e+00,1.039798008288789788e+02,-9.836454063231970507e-12,0.000000000000000000e+00,9.550341586364466634e-11
4.250000000000000305e-02,5.326391301132368028e+00,1.042689520953918532e+02,2.404887416572922211e-13,0.000000000000000000e+00,1.220352936006541674e-10
4.500000000000000527e-02,5.587227894789263516e+00,1.045583140659025361e+02,3.404045333892452126e-11,0.000000000000000000e+00,1.536058099709680008e-10
4.750000000000000749e-02,5.848788012964029726e+00,1.048478867355676556e+02,1.190206567991404729e-11,0.000000000000000000e+00,1.903861301943360843e-10
5.000000000000000278e-02,6.111072182401092512e+00,1.051376700977609175e+02,6.068897203188586138e-11,0.000000000000000000e+00,2.329179719513611088e-10
5.250000000000000500e-02,6.374080929442213161e+00,1.054276579442089599e+02,1.006474187714196228e-10,0.000000000000000000e+00,2.813728908582572528e-10
5.500000000000000722e-02,6.637814758635392387e+00,1.057178440598509468e+02,1.156982842030450037e-10,0.000000000000000000e+00,3.359048436209024300e-10
