Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988587501970791482e-03,1.528366412264807808e-02,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.006053269888147056e-02,1.100986088356290249e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.041466880394573656e-02,2.844536514110324044e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.125469182904764200e-02,5.196292777324672540e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.269441808069821966e-02,7.766076755851745173e-01,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.478850578770386087e-02,1.053016871076672745e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.758113162270068253e-02,1.337154756874795014e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.108685117856461122e-02,1.626135576098247215e+00,6.631335011327559742e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.531777208495675224e-02,1.919959860683436714e+00,6.631335011305990895e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.028600330652159167e-02,2.218628144249420675e+00,6.631335011305561280e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.600365515383841669e-02,2.522140977877052048e+00,6.631335011419996108e-05,0.000000000000000000e+00,9.498687716876689387e-06
2.999999999999999542e-02,4.248361394765964166e-02,2.827502506690771522e+00,6.631335010906391921e-05,0.000000000000000000e+00,1.899737543430980488e-05
3.249999999999999417e-02,4.972438333106476288e-02,3.128468301919404837e+00,6.631335010955242005e-05,0.000000000000000000e+00,2.849606315191418197e-05
3.499999999999999639e-02,5.771497312275728625e-02,3.424864282879179989e+00,6.631335012673236242e-05,0.000000000000000000e+00,3.799475086936218661e-05
3.749999999999999861e-02,6.644395796213860284e-02,3.716688985104205312e+00,6.631335021605049593e-05,0.000000000000000000e+00,4.749343858752761121e-05
4.000000000000000083e-02,7.589990885489113215e-02,4.003940994067654913e+00,6.631335020990163304e-05,0.000000000000000000e+00,5.699212630010206949e-05
4.250000000000000305e-02,8.607139329379379089e-02,4.286618937873939217e+00,6.631335024636594063e-05,0.000000000000000000e+00,6.649081400733389117e-05
4.500000000000000527e-02,9.694697536146573702e-02,4.564721480624546857e+00,6.631335037578182782e-05,0.000000000000000000e+00,7.598950170904970555e-05
4.750000000000000749e-02,1.085152158179653326e-01,4.838247317602817787e+00,6.631335050985039245e-05,0.000000000000000000e+00,8.548818940381250429e-05
5.000000000000000971e-02,1.207646721763881437e-01,5.107195171043933613e+00,6.631335064154542168e-05,0.000000000000000000e+00,9.498687708912447532e-05
5.250000000000001193e-02,1.336838987682864577e-01,5.371655737670748998e+00,6.631335097483464472e-05,0.000000000000000000e+00,1.044855647700938236e-04
5.500000000000001416e-02,1.472624028446022082e-01,5.634954993885094687e+00,6.631335087664151683e-05,0.000000000000000000e+00,1.044855647700938236e-04
5.750000000000001638e-02,1.614994019897566524e-01,5.898689289356870979e+00,6.631335098266007719e-05,0.000000000000000000e+00,1.044855647700938236e-04
6.000000000000001860e-02,1.763959837312411572e-01,6.162858499155763781e+00,6.631335142716604080e-05,0.000000000000000000e+00,1.044855647700938236e-04
