Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,2.767660804001333954e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988587501986350217e-03,1.528366413754581911e-02,2.767660804001821845e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.006053269886462639e-02,1.100986089229784720e-01,2.767660803978349952e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.041466880502679195e-02,2.844536586978142489e-01,2.767660803974385025e-04,0.000000000000000000e+00,3.964382079853029183e-05
1.000000000000000021e-02,1.125469187307009261e-02,5.196293454682420210e-01,2.767660804023424031e-04,0.000000000000000000e+00,7.928764159599242768e-05
1.250000000000000069e-02,1.269441841346839392e-02,7.766079587890470926e-01,2.767660804108643948e-04,0.000000000000000000e+00,1.189314623941025302e-04
1.500000000000000118e-02,1.478850712736422962e-02,1.053017656684847481e+00,2.767660804130182709e-04,0.000000000000000000e+00,1.585752831926540249e-04
1.750000000000000167e-02,1.758113547943219654e-02,1.337156439853385725e+00,2.767660804501846129e-04,0.000000000000000000e+00,1.982191039911359004e-04
2.000000000000000042e-02,2.108686006028387405e-02,1.626138572696949280e+00,2.767660804530902205e-04,0.000000000000000000e+00,2.378629247874683992e-04
2.249999999999999917e-02,2.531778949518137534e-02,1.919964513810082041e+00,2.767660804759019969e-04,0.000000000000000000e+00,2.775067455836075577e-04
2.499999999999999792e-02,3.028603351179301462e-02,2.218634641918738826e+00,2.767660803628712099e-04,0.000000000000000000e+00,3.171505663784765462e-04
2.749999999999999667e-02,3.600370276738600051e-02,2.522149303691234579e+00,2.767660802953706800e-04,0.000000000000000000e+00,3.567943871749749822e-04
2.999999999999999542e-02,4.248368341065218712e-02,2.827512432077345483e+00,2.767660803615214324e-04,0.000000000000000000e+00,3.964382079749887268e-04
3.249999999999999417e-02,4.972447841114106121e-02,3.128479429645877552e+00,2.767660802803105697e-04,0.000000000000000000e+00,4.360820287768804723e-04
3.499999999999999639e-02,5.771509653799829220e-02,3.424876136734921417e+00,2.767660803252872332e-04,0.000000000000000000e+00,4.757258495852246302e-04
3.749999999999999861e-02,6.644411124944626934e-02,3.716701121619172099e+00,2.767660801609012587e-04,0.000000000000000000e+00,5.153696703997811580e-04
4.000000000000000083e-02,7.590009252075369250e-02,4.003953127028752945e+00,2.767660803333752730e-04,0.000000000000000000e+00,5.550134912268312728e-04
4.250000000000000305e-02,8.607160727747534268e-02,4.286631063987346835e+00,2.767660806049276391e-04,0.000000000000000000e+00,5.946573120630682663e-04
4.500000000000000527e-02,9.694721980999171373e-02,4.564734000263450220e+00,2.767660801774545322e-04,0.000000000000000000e+00,6.343011329045214648e-04
4.750000000000000749e-02,1.085154921578906917e-01,4.838261146580350669e+00,2.767660804632985261e-04,0.000000000000000000e+00,6.739449537557160030e-04
5.000000000000000971e-02,1.207649844431732261e-01,5.107211911891547551e+00,2.767660805229273688e-04,0.000000000000000000e+00,7.135887746116137019e-04
5.250000000000001193e-02,1.336842555982198921e-01,5.371677020738690800e+00,2.767660810250273580e-04,0.000000000000000000e+00,7.532325954682972304e-04
5.500000000000001416e-02,1.472628161012423664e-01,5.634981691606025578e+00,2.767660819243485571e-04,0.000000000000000000e+00,7.928764163229258706e-04
5.750000000000001638e-02,1.614998857299297930e-01,5.898722295260611759e+00,2.767660824850559620e-04,0.000000000000000000e+00,8.325202371712121449e-04
6.000000000000001860e-02,1.763965542500710026e-01,6.162898717798316106e+00,2.767660821754256025e-04,0.000000000000000000e+00,8.721640580121245434e-04
6.250000000000001388e-02,1.919539111395061337e-01,6.427510839729619896e+00,2.767660801993301542e-04,0.000000000000000000e+00,9.118078788469352689e-04
6.500000000000001610e-02,2.081730455752248965e-01,6.692558536198854213e+00,2.767660813893474772e-04,0.000000000000000000e+00,9.118078788469352689e-04
6.750000000000001832e-02,2.250550464190532729e-01,6.958041677946380510e+00,2.767660827858115847e-04,0.000000000000000000e+00,9.118078788469352689e-04
7.000000000000002054e-02,2.426010022084772455e-01,7.223960132705058435e+00,2.767660832304545508e-04,0.000000000000000000e+00,9.118078788469352689e-04
7.250000000000002276e-02,2.608120011476374178e-01,7.490313763894284271e+00,2.767660833938689717e-04,0.000000000000000000e+00,9.514516996909888179e-04
7.500000000000002498e-02,2.796891310978568135e-01,7.757102432086121269e+00,2.767660855187037308e-04,0.000000000000000000e+00,9.910955205436747847e-04
