Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,7.131977768421410117e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988587502020095793e-03,1.528366415489816436e-02,7.131977768317835200e-04,0.000000000000000000e+00,1.021580564282497072e-04
5.000000000000000104e-03,1.006053270010999652e-02,1.100986088803222046e-01,7.131977768132012705e-04,0.000000000000000000e+00,2.043161128589187031e-04
7.499999999999999722e-03,1.041466880600068305e-02,2.844536587108858483e-01,7.131977768856986172e-04,0.000000000000000000e+00,3.064741693056594919e-04
1.000000000000000021e-02,1.125469188447316207e-02,5.196293737429326098e-01,7.131977765374680582e-04,0.000000000000000000e+00,4.086322257980396899e-04
1.250000000000000069e-02,1.269441857438109549e-02,7.766081393395646293e-01,7.131977757320678239e-04,0.000000000000000000e+00,5.107902824203560972e-04
1.500000000000000118e-02,1.478850800373326425e-02,1.053018316380364139e+00,7.131977755702064142e-04,0.000000000000000000e+00,6.129483393689034087e-04
1.750000000000000167e-02,1.758113865236063042e-02,1.337158229683051980e+00,7.131977800538638916e-04,0.000000000000000000e+00,7.151063969529591847e-04
2.000000000000000042e-02,2.108686898146661451e-02,1.626142566854232863e+00,7.131977811711356398e-04,0.000000000000000000e+00,8.172644553779567517e-04
2.249999999999999917e-02,2.531781059115374710e-02,1.919972283951845826e+00,7.131977863257542337e-04,0.000000000000000000e+00,9.194225151833070736e-04
2.499999999999999792e-02,3.028607744664330720e-02,2.218648291145040474e+00,7.131977830829016327e-04,0.000000000000000000e+00,1.021580576981250986e-03
2.749999999999999667e-02,3.600378576288518206e-02,2.522171450351012201e+00,7.131977920100499328e-04,0.000000000000000000e+00,1.123738642161844093e-03
2.999999999999999542e-02,4.248382850468965244e-02,2.827546139014245785e+00,7.131978137090498431e-04,0.000000000000000000e+00,1.225896712340528985e-03
3.249999999999999417e-02,4.972471643612398629e-02,3.128527995421600760e+00,7.131978357940722390e-04,0.000000000000000000e+00,1.328054789153968688e-03
3.499999999999999639e-02,5.771546658676734304e-02,3.424942873600098636e+00,7.131977793284436252e-04,0.000000000000000000e+00,1.430212875254126270e-03
3.749999999999999861e-02,6.644466059829193250e-02,3.716789138218038691e+00,7.131977550509968188e-04,0.000000000000000000e+00,1.532370977379141292e-03
4.000000000000000083e-02,7.590087599466190105e-02,4.004065093865175839e+00,7.131976798754943855e-04,0.000000000000000000e+00,1.634529103369952371e-03
4.250000000000000305e-02,8.607268602309156580e-02,4.286768968019895709e+00,7.131974906952421927e-04,0.000000000000000000e+00,1.736687266224451985e-03
4.500000000000000527e-02,9.694865945020268716e-02,4.564898889801609627e+00,7.131974440585178709e-04,0.000000000000000000e+00,1.838845486855268533e-03
