Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.747464793080476893e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988587501954313344e-03,1.528366410546411203e-02,1.747464793080476893e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.006053269867423529e-02,1.100986087354769993e-01,1.747464793080476893e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.041466880390561414e-02,2.844536563585617905e-01,1.747464793083080604e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.125469185940650499e-02,5.196293266466969207e-01,1.747464793078717233e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.269441832002419362e-02,7.766078798679050266e-01,1.747464793076121110e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.478850675091885128e-02,1.053017431792365066e+00,1.747464793077723290e-04,0.000000000000000000e+00,2.503058937229041508e-05
1.750000000000000167e-02,1.758113437421019581e-02,1.337155942800146491e+00,1.747464793052348623e-04,0.000000000000000000e+00,5.006117874361263085e-05
2.000000000000000042e-02,2.108685745530807301e-02,1.626137661992305139e+00,1.747464793123188224e-04,0.000000000000000000e+00,7.509176811401880420e-05
2.249999999999999917e-02,2.531778427582569158e-02,1.919963066615315794e+00,1.747464793264128543e-04,0.000000000000000000e+00,1.001223574830392926e-04
2.499999999999999792e-02,3.028602428763926824e-02,2.218632588941627404e+00,1.747464793219485706e-04,0.000000000000000000e+00,1.251529468500951932e-04
2.749999999999999667e-02,3.600368802184900074e-02,2.522146654731911575e+00,1.747464793026237240e-04,0.000000000000000000e+00,1.501835362148882960e-04
2.999999999999999542e-02,4.248366170646608597e-02,2.827509284068441708e+00,1.747464792719557916e-04,0.000000000000000000e+00,1.752141255736636974e-04
3.249999999999999417e-02,4.972444859544273427e-02,3.128475951408327571e+00,1.747464792760596052e-04,0.000000000000000000e+00,2.002447149267522143e-04
3.499999999999999639e-02,5.771505790412462950e-02,3.424872525199134543e+00,1.747464792324279217e-04,0.000000000000000000e+00,2.252753042749604934e-04
3.749999999999999861e-02,6.644406357234314275e-02,3.716697543923167313e+00,1.747464791057642681e-04,0.000000000000000000e+00,2.503058936188275727e-04
4.000000000000000083e-02,7.590003594556704591e-02,4.003949652293554706e+00,1.747464792706197563e-04,0.000000000000000000e+00,2.753364829617068084e-04
4.250000000000000305e-02,8.607154203381633950e-02,4.286627590275946531e+00,1.747464789777512979e-04,0.000000000000000000e+00,3.003670723025463887e-04
4.500000000000000527e-02,9.694714574496041126e-02,4.564730182488707655e+00,1.747464784770154519e-04,0.000000000000000000e+00,3.253976616489659781e-04
4.750000000000000749e-02,1.085154080889746686e-01,4.838256326956216213e+00,1.747464784559007772e-04,0.000000000000000000e+00,3.504282510130170259e-04
5.000000000000000971e-02,1.207648873567751940e-01,5.107204984845410856e+00,1.747464789517171914e-04,0.000000000000000000e+00,3.754588403944772164e-04
5.250000000000001193e-02,1.336841392242364701e-01,5.371666522268481181e+00,1.747464796599717456e-04,0.000000000000000000e+00,4.004894297845228786e-04
5.500000000000001416e-02,1.472626707288735015e-01,5.634966287109123506e+00,1.747464788047577611e-04,0.000000000000000000e+00,4.255200191755312039e-04
5.750000000000001638e-02,1.614996982221386101e-01,5.898700492804051621e+00,1.747464794779987651e-04,0.000000000000000000e+00,4.505506085735323080e-04
6.000000000000001860e-02,1.763963076549975306e-01,6.162868872916732244e+00,1.747464784738853331e-04,0.000000000000000000e+00,4.505506085735323080e-04
6.250000000000001388e-02,1.919535843116400575e-01,6.427471159349924967e+00,1.747464781218837835e-04,0.000000000000000000e+00,4.505506085735323080e-04
6.500000000000001610e-02,2.081726128062721393e-01,6.692507084423496622e+00,1.747464778180085046e-04,0.000000000000000000e+00,4.505506085735323080e-04
6.750000000000001832e-02,2.250544770826600205e-01,6.957976378629822101e+00,1.747464774756696357e-04,0.000000000000000000e+00,4.755811979706249591e-04
7.000000000000002054e-02,2.426002604095008341e-01,7.223878771034415891e+00,1.747464772715063978e-04,0.000000000000000000e+00,5.006117873550374863e-04
7.250000000000002276e-02,2.608110453793548444e-01,7.490213992356359540e+00,1.747464777231375348e-04,0.000000000000000000e+00,5.256423767128816935e-04
7.500000000000002498e-02,2.796879139102862455e-01,7.756981770520973818e+00,1.747464775333636654e-04,0.000000000000000000e+00,5.506729660334114566e-04
7.750000000000002720e-02,2.992319472416495874e-01,8.024181834257595014e+00,1.747464785337008483e-04,0.000000000000000000e+00,5.757035553101229721e-04
8.000000000000002942e-02,3.194442259310265042e-01,8.291813909704309538e+00,1.747464775134148875e-04,0.000000000000000000e+00,6.007341445557843468e-04
8.250000000000003164e-02,3.403258298522324754e-01,8.559877723007048189e+00,1.747464782971885954e-04,0.000000000000000000e+00,6.257647337450919283e-04
8.500000000000003386e-02,3.618778381944935396e-01,8.828373000073588273e+00,1.747464780077773866e-04,0.000000000000000000e+00,6.507953229164168242e-04
8.750000000000003608e-02,3.841013294604822548e-01,9.097299465121979622e+00,1.747464779561520160e-04,0.000000000000000000e+00,6.758259120734006527e-04
8.999999999999999667e-02,4.069973814633801035e-01,9.366656842053574294e+00,1.747464779954166958e-04,0.000000000000000000e+00,7.008565013008362637e-04
9.249999999999999889e-02,4.305670991137006132e-01,9.636889568549174001e+00,1.747464784923888153e-04,0.000000000000000000e+00,7.258870905677031150e-04
9.500000000000000111e-02,4.548131477819197799e-01,9.908442194000423697e+00,1.747464786143328012e-04,0.000000000000000000e+00,7.509176798301147628e-04
9.750000000000000333e-02,4.797388271527521786e-01,1.018131460847659042e+01,1.747464793838860320e-04,0.000000000000000000e+00,7.759482690668386253e-04
1.000000000000000056e-01,5.053474366332635359e-01,1.045550669664894627e+01,1.747464754899316999e-04,0.000000000000000000e+00,8.009788582505995369e-04
1.025000000000000078e-01,5.316422754025765807e-01,1.073101926702727127e+01,1.747464748442610898e-04,0.000000000000000000e+00,8.260094475122948523e-04
1.050000000000000100e-01,5.586266457921467143e-01,1.100785361668901530e+01,1.747464655354770944e-04,0.000000000000000000e+00,8.510400369494487737e-04
1.075000000000000122e-01,5.863038525880769347e-01,1.128601035358718896e+01,1.747464699141557749e-04,0.000000000000000000e+00,8.760706268709838934e-04
1.100000000000000006e-01,6.146772020272954773e-01,1.156548993781541412e+01,1.747464639030525387e-04,0.000000000000000000e+00,9.011012172108284974e-04
1.125000000000000028e-01,6.437499427725108525e-01,1.184535458227701987e+01,1.747464621952920052e-04,0.000000000000000000e+00,9.261318082564709347e-04
1.150000000000000050e-01,6.735220314555993015e-01,1.212466704947750173e+01,1.747464522387257805e-04,0.000000000000000000e+00,9.511624002187071044e-04
1.175000000000000072e-01,7.039920881990723300e-01,1.240342824192969928e+01,1.747464417076275160e-04,0.000000000000000000e+00,9.761929934542078625e-04
1.200000000000000094e-01,7.351587352605438719e-01,1.268163889357712826e+01,1.747464394652781705e-04,0.000000000000000000e+00,1.001223588310846957e-03
1.225000000000000117e-01,7.670205966212123583e-01,1.295929954428143915e+01,1.747464630551984980e-04,0.000000000000000000e+00,1.026254185137322021e-03
1.250000000000000000e-01,7.995762975095660474e-01,1.323641055543809131e+01,1.747464509065916433e-04,0.000000000000000000e+00,1.051284783770440462e-03
1.275000000000000022e-01,8.328244639632462754e-01,1.351297212403957104e+01,1.747464948451352834e-04,0.000000000000000000e+00,1.076315384678794458e-03
1.300000000000000044e-01,8.667637224252890960e-01,1.378898429536566006e+01,1.747464679738684073e-04,0.000000000000000000e+00,1.101345987498306318e-03
1.325000000000000067e-01,9.013925526632479146e-01,1.406470284761430634e+01,1.747464186483437584e-04,0.000000000000000000e+00,1.126376592826591966e-03
1.350000000000000089e-01,9.367110377011106381e-01,1.434116523155288192e+01,1.747463798149088640e-04,0.000000000000000000e+00,1.151407201568170049e-03
1.375000000000000111e-01,9.727211661859782588e-01,1.461848638511098031e+01,1.747463996520811876e-04,0.000000000000000000e+00,1.176437814661737387e-03
1.400000000000000133e-01,1.009425084950750895e+00,1.489666611260610019e+01,1.747464669836107539e-04,0.000000000000000000e+00,1.201468432209957518e-03
1.425000000000000155e-01,1.046824940277278682e+00,1.517570411073634240e+01,1.747464019162439490e-04,0.000000000000000000e+00,1.226499053795318496e-03
1.450000000000000178e-01,1.084922877631174121e+00,1.545559997533273666e+01,1.747464106254879412e-04,0.000000000000000000e+00,1.251529680344544947e-03
1.475000000000000200e-01,1.123721041413224819e+00,1.573635320761517420e+01,1.747464158758071907e-04,0.000000000000000000e+00,1.276560312197469200e-03
1.500000000000000222e-01,1.163221574726187368e+00,1.601796321999984229e+01,1.747463855325259447e-04,0.000000000000000000e+00,1.301590949382877473e-03
1.525000000000000244e-01,1.203426619061265468e+00,1.630042818843963559e+01,1.747464156568253213e-04,0.000000000000000000e+00,1.326621592497716521e-03
