Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,3.113044982042178007e-06,1.000000000000000056e-01,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931170723823e-03,1.255370004369053480e-02,6.228191046364434082e-06,1.000000000000000056e-01,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686577177066e-02,9.917803995733909250e-02,9.360219035644753316e-06,1.000000000000000056e-01,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080896642324e-02,2.598807721099445356e-01,1.255899377474762857e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.113951757246272635e-02,4.772269400804665107e-01,1.590436297535006917e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.246262510410682013e-02,7.148768705257525502e-01,1.949716393073660663e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.500000000000000118e-02,1.439095360188901059e-02,9.706212233791828847e-01,2.345321376513920313e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.750000000000000167e-02,1.696564083339689721e-02,1.233561276660058326e+00,2.788712952482079287e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.000000000000000042e-02,2.020023716856505017e-02,1.501009424874662379e+00,3.291831838721977910e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.249999999999999917e-02,2.410601312726106185e-02,1.772966175614055340e+00,3.867183978570878304e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.499999999999999792e-02,2.869424049788180456e-02,2.049432030077482203e+00,4.527823598552651230e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.749999999999999667e-02,3.397619232821005170e-02,2.330407497088617941e+00,5.287441252653050239e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.999999999999999542e-02,3.996386431891021940e-02,2.613102639703915209e+00,6.158116531100890580e-05,1.000000000000000056e-01,7.861871339959740384e-06
3.249999999999999417e-02,4.665585810079273671e-02,2.891702310474370208e+00,7.150312266571972751e-05,1.000000000000000056e-01,1.701098852076503521e-05
3.499999999999999639e-02,5.404193426229041142e-02,3.166044499232796294e+00,8.273885457987951032e-05,1.000000000000000056e-01,2.762459404364038090e-05
3.749999999999999861e-02,6.211144838569011839e-02,3.436127941188877877e+00,9.538148764790995435e-05,1.000000000000000056e-01,3.989387287669576094e-05
4.000000000000000083e-02,7.085375291494337702e-02,3.701951413963552540e+00,1.095187872531718090e-04,1.000000000000000056e-01,5.402317543366432780e-05
4.250000000000000305e-02,8.025819725780461433e-02,3.963513731919936056e+00,1.252332420191056960e-04,1.000000000000000056e-01,7.022925238995691034e-05
4.500000000000000527e-02,9.031412787508533158e-02,4.220813740330753738e+00,1.426021461523087081e-04,1.000000000000000056e-01,8.874050151125629127e-05
4.750000000000000749e-02,1.010108883555331932e-01,4.473850311304842897e+00,1.616976829185807151e-04,1.000000000000000056e-01,1.097962263308276457e-04
5.000000000000000971e-02,1.123378194809995095e-01,4.722622340252341289e+00,1.825870074695122645e-04,1.000000000000000056e-01,1.336459067342515101e-04
5.250000000000001193e-02,1.242842592831187032e-01,4.967214370009205737e+00,2.053354931656799361e-04,1.000000000000000056e-01,1.605484051084441811e-04
5.500000000000001416e-02,1.368404333860767930e-01,5.210723697595163628e+00,2.300335278259030324e-04,1.000000000000000056e-01,1.907732853504188965e-04
5.750000000000001638e-02,1.500056100561226735e-01,5.454636908576103949e+00,2.567769259309117058e-04,1.000000000000000056e-01,1.907732853504188965e-04
6.000000000000001860e-02,1.637807989463894442e-01,5.698953904989523700e+00,2.856619760342598582e-04,1.000000000000000056e-01,1.907732853504188965e-04
6.250000000000001388e-02,1.781670094684698336e-01,5.943674594072685835e+00,3.167854371646985218e-04,1.000000000000000056e-01,1.907732853504188965e-04
6.500000000000001610e-02,1.931652508033342153e-01,6.188798885887039525e+00,3.502445341704496702e-04,1.000000000000000056e-01,2.372491425418565511e-04
6.750000000000001832e-02,2.087765319084612659e-01,6.434326693261859909e+00,3.861369551107346736e-04,1.000000000000000056e-01,2.885973114144684058e-04
7.000000000000002054e-02,2.250018615244420706e-01,6.680257936800192198e+00,4.245608533036064180e-04,1.000000000000000056e-01,3.451695349952055682e-04
7.250000000000002276e-02,2.418422482226478265e-01,6.926592580806710586e+00,4.656148478122317598e-04,1.000000000000000056e-01,4.073316308930322949e-04
7.500000000000002498e-02,2.592987005149326452e-01,7.173330625178244269e+00,5.093980230390290085e-04,1.000000000000000056e-01,4.754635579471247790e-04
7.750000000000002720e-02,2.773722269003957019e-01,7.420472064702843262e+00,5.560099315406706599e-04,1.000000000000000056e-01,5.499594830687888928e-04
8.000000000000002942e-02,2.960638358568121742e-01,7.668016884782669962e+00,6.055505921143440476e-04,1.000000000000000056e-01,6.312278481507572472e-04
8.250000000000003164e-02,3.153745358209005811e-01,7.915965061440256356e+00,6.581204921974091260e-04,1.000000000000000056e-01,7.196914370303828619e-04
8.500000000000003386e-02,3.353053351648399572e-01,8.164316562206343164e+00,7.138205884607629666e-04,1.000000000000000056e-01,8.157874425970227262e-04
8.750000000000003608e-02,3.558572421748405490e-01,8.413071346312463561e+00,7.727523075085929475e-04,1.000000000000000056e-01,9.199675340052098933e-04
8.999999999999999667e-02,3.770312650315443825e-01,8.662229366258381802e+00,8.350177408850662604e-04,1.000000000000000056e-01,1.032697866936784252e-03
9.249999999999999889e-02,3.988284376638501771e-01,8.912204602204646164e+00,9.007275988709263033e-04,1.000000000000000056e-01,1.154459680556827947e-03
9.500000000000000111e-02,4.212512473180011763e-01,9.163411133430209077e+00,9.699970773749241795e-04,1.000000000000000056e-01,1.285750106742758947e-03
9.750000000000000333e-02,4.443027722843508331e-01,9.415849052998019886e+00,1.042942831571074414e-03,1.000000000000000056e-01,1.427082825762979569e-03
1.000000000000000056e-01,4.679860910825049958e-01,9.669518447903843850e+00,1.119682963686065291e-03,1.000000000000000056e-01,1.578988274017274936e-03
1.025000000000000078e-01,4.923042824461101308e-01,9.924419398790778502e+00,1.200337040843509452e-03,1.000000000000000056e-01,1.742013853174162984e-03
1.050000000000000100e-01,5.172604253080387293e-01,1.018055198269046357e+01,1.285026114467395725e-03,1.000000000000000056e-01,1.916724140154148995e-03
1.075000000000000122e-01,5.428575987901624877e-01,1.043791626965691322e+01,1.373872699043676617e-03,1.000000000000000056e-01,2.103701098056206305e-03
1.100000000000000006e-01,5.690988821869203962e-01,1.069651232538448404e+01,1.467000334500209204e-03,1.000000000000000056e-01,2.303544436289379008e-03
1.125000000000000028e-01,5.959873003555216098e-01,1.095546642129321491e+01,1.564512959481805963e-03,1.000000000000000056e-01,2.516870456220286854e-03
1.150000000000000050e-01,6.235228108954393722e-01,1.121390461222358148e+01,1.666505846106745414e-03,1.000000000000000056e-01,2.744310357394791951e-03
1.175000000000000072e-01,6.517041238920039392e-01,1.147182663056700314e+01,1.773073667486143408e-03,1.000000000000000056e-01,2.986508968068038623e-03
1.200000000000000094e-01,6.805299487614626663e-01,1.172923220825259705e+01,1.884310463518533386e-03,1.000000000000000056e-01,3.244124655711355578e-03
1.225000000000000117e-01,7.099989941103738156e-01,1.198612081197904899e+01,2.000309648789198175e-03,1.000000000000000056e-01,3.517829236999997847e-03
1.250000000000000000e-01,7.401099671095388022e-01,1.224249185978578680e+01,2.121164001373754011e-03,1.000000000000000056e-01,3.808307887672059480e-03
1.275000000000000022e-01,7.708615737406991908e-01,1.249834505160796283e+01,2.246965641774315188e-03,1.000000000000000056e-01,4.116259053070161697e-03
1.300000000000000044e-01,8.022525191955871549e-01,1.275368007613222687e+01,2.377805041064194776e-03,1.000000000000000056e-01,4.442394325571859086e-03
1.325000000000000067e-01,8.342813713124974662e-01,1.300873483588218527e+01,2.513784288109909872e-03,1.000000000000000056e-01,4.787438558098443091e-03
1.350000000000000089e-01,8.669481899966705596e-01,1.326447503047078946e+01,2.655020028150144231e-03,1.000000000000000056e-01,5.152131978959801142e-03
1.375000000000000111e-01,9.002548089776509777e-01,1.352100767222049704e+01,2.801631076166716770e-03,1.000000000000000056e-01,5.537231400122404057e-03
1.400000000000000133e-01,9.342032093363161760e-01,1.377833269645038961e+01,2.953737242201062707e-03,1.000000000000000056e-01,5.943510679406493677e-03
1.425000000000000155e-01,9.687953719902486771e-01,1.403645003566587413e+01,3.111459042184175437e-03,1.000000000000000056e-01,6.371760855739104328e-03
1.450000000000000178e-01,1.004033277686724901e+00,1.429535961959958534e+01,3.274918237112889579e-03,1.000000000000000056e-01,6.822790288052102588e-03
1.475000000000000200e-01,1.039918906995803694e+00,1.455506137524801247e+01,3.444237384262115349e-03,1.000000000000000056e-01,7.297424791270073173e-03
1.500000000000000222e-01,1.076454240303504450e+00,1.481555522690457316e+01,3.619540064596492735e-03,1.000000000000000056e-01,7.796507774068859621e-03
