Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,3.113044982042178007e-06,1.000000000000000056e-01,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931170723823e-03,1.255370004369053480e-02,6.228191046364434082e-06,1.000000000000000056e-01,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686577177066e-02,9.917803995733909250e-02,9.360219035644753316e-06,1.000000000000000056e-01,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080896642324e-02,2.598807721099445356e-01,1.255899377474762857e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.113951757246272635e-02,4.772269400804665107e-01,1.590436297535006917e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.246262510410682013e-02,7.148768705257525502e-01,1.949716393073660663e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.500000000000000118e-02,1.439095360188901059e-02,9.706212233791828847e-01,2.345321376513920313e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.750000000000000167e-02,1.696564083339689721e-02,1.233561276660058326e+00,2.788712952482079287e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.000000000000000042e-02,2.020023716856505017e-02,1.501009424874662379e+00,3.291831838721977910e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.249999999999999917e-02,2.410601312726106185e-02,1.772966175614055340e+00,3.867183978570878304e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.499999999999999792e-02,2.869424049788180456e-02,2.049432030077482203e+00,4.527823598552651230e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.749999999999999667e-02,3.397619232821005170e-02,2.330407497088617941e+00,5.287441252685364207e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.999999999999999542e-02,3.996386431891021940e-02,2.613102639703915209e+00,6.158116531366997161e-05,1.000000000000000056e-01,7.861871338778605455e-06
3.249999999999999417e-02,4.665585810079274365e-02,2.891702310474374205e+00,7.150312265880990378e-05,1.000000000000000056e-01,1.701098851502131157e-05
3.499999999999999639e-02,5.404193426229042529e-02,3.166044499232795850e+00,8.273885453753508645e-05,1.000000000000000056e-01,2.762459402997626562e-05
3.749999999999999861e-02,6.211144838569011839e-02,3.436127941188858337e+00,9.538148756889282568e-05,1.000000000000000056e-01,3.989387285489570786e-05
4.000000000000000083e-02,7.085375291494332151e-02,3.701951413963510795e+00,1.095187871059447434e-04,1.000000000000000056e-01,5.402317540395841478e-05
4.250000000000000305e-02,8.025819725780443392e-02,3.963513731919867666e+00,1.252332418206071162e-04,1.000000000000000056e-01,7.022925235510714241e-05
4.500000000000000527e-02,9.031412787508495688e-02,4.220813740330658703e+00,1.426021459083163005e-04,1.000000000000000056e-01,8.874050147623134337e-05
4.750000000000000749e-02,1.010108883555325826e-01,4.473850311304715888e+00,1.616976827367490332e-04,1.000000000000000056e-01,1.097962263032794644e-04
5.000000000000000971e-02,1.123378194809985520e-01,4.722622340252169870e+00,1.825870071959158250e-04,1.000000000000000056e-01,1.336459067206118402e-04
5.250000000000001193e-02,1.242842592831172877e-01,4.967214370008992574e+00,2.053354930569422645e-04,1.000000000000000056e-01,1.605484051126791832e-04
5.500000000000001416e-02,1.368404333860748223e-01,5.210723697594908721e+00,2.300335278716074666e-04,1.000000000000000056e-01,1.907732853701240813e-04
5.750000000000001638e-02,1.500056100561200367e-01,5.454636908575823284e+00,2.567769257729323362e-04,1.000000000000000056e-01,1.907732853701240813e-04
6.000000000000001860e-02,1.637807989463861136e-01,5.698953904989253694e+00,2.856619756495102258e-04,1.000000000000000056e-01,1.907732853701240813e-04
6.250000000000001388e-02,1.781670094684658368e-01,5.943674594072421158e+00,3.167854369788559695e-04,1.000000000000000056e-01,1.907732853701240813e-04
6.500000000000001610e-02,1.931652508033295523e-01,6.188798885886778400e+00,3.502445335753480112e-04,1.000000000000000056e-01,2.372491425527564150e-04
6.750000000000001832e-02,2.087765319084559923e-01,6.434326693261631647e+00,3.861369546279768512e-04,1.000000000000000056e-01,2.885973114016425652e-04
7.000000000000002054e-02,2.250018615244362696e-01,6.680257936799939067e+00,4.245608533885106154e-04,1.000000000000000056e-01,3.451695349474561119e-04
7.250000000000002276e-02,2.418422482226413872e-01,6.926592580806392618e+00,4.656148477909369449e-04,1.000000000000000056e-01,4.073316308117728600e-04
7.500000000000002498e-02,2.592987005149253177e-01,7.173330625177816167e+00,5.093980233769605142e-04,1.000000000000000056e-01,4.754635578250611784e-04
7.750000000000002720e-02,2.773722269003872087e-01,7.420472064702314796e+00,5.560099316050448387e-04,1.000000000000000056e-01,5.499594829410772495e-04
8.000000000000002942e-02,2.960638358568023487e-01,7.668016884782067777e+00,6.055505921553250466e-04,1.000000000000000056e-01,6.312278480368534606e-04
8.250000000000003164e-02,3.153745358208892013e-01,7.915965061439626638e+00,6.581204924637608453e-04,1.000000000000000056e-01,7.196914369725145467e-04
8.500000000000003386e-02,3.353053351648270786e-01,8.164316562205829797e+00,7.138205889474807291e-04,1.000000000000000056e-01,8.157874426538925996e-04
8.750000000000003608e-02,3.558572421748265047e-01,8.413071346312179344e+00,7.727523074258798143e-04,1.000000000000000056e-01,9.199675342160276931e-04
8.999999999999999667e-02,3.770312650315297276e-01,8.662229366258371144e+00,8.350177417253669626e-04,1.000000000000000056e-01,1.032697867388433170e-03
9.249999999999999889e-02,3.988284376638356887e-01,8.912204602205003212e+00,9.007275978926706323e-04,1.000000000000000056e-01,1.154459681347291778e-03
9.500000000000000111e-02,4.212512473179877981e-01,9.163411133431047517e+00,9.699970778868338131e-04,1.000000000000000056e-01,1.285750108051704303e-03
9.750000000000000333e-02,4.443027722843398419e-01,9.415849052999442748e+00,1.042942833481579155e-03,1.000000000000000056e-01,1.427082827750092084e-03
1.000000000000000056e-01,4.679860910824978903e-01,9.669518447905865344e+00,1.119682962049274328e-03,1.000000000000000056e-01,1.578988276864142642e-03
1.025000000000000078e-01,4.923042824461084654e-01,9.924419398793535407e+00,1.200337044990954427e-03,1.000000000000000056e-01,1.742013857143336064e-03
1.050000000000000100e-01,5.172604253080445025e-01,1.018055198269433603e+01,1.285026119985527467e-03,1.000000000000000056e-01,1.916724145427277717e-03
1.075000000000000122e-01,5.428575987901786970e-01,1.043791626966228314e+01,1.373872711527122318e-03,1.000000000000000056e-01,2.103701104865460855e-03
1.100000000000000006e-01,5.690988821869510383e-01,1.069651232539182217e+01,1.467000357460049829e-03,1.000000000000000056e-01,2.303544444734990839e-03
1.125000000000000028e-01,5.959873003555720139e-01,1.095546642130310211e+01,1.564512978581522997e-03,1.000000000000000056e-01,2.516870466274274010e-03
1.150000000000000050e-01,6.235228108955161996e-01,1.121390461223669277e+01,1.666505876816606066e-03,1.000000000000000056e-01,2.744310369000235120e-03
1.175000000000000072e-01,6.517041238921156276e-01,1.147182663058406860e+01,1.773073711003143741e-03,1.000000000000000056e-01,2.986508981045297648e-03
1.200000000000000094e-01,6.805299487616194298e-01,1.172923220827445334e+01,1.884310519498753628e-03,1.000000000000000056e-01,3.244124669604101473e-03
1.225000000000000117e-01,7.099989941105880886e-01,1.198612081200645996e+01,2.000309686305878909e-03,1.000000000000000056e-01,3.517829251021396039e-03
1.250000000000000000e-01,7.401099671098247956e-01,1.224249185981929067e+01,2.121164021550049541e-03,1.000000000000000056e-01,3.808307901384206350e-03
1.275000000000000022e-01,7.708615737410724478e-01,1.249834505164795573e+01,2.246965671226942157e-03,1.000000000000000056e-01,4.116259066146899306e-03
1.300000000000000044e-01,8.022525191960643287e-01,1.275368007617902855e+01,2.377805073465296109e-03,1.000000000000000056e-01,4.442394337456376761e-03
1.325000000000000067e-01,8.342813713130957654e-01,1.300873483593606750e+01,2.513784341439717022e-03,1.000000000000000056e-01,4.787438568169778350e-03
1.350000000000000089e-01,8.669481899974076367e-01,1.326447503053178778e+01,2.655020131655516473e-03,1.000000000000000056e-01,5.152131986315552567e-03
1.375000000000000111e-01,9.002548089785447072e-01,1.352100767228892408e+01,2.801631203430864341e-03,1.000000000000000056e-01,5.537231403036553014e-03
1.400000000000000133e-01,9.342032093373853208e-01,1.377833269652684223e+01,2.953737296216916563e-03,1.000000000000000056e-01,5.943510675654113326e-03
1.425000000000000155e-01,9.687953719915137762e-01,1.403645003575120498e+01,3.111459153418053448e-03,1.000000000000000056e-01,6.371760843766687346e-03
1.450000000000000178e-01,1.004033277688208825e+00,1.429535961969468616e+01,3.274918339830500472e-03,1.000000000000000056e-01,6.822790265549203738e-03
1.475000000000000200e-01,1.039918906997531201e+00,1.455506137535377853e+01,3.444237564963176235e-03,1.000000000000000056e-01,7.297424755738434778e-03
1.500000000000000222e-01,1.076454240305502630e+00,1.481555522702191929e+01,3.619540197461020709e-03,1.000000000000000056e-01,7.796507722140554215e-03
