Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,9.992363484251950978e-02,0.000000000000000000e+00,1.432477912470982162e-02
2.500000000000000052e-03,9.988416931170992705e-03,1.255370004345883299e-02,9.992363484251935712e-02,0.000000000000000000e+00,2.863778549991674582e-02
5.000000000000000104e-03,1.005026686577134044e-02,9.917803995511874360e-02,9.992363484251894079e-02,0.000000000000000000e+00,4.295079187512412106e-02
7.499999999999999722e-03,1.037073080895856494e-02,2.598807721015791716e-01,9.992363484251817751e-02,0.000000000000000000e+00,5.726379825033291182e-02
1.000000000000000021e-02,1.113951757242898771e-02,4.772269400594740252e-01,9.992363484251588768e-02,0.000000000000000000e+00,7.157680462554510958e-02
1.250000000000000069e-02,1.246262510401126289e-02,7.148768704834205234e-01,9.992363484251214067e-02,0.000000000000000000e+00,8.588981100076363562e-02
1.500000000000000118e-02,1.439095360167260210e-02,9.706212233045432569e-01,9.992363484250610384e-02,0.000000000000000000e+00,1.002028173759924867e-01
1.750000000000000167e-02,1.696564083297166098e-02,1.233561276539581364e+00,9.992363484250163519e-02,0.000000000000000000e+00,1.145158237512360899e-01
2.000000000000000042e-02,2.020023716780727785e-02,1.501009424691640115e+00,9.992363484249935923e-02,0.000000000000000000e+00,1.288288301264982338e-01
2.249999999999999917e-02,2.410601312600283222e-02,1.772966175347750140e+00,9.992363484250739447e-02,0.000000000000000000e+00,1.431418365017807226e-01
2.499999999999999792e-02,2.869424049590029585e-02,2.049432029702207281e+00,9.992363484220345704e-02,0.000000000000000000e+00,1.574548428771137820e-01
2.749999999999999667e-02,3.397619232478590878e-02,2.330407495970213461e+00,9.992363484194548284e-02,0.000000000000000000e+00,1.717678492526161782e-01
2.999999999999999542e-02,3.996386431227279962e-02,2.613102637802089401e+00,9.992363484162919418e-02,0.000000000000000000e+00,1.860808556283962134e-01
3.249999999999999417e-02,4.665585808858630640e-02,2.891702307260882066e+00,9.992363484127197992e-02,0.000000000000000000e+00,2.003938620046297470e-01
3.499999999999999639e-02,5.404193424114565880e-02,3.166044494558114764e+00,9.992363484086352887e-02,0.000000000000000000e+00,2.147068683815099299e-01
3.749999999999999861e-02,6.211144835198679354e-02,3.436127935026146218e+00,9.992363484047570021e-02,0.000000000000000000e+00,2.290198747592284700e-01
4.000000000000000083e-02,7.085375286484500712e-02,3.701951406473878325e+00,9.992363484017505182e-02,0.000000000000000000e+00,2.433328811379424084e-01
4.250000000000000305e-02,8.025819718793122948e-02,3.963513723038359249e+00,9.992363484024396891e-02,0.000000000000000000e+00,2.576458875177372598e-01
4.500000000000000527e-02,9.031412778190324453e-02,4.220813729995851915e+00,9.992363484067598445e-02,0.000000000000000000e+00,2.719588938985862403e-01
4.750000000000000749e-02,1.010108882353668996e-01,4.473850299460822022e+00,9.992363484141611463e-02,0.000000000000000000e+00,2.862719002803218449e-01
5.000000000000000971e-02,1.123378193300492434e-01,4.722622326851377395e+00,9.992363484339865376e-02,0.000000000000000000e+00,3.005849066626194999e-01
5.250000000000001193e-02,1.242842590974843620e-01,4.967214355014005100e+00,9.992363484634682325e-02,0.000000000000000000e+00,3.148979130449829356e-01
5.500000000000001416e-02,1.368404331618440495e-01,5.210723680715608985e+00,9.992363485107992604e-02,0.000000000000000000e+00,3.292109194267689998e-01
5.750000000000001638e-02,1.500056097884786832e-01,5.454636889785076548e+00,9.992363485753794072e-02,0.000000000000000000e+00,3.435239258072376733e-01
6.000000000000001860e-02,1.637807986308609798e-01,5.698953884572587114e+00,9.992363486531828654e-02,0.000000000000000000e+00,3.578369321857872709e-01
6.250000000000001388e-02,1.781670091008090706e-01,5.943674571781146554e+00,9.992363487423383539e-02,0.000000000000000000e+00,3.721499385620488654e-01
6.500000000000001610e-02,1.931652503787962549e-01,6.188798861695325115e+00,9.992363488551692097e-02,0.000000000000000000e+00,3.864629449359314184e-01
6.750000000000001832e-02,2.087765314227751079e-01,6.434326667775827069e+00,9.992363489829954315e-02,0.000000000000000000e+00,4.007759513077122637e-01
7.000000000000002054e-02,2.250018609745100817e-01,6.680257909791635029e+00,9.992363491300398914e-02,0.000000000000000000e+00,4.150889576781446322e-01
7.250000000000002276e-02,2.418422476048802117e-01,6.926592552377480949e+00,9.992363492910767697e-02,0.000000000000000000e+00,4.294019640485836620e-01
7.500000000000002498e-02,2.592986998260373155e-01,7.173330595457012571e+00,9.992363494644439237e-02,0.000000000000000000e+00,4.437149704211265644e-01
7.750000000000002720e-02,2.773722261362433494e-01,7.420472033162406333e+00,9.992363496573369863e-02,0.000000000000000000e+00,4.580279767987640027e-01
8.000000000000002942e-02,2.960638350128778629e-01,7.668016851428378189e+00,9.992363498607430283e-02,0.000000000000000000e+00,4.723409831855834851e-01
8.250000000000003164e-02,3.153745348926781933e-01,7.915965026283524608e+00,9.992363500753495553e-02,0.000000000000000000e+00,4.866539895869320120e-01
8.500000000000003386e-02,3.353053341475979998e-01,8.164316524988954882e+00,9.992363502955306509e-02,0.000000000000000000e+00,5.009669960096683194e-01
8.750000000000003608e-02,3.558572410634218697e-01,8.413071307009943212e+00,9.992363505075860242e-02,0.000000000000000000e+00,5.152800024624096809e-01
8.999999999999999667e-02,3.770312638207327649e-01,8.662229324848556899e+00,9.992363507273016587e-02,0.000000000000000000e+00,5.295930089558141818e-01
9.249999999999999889e-02,3.988284363483760031e-01,8.912204558667765397e+00,9.992363509370121022e-02,0.000000000000000000e+00,5.439060155027859444e-01
9.500000000000000111e-02,4.212512458925475323e-01,9.163411087748874806e+00,9.992363511146168387e-02,0.000000000000000000e+00,5.582190221188032542e-01
9.750000000000000333e-02,4.443027707435593943e-01,9.415849005157088669e+00,9.992363512475002651e-02,0.000000000000000000e+00,5.725320288223240128e-01
1.000000000000000056e-01,4.679860894209818545e-01,9.669518397890346506e+00,9.992363513117101526e-02,0.000000000000000000e+00,5.868450356351316843e-01
1.025000000000000078e-01,4.923042806586596654e-01,9.924419347213570219e+00,9.992363513791235885e-02,0.000000000000000000e+00,6.011580425827705021e-01
1.050000000000000100e-01,5.172604233905425675e-01,1.018055192895282346e+01,9.992363513107159478e-02,0.000000000000000000e+00,6.154710496947658482e-01
1.075000000000000122e-01,5.428575967372317734e-01,1.043791621375481959e+01,9.992363511131091558e-02,0.000000000000000000e+00,6.297840570053138132e-01
1.100000000000000006e-01,5.690988799931584463e-01,1.069651226731647320e+01,9.992363508591331489e-02,0.000000000000000000e+00,6.440970645537718031e-01
1.125000000000000028e-01,5.959872980155307420e-01,1.095546636106012706e+01,9.992363503620121934e-02,0.000000000000000000e+00,6.584100723849382053e-01
1.150000000000000050e-01,6.235228084034681872e-01,1.121390454954223159e+01,9.992363497225892344e-02,0.000000000000000000e+00,6.727230805498977118e-01
1.175000000000000072e-01,6.517041212419210083e-01,1.147182656541887447e+01,9.992363489489426709e-02,0.000000000000000000e+00,6.870360891063539421e-01
1.200000000000000094e-01,6.805299459470911527e-01,1.172923214062092612e+01,9.992363479136738558e-02,0.000000000000000000e+00,7.013490981192174178e-01
1.225000000000000117e-01,7.099989911255092379e-01,1.198612074186603138e+01,9.992363465860618077e-02,0.000000000000000000e+00,7.156621076612822430e-01
1.250000000000000000e-01,7.401099639479653547e-01,1.224249178717429842e+01,9.992363450035886274e-02,0.000000000000000000e+00,7.299751178141015151e-01
1.275000000000000022e-01,7.708615703961635424e-01,1.249834497648741660e+01,9.992363431507782223e-02,0.000000000000000000e+00,7.442881286682269115e-01
1.300000000000000044e-01,8.022525156618108833e-01,1.275367999849251888e+01,9.992363405673850008e-02,0.000000000000000000e+00,7.586011403243398954e-01
1.325000000000000067e-01,8.342813675831775022e-01,1.300873475571515492e+01,9.992363377366653143e-02,0.000000000000000000e+00,7.729141528941473327e-01
