Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931170723823e-03,1.255370004369053480e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686577177066e-02,9.917803995733909250e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080896642324e-02,2.598807721099445356e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951757246272635e-02,4.772269400804665107e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246262510410682013e-02,7.148768705257525502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439095360188901059e-02,9.706212233791828847e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696564083339689721e-02,1.233561276660058326e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020023716856505017e-02,1.501009424874662379e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410601312726106185e-02,1.772966175614055340e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869424049788180456e-02,2.049432030077482203e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.397619232821005170e-02,2.330407497088617941e+00,-1.471936451919646332e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,3.996386431891021940e-02,2.613102639703914765e+00,2.223380504070775652e-15,0.000000000000000000e+00,-8.063227619034270474e-16
3.249999999999999417e-02,4.665585810079274365e-02,2.891702310474373316e+00,3.149368496216771808e-15,0.000000000000000000e+00,-5.136739164132695630e-15
3.499999999999999639e-02,5.404193426229043223e-02,3.166044499232796738e+00,2.599683250274846277e-14,0.000000000000000000e+00,-1.326859216333777868e-14
3.749999999999999861e-02,6.211144838569012533e-02,3.436127941188856116e+00,4.874216322195477938e-14,0.000000000000000000e+00,-2.938501227496984124e-14
4.000000000000000083e-02,7.085375291494332151e-02,3.701951413963507687e+00,1.245585063870649583e-14,0.000000000000000000e+00,-5.507404383995534727e-14
4.250000000000000305e-02,8.025819725780442004e-02,3.963513731919867666e+00,2.027092220154954020e-14,0.000000000000000000e+00,-8.897944907741410890e-14
4.500000000000000527e-02,9.031412787508495688e-02,4.220813740330666697e+00,4.087005222973170402e-14,0.000000000000000000e+00,-1.314757270400755520e-13
4.750000000000000749e-02,1.010108883555325965e-01,4.473850311304724769e+00,3.602993861215294236e-14,0.000000000000000000e+00,-1.808367744678458648e-13
5.000000000000000971e-02,1.123378194809985936e-01,4.722622340252166317e+00,1.019541799463577381e-13,0.000000000000000000e+00,-2.330866899015991286e-13
5.250000000000001193e-02,1.242842592830546156e-01,4.967214370309950056e+00,1.994218362952133290e-13,0.000000000000000000e+00,-2.845739744375350464e-13
5.500000000000001416e-02,1.368404333867642153e-01,5.210723697895290663e+00,2.628382739152572689e-13,0.000000000000000000e+00,-2.845739744375350464e-13
5.750000000000001638e-02,1.500056100575599127e-01,5.454636908875397872e+00,4.101924258429538204e-13,0.000000000000000000e+00,-2.845739744375350464e-13
6.000000000000001860e-02,1.637807989488558325e-01,5.698953905771907635e+00,6.782913748735341785e-13,0.000000000000000000e+00,-2.845739744375350464e-13
6.250000000000001388e-02,1.781670094731802045e-01,5.943674595380850079e+00,7.660682388855612298e-13,0.000000000000000000e+00,-2.845739744375350464e-13
6.500000000000001610e-02,1.931652508116112332e-01,6.188798887694261452e+00,1.197927144772845474e-12,0.000000000000000000e+00,-2.845739744375350464e-13
6.750000000000001832e-02,2.087765319215613424e-01,6.434326695640391947e+00,1.253582268038947481e-12,0.000000000000000000e+00,-2.289562061521270215e-13
7.000000000000002054e-02,2.250018615434157543e-01,6.680257938688608732e+00,1.253310647742098648e-12,0.000000000000000000e+00,-1.368088175066650680e-13
7.250000000000002276e-02,2.418422482463706280e-01,6.926592582744300231e+00,1.700166159029659686e-12,0.000000000000000000e+00,-1.854496366422794187e-15
7.500000000000002498e-02,2.592987005435274384e-01,7.173330627165070084e+00,2.138422588302816316e-12,0.000000000000000000e+00,1.969165977423071395e-13
7.750000000000002720e-02,2.773722269339856106e-01,7.420472066738996730e+00,2.469635978157600092e-12,0.000000000000000000e+00,4.764585135445186036e-13
8.000000000000002942e-02,2.960638358955206551e-01,7.668016886868303850e+00,2.910506226582523059e-12,0.000000000000000000e+00,8.499995199149319649e-13
8.250000000000003164e-02,3.153745358648514241e-01,7.915965063575512772e+00,3.261516919845787785e-12,0.000000000000000000e+00,1.308991052023421769e-12
