Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567481707710458e-03,1.496323928512193965e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932776424622518e-02,1.088168232262113344e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951164774603366e-02,2.815694414295912829e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117340957762716e-02,5.146523567208216576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266721169826118612e-02,7.693621177141998224e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474184371836534391e-02,1.043345879013278799e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750888963474287949e-02,1.324995885850237087e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098278737560788088e-02,1.611449702558631625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517554679939365547e-02,1.902707926085420720e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009917926231184260e-02,2.198771156303761298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576569763161981108e-02,2.499640010046166871e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218788469872510050e-02,2.802342874237937487e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936425679195972221e-02,3.100685770289002718e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728391318339719901e-02,3.394496083976020095e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593552162932797556e-02,3.683772417310854141e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530774641530774138e-02,3.968513416599376953e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538924846308362793e-02,4.248717765496272669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616868542087672611e-02,4.524384179322400890e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000749e-02,1.076347117400590081e-01,4.795511400467590946e+00,-4.114940818632276528e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000971e-02,1.197759787404932413e-01,5.062098194474825341e+00,2.130230678389849480e-15,0.000000000000000000e+00,4.120700048585952603e-16
5.250000000000001193e-02,1.325811346675665192e-01,5.324234556137360741e+00,5.396626457292280360e-14,0.000000000000000000e+00,-1.668965490111074578e-15
5.500000000000001416e-02,1.460397730668898109e-01,5.585219637829414552e+00,4.356812693686171920e-14,0.000000000000000000e+00,-7.710114477510349608e-15
5.750000000000001638e-02,1.601511194980454467e-01,5.846636933356464283e+00,1.367276103654319537e-13,0.000000000000000000e+00,-2.833166624767016776e-14
6.000000000000001860e-02,1.749162544454926638e-01,6.108486352260433350e+00,2.487670326688112079e-13,0.000000000000000000e+00,-7.486167750420753175e-14
6.250000000000001388e-02,1.903362581678108290e-01,6.370767806998482996e+00,-4.632439062698415167e-14,0.000000000000000000e+00,-1.701614956743404087e-13
6.500000000000001610e-02,2.064122107075923862e-01,6.633481214784304747e+00,-4.165983779714961848e-13,0.000000000000000000e+00,-3.214928534224690798e-13
6.750000000000001832e-02,2.231451919159511688e-01,6.896626531860403198e+00,-2.091008770739433279e-13,0.000000000000000000e+00,-5.250041607674867307e-13
7.000000000000002054e-02,2.405362815855573988e-01,7.160203765017044475e+00,-1.354226515012034412e-12,0.000000000000000000e+00,-8.153980720774307826e-13
7.250000000000002276e-02,2.585865595093312375e-01,7.424212916403320150e+00,-5.597470300555271794e-13,0.000000000000000000e+00,-1.177298063910143151e-12
7.500000000000002498e-02,2.772971054782326084e-01,7.688653980438578728e+00,8.834581661723401255e-13,0.000000000000000000e+00,-1.661100323170496857e-12
7.750000000000002720e-02,2.966689992628757655e-01,7.953526939947946239e+00,2.083285655945874828e-12,0.000000000000000000e+00,-2.322130243451005976e-12
8.000000000000002942e-02,3.167033205851355060e-01,8.218831767073416117e+00,4.186496738325630980e-12,0.000000000000000000e+00,-3.260604006998254487e-12
8.250000000000003164e-02,3.374011490928827128e-01,8.484568426592833390e+00,1.216263922920100145e-12,0.000000000000000000e+00,-4.550330574631804449e-12
