Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567478104556224e-03,1.496318161661512602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932754738794906e-02,1.088165925367223924e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951071958629709e-02,2.815689223432785715e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117097659627258e-02,5.146514609945163077e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266720680176714776e-02,7.693608136726561852e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474183532025208354e-02,1.043344138407749977e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750887663265460539e-02,1.324993697390840053e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098276864586941237e-02,1.611447059127975034e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517552120052786099e-02,1.902704820551434528e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009914563500270049e-02,2.198767581519166292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576565479867429426e-02,2.499635958848263506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218783146390960720e-02,2.802338343799758658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936419196085068545e-02,3.100680766840587577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728383557714364360e-02,3.394490613992995787e+00,1.302680721247477198e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593543008526585314e-02,3.683766487264916289e+00,7.699244835813903818e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530763978695061145e-02,3.968507032959172953e+00,2.032461354218990078e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538912562011545526e-02,4.248710934728181954e+00,4.010144228252848688e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000527e-02,9.616854524914661417e-02,4.524376907895687694e+00,6.760879267208721533e-04,0.000000000000000000e+00,6.674500758242618147e-05
4.750000000000000749e-02,1.076345531414275858e-01,4.795503694722382804e+00,1.034034630094523080e-03,0.000000000000000000e+00,1.756169917012285358e-04
5.000000000000000971e-02,1.197758006331592628e-01,5.062090061449453060e+00,1.480170567361079178e-03,0.000000000000000000e+00,3.386584089499074485e-04
5.250000000000001193e-02,1.325809359874547122e-01,5.324226003084997494e+00,2.017136713639666561e-03,0.000000000000000000e+00,5.686910846342001138e-04
5.500000000000001416e-02,1.460395527669336169e-01,5.585210665924433826e+00,2.618078036669223892e-03,0.000000000000000000e+00,8.775567538431637126e-04
5.750000000000001638e-02,1.601508765310103166e-01,5.846627542042923231e+00,3.274431293177835264e-03,0.000000000000000000e+00,1.274171526784489885e-03
6.000000000000001860e-02,1.749159877615685810e-01,6.108476540261460030e+00,3.984396792762095844e-03,0.000000000000000000e+00,1.766550721449442266e-03
6.250000000000001388e-02,1.903359667148544210e-01,6.370757573532720208e+00,4.750159425764311286e-03,0.000000000000000000e+00,2.362452247613386520e-03
6.500000000000001610e-02,2.064118934312182130e-01,6.633470558643063342e+00,5.574142992475777589e-03,0.000000000000000000e+00,3.069947354740897635e-03
6.750000000000001832e-02,2.231448477590661505e-01,6.896615452391801959e+00,6.458782920689345661e-03,0.000000000000000000e+00,3.897454854395367672e-03
7.000000000000002054e-02,2.405359094893713690e-01,7.160192261389055624e+00,7.406526288904765644e-03,0.000000000000000000e+00,4.853742787055578996e-03
7.250000000000002276e-02,2.585861584130857427e-01,7.424200987871421908e+00,8.419831844760068337e-03,0.000000000000000000e+00,5.947930090869865162e-03
7.500000000000002498e-02,2.772966743192114003e-01,7.688641626178255528e+00,9.501170023686805743e-03,0.000000000000000000e+00,7.189488274314806068e-03
7.750000000000002720e-02,2.966685369763004121e-01,7.953514159131390038e+00,1.065302298157277949e-02,0.000000000000000000e+00,8.588243091505272722e-03
8.000000000000002942e-02,3.167028261043542403e-01,8.218818559402794932e+00,1.187788458994488636e-02,0.000000000000000000e+00,1.015437622020670845e-02
8.250000000000003164e-02,3.374006213501153928e-01,8.484554790732870444e+00,1.317826047543622404e-02,0.000000000000000000e+00,1.189842694285885016e-02
8.500000000000003386e-02,3.587630022653043316e-01,8.750722808963384836e+00,1.455666803029272670e-02,0.000000000000000000e+00,1.383129383013974832e-02
8.750000000000003608e-02,3.807910482873553271e-01,9.017322562917074791e+00,1.601563644237442158e-02,0.000000000000000000e+00,1.596423642728450956e-02
8.999999999999999667e-02,4.034858387222817755e-01,9.284353995150080863e+00,1.755771162906439101e-02,0.000000000000000000e+00,1.830887553215911068e-02
9.249999999999999889e-02,4.268484802911333142e-01,9.552258154489418729e+00,1.918565315401648749e-02,0.000000000000000000e+00,2.087720802066657388e-02
9.500000000000000111e-02,4.508816280688987543e-01,9.821476205095462930e+00,2.090233201750537825e-02,0.000000000000000000e+00,2.368162691901634642e-02
9.750000000000000333e-02,4.755885668445342662e-01,1.009200825520822775e+01,2.271065532027647521e-02,0.000000000000000000e+00,2.673493767059355666e-02
1.000000000000000056e-01,5.009725816743505478e-01,1.036385440728762930e+01,2.461356647384196211e-02,0.000000000000000000e+00,3.005036331517279766e-02
1.025000000000000078e-01,5.270369578677275291e-01,1.063701475831221011e+01,2.661404536310215882e-02,0.000000000000000000e+00,3.364154969452576305e-02
1.050000000000000100e-01,5.537849809735563289e-01,1.091148940004137913e+01,2.871510852319425489e-02,0.000000000000000000e+00,3.752257068420723762e-02
1.075000000000000122e-01,5.812199367673184236e-01,1.118727841924594379e+01,3.091980932469630752e-02,0.000000000000000000e+00,4.170793345209155428e-02
1.100000000000000006e-01,6.093451112387270330e-01,1.146438189791087581e+01,3.323122661432639791e-02,0.000000000000000000e+00,4.621258740805630344e-02
1.125000000000000028e-01,6.381637324127366062e-01,1.174186899583664534e+01,3.565195352631571335e-02,0.000000000000000000e+00,5.105189563602721692e-02
1.150000000000000050e-01,6.676757603660372631e-01,1.201880829495012648e+01,3.818436893728839598e-02,0.000000000000000000e+00,5.624159293103381946e-02
1.175000000000000072e-01,6.978798251815904186e-01,1.229519916858330397e+01,4.083083631575322447e-02,0.000000000000000000e+00,6.179775435005935985e-02
1.200000000000000094e-01,7.287745556450114792e-01,1.257104127218999778e+01,4.359370379224818126e-02,0.000000000000000000e+00,6.773679300499139966e-02
1.225000000000000117e-01,7.603585796423063536e-01,1.284633425805312257e+01,4.647530421395614647e-02,0.000000000000000000e+00,7.407545786798606924e-02
1.250000000000000000e-01,7.926305241901703269e-01,1.312107779341086378e+01,4.947795503400298500e-02,0.000000000000000000e+00,8.083083158007278723e-02
1.275000000000000022e-01,8.255890154734469855e-01,1.339527154557027977e+01,5.260395869823106946e-02,0.000000000000000000e+00,8.802032826344487193e-02
1.300000000000000044e-01,8.592326788453645836e-01,1.366891518202200118e+01,5.585557535135132062e-02,0.000000000000000000e+00,9.566169050358237780e-02
1.325000000000000067e-01,8.935599933097281289e-01,1.394226216761655124e+01,5.923535381082864482e-02,0.000000000000000000e+00,1.037729922092939239e-01
1.350000000000000089e-01,9.285710276014628173e-01,1.421634143147992724e+01,6.274620461317491349e-02,0.000000000000000000e+00,1.123726910627831643e-01
1.375000000000000111e-01,9.642677404275281638e-01,1.449126699657533024e+01,6.639109061156779623e-02,0.000000000000000000e+00,1.214796584923252404e-01
1.400000000000000133e-01,1.000652247503633463e+00,1.476703879762953164e+01,7.017299884379073205e-02,0.000000000000000000e+00,1.311131911679372097e-01
1.425000000000000155e-01,1.037726664380640207e+00,1.504365676642650662e+01,7.409494020002949100e-02,0.000000000000000000e+00,1.412930144187192205e-01
1.450000000000000178e-01,1.075493106437220847e+00,1.532112083183648288e+01,7.815994920425779757e-02,0.000000000000000000e+00,1.520392856597297671e-01
1.475000000000000200e-01,1.113953688872588943e+00,1.559943091984185237e+01,8.237108491280131783e-02,0.000000000000000000e+00,1.633725978356856123e-01
1.500000000000000222e-01,1.153110526699292038e+00,1.587858695355867056e+01,8.673142960083796149e-02,0.000000000000000000e+00,1.753139828685654766e-01
1.525000000000000244e-01,1.192965734736055161e+00,1.615858885325481964e+01,9.124409087662771478e-02,0.000000000000000000e+00,1.878849151271639595e-01
1.550000000000000266e-01,1.233521427600669629e+00,1.643943653636478430e+01,9.591220018348647902e-02,0.000000000000000000e+00,2.011073148950552614e-01
1.575000000000000289e-01,1.274779719702915814e+00,1.672112991750098132e+01,1.007389128513543480e-01,0.000000000000000000e+00,2.150035518552923519e-01
1.600000000000000311e-01,1.316742725237511902e+00,1.700366890846269641e+01,1.048650427818016984e-01,0.000000000000000000e+00,2.295588464712650378e-01
1.625000000000000333e-01,1.359412558177085728e+00,1.728705341824187514e+01,1.093055983419105176e-01,0.000000000000000000e+00,2.447226541449946113e-01
1.650000000000000355e-01,1.402791332265157287e+00,1.757128335302657263e+01,1.138039612162922570e-01,0.000000000000000000e+00,2.605265147720389196e-01
1.675000000000000377e-01,1.446881161009130778e+00,1.785635861620228582e+01,1.184262840643086623e-01,0.000000000000000000e+00,2.769787648001366120e-01
1.700000000000000400e-01,1.491684157673286215e+00,1.814227910835005630e+01,1.231737590417132933e-01,0.000000000000000000e+00,2.940971998565723999e-01
1.725000000000000422e-01,1.537202435271766809e+00,1.842904472724306686e+01,1.280475426299826081e-01,0.000000000000000000e+00,3.118997853012770993e-01
1.750000000000000444e-01,1.583438106561555925e+00,1.871665536783981310e+01,1.330487572202120883e-01,0.000000000000000000e+00,3.304046512647370593e-01
1.775000000000000466e-01,1.630393284035436263e+00,1.900508443183658258e+01,1.381784235601130062e-01,0.000000000000000000e+00,3.496300892605116450e-01
1.800000000000000488e-01,1.678069804483838467e+00,1.929337326686216869e+01,1.434368577923501864e-01,0.000000000000000000e+00,3.695945022871424124e-01
1.825000000000000511e-01,1.726466706100052262e+00,1.958106155637874934e+01,1.488241896680095044e-01,0.000000000000000000e+00,3.903163407364877990e-01
1.850000000000000533e-01,1.775582487308778878e+00,1.986814892751581496e+01,1.543404862391313526e-01,0.000000000000000000e+00,4.118140717181119626e-01
1.875000000000000555e-01,1.825415645603220893e+00,2.015463500858660240e+01,1.599857540721424942e-01,0.000000000000000000e+00,4.341061702713799320e-01
1.900000000000000577e-01,1.875964677548041637e+00,2.044051942908919273e+01,1.657599397619974324e-01,0.000000000000000000e+00,4.572111106748715237e-01
