Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988567477979420212e-03,1.496317961381489307e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005932753985656382e-02,1.088165845249844943e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.040951068735173832e-02,2.815689043155715776e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.124117089209946373e-02,5.146514298855070502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.266720663170995201e-02,7.693607683799903452e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.474183502857092688e-02,1.043344077945296489e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.750887618103951632e-02,1.324993621357622331e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.098276799524535080e-02,1.611446967263678864e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.517552031116609620e-02,1.902704712590709057e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,3.009914446650814937e-02,2.198767457191479036e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.576565330997258374e-02,2.499635817877875255e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,4.218782961319493541e-02,2.802338186056854585e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.936418970629888325e-02,3.100680592506037669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.728383287738098018e-02,3.394490423253091915e+00,2.604825085917586167e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.593542689938275414e-02,3.683766280303109042e+00,1.539532727778558261e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,7.530763607449476871e-02,3.968506809956438453e+00,4.064088508112861453e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,8.538912134108581076e-02,4.248710695860982156e+00,8.018640145747603495e-04,0.000000000000000000e+00,7.172778594786798469e-05
4.500000000000000527e-02,9.616854036394241467e-02,4.524376653307430551e+00,1.351900511509341674e-03,0.000000000000000000e+00,2.051904264590263284e-04
4.750000000000000749e-02,1.076345476109621807e-01,4.795503424826907946e+00,2.067649304292075441e-03,0.000000000000000000e+00,4.228901917710286749e-04
5.000000000000000971e-02,1.197757944194500906e-01,5.062089776414122611e+00,2.959739343997360404e-03,0.000000000000000000e+00,7.489069678979145151e-04
5.250000000000001193e-02,1.325809290528109641e-01,5.324225702984730191e+00,4.033452813391416591e-03,0.000000000000000000e+00,1.208878806578982459e-03
5.500000000000001416e-02,1.460395450735364475e-01,5.585210350787451539e+00,5.235089477205457503e-03,0.000000000000000000e+00,1.826484441425431761e-03
5.750000000000001638e-02,1.601508680411075913e-01,5.846627211610106123e+00,6.547527329293775442e-03,0.000000000000000000e+00,2.619552365590571089e-03
6.000000000000001860e-02,1.749159784369026527e-01,6.108476194529210090e+00,7.967167703914613056e-03,0.000000000000000000e+00,3.604109934982755586e-03
6.250000000000001388e-02,1.903359565171788559e-01,6.370757212455040452e+00,9.498379516657520089e-03,0.000000000000000000e+00,4.795669790988532286e-03
6.500000000000001610e-02,2.064118823222045040e-01,6.633470182338010446e+00,1.114600938350449391e-02,0.000000000000000000e+00,6.210371130393451365e-03
6.750000000000001832e-02,2.231448357005435534e-01,6.896615060604581515e+00,1.291492716144699085e-02,0.000000000000000000e+00,7.865048133241429526e-03
7.000000000000002054e-02,2.405358964425997892e-01,7.160191854042551540e+00,1.481002600119715740e-02,0.000000000000000000e+00,9.777233293393607777e-03
7.250000000000002276e-02,2.585861443390191639e-01,7.424200564797245327e+00,1.683622239118013134e-02,0.000000000000000000e+00,1.196516075662146412e-02
7.500000000000002498e-02,2.772966591784779000e-01,7.688641187283735690e+00,1.899845620102534258e-02,0.000000000000000000e+00,1.444776966505285400e-02
7.750000000000002720e-02,2.966685207292956150e-01,7.953513704322570987e+00,2.130169071358204227e-02,0.000000000000000000e+00,1.724470750731665197e-02
8.000000000000002942e-02,3.167028087112381263e-01,8.218818088584297854e+00,2.375091266990847494e-02,0.000000000000000000e+00,2.037633347423580682e-02
8.250000000000003164e-02,3.374006027708086886e-01,8.484554303807916753e+00,2.635113229738187887e-02,0.000000000000000000e+00,2.386372181988394292e-02
8.500000000000003386e-02,3.587629824594849581e-01,8.750722305833724235e+00,2.910738336248570174e-02,0.000000000000000000e+00,2.772866522807869438e-02
8.750000000000003608e-02,3.807910272144547359e-01,9.017322043482964844e+00,3.202472318873950119e-02,0.000000000000000000e+00,3.199367818427582139e-02
8.999999999999999667e-02,4.034858163414811183e-01,9.284353459310185741e+00,3.510824255789457560e-02,0.000000000000000000e+00,3.668199753194990864e-02
9.249999999999999889e-02,4.268484565613580584e-01,9.552257602118174873e+00,3.836345950922276371e-02,0.000000000000000000e+00,4.181761211764997016e-02
9.500000000000000111e-02,4.508816029487350829e-01,9.821475636042837465e+00,4.179611487603739767e-02,0.000000000000000000e+00,4.742530292678597686e-02
9.750000000000000333e-02,4.755885402921923300e-01,1.009200766932221782e+01,4.541202166650673555e-02,0.000000000000000000e+00,5.353067561051649825e-02
1.000000000000000056e-01,5.009725536476591357e-01,1.036385380441395831e+01,4.921706547239886737e-02,0.000000000000000000e+00,6.016017084251403663e-02
1.025000000000000078e-01,5.270369283241284064e-01,1.063701413829421760e+01,5.321720482946891428e-02,0.000000000000000000e+00,6.734107472837058683e-02
1.050000000000000100e-01,5.537849498700981865e-01,1.091148876272002433e+01,5.741847163614396260e-02,0.000000000000000000e+00,7.510152926747871993e-02
1.075000000000000122e-01,5.812199040606510492e-01,1.118727776445980560e+01,6.182697137985338626e-02,0.000000000000000000e+00,8.347054286688236624e-02
1.100000000000000006e-01,6.093450768850952048e-01,1.146438122549622207e+01,6.644886048807409351e-02,0.000000000000000000e+00,9.247800823772975298e-02
1.125000000000000028e-01,6.381636963679773178e-01,1.174186830567479056e+01,7.128932417941453992e-02,0.000000000000000000e+00,1.021546452710930669e-01
1.150000000000000050e-01,6.676757225857494760e-01,1.201880758697933160e+01,7.635311926102512914e-02,0.000000000000000000e+00,1.125319171287634812e-01
1.175000000000000072e-01,6.978797856212064499e-01,1.229519844272708795e+01,8.164497171343754189e-02,0.000000000000000000e+00,1.236419673580781142e-01
1.200000000000000094e-01,7.287745142597746861e-01,1.257104052837374475e+01,8.716957687839267666e-02,0.000000000000000000e+00,1.355176154787903764e-01
1.225000000000000117e-01,7.603585363872729097e-01,1.284633349619985587e+01,9.293159933164202302e-02,0.000000000000000000e+00,1.481923525942622499e-01
1.250000000000000000e-01,7.926304790202027828e-01,1.312107701344201871e+01,9.893567333755290405e-02,0.000000000000000000e+00,1.617003370107460425e-01
1.275000000000000022e-01,8.255889683432106052e-01,1.339527074740549040e+01,1.049429069878136805e-01,0.000000000000000000e+00,1.760550706109165753e-01
1.300000000000000044e-01,8.592326297093226817e-01,1.366891436557906125e+01,1.108748546606692503e-01,0.000000000000000000e+00,1.912794121754659571e-01
1.325000000000000067e-01,8.935599421221447347e-01,1.394226133279827806e+01,1.169656535550313292e-01,0.000000000000000000e+00,2.073602377834617705e-01
1.350000000000000089e-01,9.285709743163165220e-01,1.421634057813423446e+01,1.232685132592444277e-01,0.000000000000000000e+00,2.243204226198109996e-01
1.375000000000000111e-01,9.642676849984090914e-01,1.449126612454169205e+01,1.297865907232168825e-01,0.000000000000000000e+00,2.421904450123649188e-01
1.400000000000000133e-01,1.000652189883729282e+00,1.476703790674505790e+01,1.365229894498453111e-01,0.000000000000000000e+00,2.610012337830671103e-01
1.425000000000000155e-01,1.037726604522729357e+00,1.504365585652533888e+01,1.434807589235655712e-01,0.000000000000000000e+00,2.807841606210618735e-01
1.450000000000000178e-01,1.075493044293665879e+00,1.532111990275009816e+01,1.506628924850661744e-01,0.000000000000000000e+00,3.015710322446252811e-01
1.475000000000000200e-01,1.113953624395329411e+00,1.559942997139924614e+01,1.580723261473372665e-01,0.000000000000000000e+00,3.233940823625809924e-01
1.500000000000000222e-01,1.153110459839838509e+00,1.587858598558660184e+01,1.657119376600476313e-01,0.000000000000000000e+00,3.462859634351865279e-01
1.525000000000000244e-01,1.192965665445484102e+00,1.615858786557746285e+01,1.735845440848025611e-01,0.000000000000000000e+00,3.702797382395115466e-01
1.550000000000000266e-01,1.233521355829616306e+00,1.643943552880315906e+01,1.816929016455895440e-01,0.000000000000000000e+00,3.954088712486877322e-01
1.575000000000000289e-01,1.274779645401565853e+00,1.672112888987319579e+01,1.900397042476678067e-01,0.000000000000000000e+00,4.217072198236391234e-01
1.600000000000000311e-01,1.316742648355595069e+00,1.700366786058467738e+01,1.986275815286026869e-01,0.000000000000000000e+00,4.492090252188765676e-01
1.625000000000000333e-01,1.359412478663870161e+00,1.728705234992710160e+01,2.074590978330317637e-01,0.000000000000000000e+00,4.779489034206133025e-01
1.650000000000000355e-01,1.402791250069443940e+00,1.757128226408611482e+01,2.165367519670930718e-01,0.000000000000000000e+00,5.079618358120290278e-01
1.675000000000000377e-01,1.446881076079245876e+00,1.785635750644414088e+01,2.258629749591086755e-01,0.000000000000000000e+00,5.392831596722041931e-01
1.700000000000000400e-01,1.491684069957074588e+00,1.814227797757831695e+01,2.354401301401302937e-01,0.000000000000000000e+00,5.719485585159174157e-01
1.725000000000000422e-01,1.537202344716581015e+00,1.842904357525762649e+01,2.452705095765086440e-01,0.000000000000000000e+00,6.059940522759158510e-01
1.750000000000000444e-01,1.583438013114246035e+00,1.871665419443649014e+01,2.553563371122877790e-01,0.000000000000000000e+00,6.414559873467573503e-01
1.775000000000000466e-01,1.630393187642339425e+00,1.900508323680918821e+01,2.656996292080320288e-01,0.000000000000000000e+00,6.783710297969077763e-01
1.800000000000000488e-01,1.678069705090785790e+00,1.929337205005073841e+01,2.763009938958850831e-01,0.000000000000000000e+00,7.167760652575024816e-01
1.825000000000000511e-01,1.726466603652504483e+00,1.958106031764412336e+01,2.871606610273731985e-01,0.000000000000000000e+00,7.567080703023868482e-01
1.850000000000000533e-01,1.775582381751847683e+00,1.986814766671646382e+01,2.982787383978666718e-01,0.000000000000000000e+00,7.982040509574032106e-01
1.875000000000000555e-01,1.825415536881662248e+00,2.015463372557901423e+01,3.096552117258146164e-01,0.000000000000000000e+00,8.413010251262496020e-01
1.900000000000000577e-01,1.875964565606252465e+00,2.044051812372763877e+01,3.212899468980882633e-01,0.000000000000000000e+00,8.860360052260366492e-01
1.925000000000000600e-01,1.927227963564339897e+00,2.072580049184232465e+01,3.331826896528564674e-01,0.000000000000000000e+00,9.324459810133486348e-01
1.950000000000000622e-01,1.979204225472022127e+00,2.101048046178551942e+01,3.453330693950445451e-01,0.000000000000000000e+00,9.805679026454583447e-01
1.975000000000000644e-01,2.031891845125727958e+00,2.129455766659716787e+01,3.577405996114489950e-01,0.000000000000000000e+00,1.030438663949577727e+00
2.000000000000000666e-01,2.085289315405156163e+00,2.157803174048979855e+01,3.704046777838630455e-01,0.000000000000000000e+00,1.082095085929898337e+00
2.025000000000000688e-01,2.139395128276204705e+00,2.186092501843251412e+01,3.833247212270747828e-01,0.000000000000000000e+00,1.135573897369079210e+00
2.050000000000000711e-01,2.194208010810366538e+00,2.214405850859422031e+01,3.965013162841233285e-01,0.000000000000000000e+00,1.190911805103582743e+00
2.075000000000000733e-01,2.249729087035930331e+00,2.242782618787502003e+01,4.099352172865546873e-01,0.000000000000000000e+00,1.248145590901706736e+00
2.100000000000000755e-01,2.305959942340195745e+00,2.271222790584870665e+01,4.236271078675167279e-01,0.000000000000000000e+00,1.307312143174315988e+00
2.125000000000000777e-01,2.362902161733061224e+00,2.299726350972547095e+01,4.375775944399547535e-01,0.000000000000000000e+00,1.368448446402850793e+00
2.150000000000000799e-01,2.420557329841099836e+00,2.328293284432123400e+01,4.517872076305676221e-01,0.000000000000000000e+00,1.431591570587253726e+00
2.175000000000000822e-01,2.478927030901555195e+00,2.356923575202918641e+01,4.662564075621458137e-01,0.000000000000000000e+00,1.496778660679939810e+00
2.200000000000000844e-01,2.538012848756269424e+00,2.385617207278689378e+01,4.809855798503311908e-01,0.000000000000000000e+00,1.564046926056504416e+00
2.225000000000000866e-01,2.597816366845521863e+00,2.414374164404139123e+01,4.959750354473759781e-01,0.000000000000000000e+00,1.633433629972475432e+00
2.250000000000000888e-01,2.658339168201785174e+00,2.443194430071601531e+01,5.112250100619412096e-01,0.000000000000000000e+00,1.704976079070128936e+00
