Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,3.113044982042178007e-06,1.000000000000000056e-01,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931170723823e-03,1.255370004369053480e-02,6.228191046364434082e-06,1.000000000000000056e-01,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686577177066e-02,9.917803995733909250e-02,9.360219035644753316e-06,1.000000000000000056e-01,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080896642324e-02,2.598807721099445356e-01,1.255899377474762857e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.113951757246272635e-02,4.772269400804665107e-01,1.590436297535006917e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.246262510410682013e-02,7.148768705257525502e-01,1.949716393073660663e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.500000000000000118e-02,1.439095360188901059e-02,9.706212233791828847e-01,2.345321376513920313e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.750000000000000167e-02,1.696564083339689721e-02,1.233561276660058326e+00,2.788712952482079287e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.000000000000000042e-02,2.020023716856505017e-02,1.501009424874662379e+00,3.291831838721977910e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.249999999999999917e-02,2.410601312726106185e-02,1.772966175614055340e+00,3.867183978570878304e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.499999999999999792e-02,2.869424049788180456e-02,2.049432030077482203e+00,4.527823598552651230e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.749999999999999667e-02,3.397619232821005170e-02,2.330407497088617941e+00,5.287441252705480900e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.999999999999999542e-02,3.996386431891021940e-02,2.613102639703914765e+00,6.158116531155625171e-05,1.000000000000000056e-01,7.861871338109090285e-06
3.249999999999999417e-02,4.665585810079275059e-02,2.891702310474377757e+00,7.150312266055415468e-05,1.000000000000000056e-01,1.701098851244645677e-05
3.499999999999999639e-02,5.404193426229044611e-02,3.166044499232794962e+00,8.273885456067670420e-05,1.000000000000000056e-01,2.762459402260701122e-05
3.749999999999999861e-02,6.211144838569013227e-02,3.436127941188846791e+00,9.538148755355904923e-05,1.000000000000000056e-01,3.989387283690384715e-05
4.000000000000000083e-02,7.085375291494329375e-02,3.701951413963468163e+00,1.095187871920391101e-04,1.000000000000000056e-01,5.402317537108728871e-05
4.250000000000000305e-02,8.025819725780428127e-02,3.963513731919783289e+00,1.252332420027981569e-04,1.000000000000000056e-01,7.022925229815856949e-05
4.500000000000000527e-02,9.031412787508458218e-02,4.220813740330522812e+00,1.426021461407769170e-04,1.000000000000000056e-01,8.874050138551198698e-05
4.750000000000000749e-02,1.010108883555318332e-01,4.473850311304513383e+00,1.616976828870514925e-04,1.000000000000000056e-01,1.097962261688885122e-04
5.000000000000000971e-02,1.123378194809972475e-01,4.722622340251897199e+00,1.825870073665515473e-04,1.000000000000000056e-01,1.336459065359984751e-04
5.250000000000001193e-02,1.242842592831152615e-01,4.967214370008629309e+00,2.053354934396443539e-04,1.000000000000000056e-01,1.605484048765004038e-04
5.500000000000001416e-02,1.368404333860718247e-01,5.210723697594430881e+00,2.300335282792029463e-04,1.000000000000000056e-01,1.907732850833588679e-04
5.750000000000001638e-02,1.500056100561157624e-01,5.454636908575206000e+00,2.567769266635541682e-04,1.000000000000000056e-01,1.907732850833588679e-04
6.000000000000001860e-02,1.637807989463802016e-01,5.698953904988443675e+00,2.856619765596848308e-04,1.000000000000000056e-01,1.907732850833588679e-04
6.250000000000001388e-02,1.781670094684577876e-01,5.943674594071419293e+00,3.167854381929098378e-04,1.000000000000000056e-01,1.907732850833588679e-04
6.500000000000001610e-02,1.931652508033188942e-01,6.188798885885580248e+00,3.502445356181203211e-04,1.000000000000000056e-01,2.372491422951152301e-04
6.750000000000001832e-02,2.087765319084421978e-01,6.434326693260212338e+00,3.861369568548244095e-04,1.000000000000000056e-01,2.885973112164014198e-04
7.000000000000002054e-02,2.250018615244187836e-01,6.680257936798343898e+00,4.245608556989051126e-04,1.000000000000000056e-01,3.451695348962060378e-04
7.250000000000002276e-02,2.418422482226198211e-01,6.926592580804677546e+00,4.656148507242622398e-04,1.000000000000000056e-01,4.073316309663743977e-04
7.500000000000002498e-02,2.592987005148993940e-01,7.173330625176029152e+00,5.093980264893860875e-04,1.000000000000000056e-01,4.754635582946087021e-04
7.750000000000002720e-02,2.773722269003567886e-01,7.420472064700523340e+00,5.560099354905119820e-04,1.000000000000000056e-01,5.499594838337062107e-04
8.000000000000002942e-02,2.960638358567674322e-01,7.668016884780323394e+00,6.055505967319969873e-04,1.000000000000000056e-01,6.312278495116475973e-04
8.250000000000003164e-02,3.153745358208499550e-01,7.915965061437989725e+00,6.581204978000850013e-04,1.000000000000000056e-01,7.196914391690931861e-04
8.500000000000003386e-02,3.353053351647837799e-01,8.164316562204307459e+00,7.138205957443024066e-04,1.000000000000000056e-01,8.157874457082668444e-04
8.750000000000003608e-02,3.558572421747794867e-01,8.413071346310749377e+00,7.727523155371006022e-04,1.000000000000000056e-01,9.199675382492736525e-04
8.999999999999999667e-02,3.770312650314792124e-01,8.662229366256998020e+00,8.350177506864022185e-04,1.000000000000000056e-01,1.032697872492613052e-03
9.249999999999999889e-02,3.988284376637817874e-01,8.912204602203644299e+00,9.007276099167699050e-04,1.000000000000000056e-01,1.154459687608494923e-03
9.500000000000000111e-02,4.212512473179305106e-01,9.163411133429731237e+00,9.699970912176858603e-04,1.000000000000000056e-01,1.285750115477377444e-03
9.750000000000000333e-02,4.443027722842793348e-01,9.415849052998307656e+00,1.042942844130720663e-03,1.000000000000000056e-01,1.427082836327832598e-03
1.000000000000000056e-01,4.679860910824347187e-01,9.669518447905113945e+00,1.119682975082501603e-03,1.000000000000000056e-01,1.578988286616964240e-03
1.025000000000000078e-01,4.923042824460437394e-01,9.924419398793382641e+00,1.200337058381106695e-03,1.000000000000000056e-01,1.742013868064743723e-03
1.050000000000000100e-01,5.172604253079797765e-01,1.018055198269485118e+01,1.285026130806399443e-03,1.000000000000000056e-01,1.916724157501880320e-03
1.075000000000000122e-01,5.428575987901156363e-01,1.043791626966343244e+01,1.373872722149721256e-03,1.000000000000000056e-01,2.103701118139923547e-03
1.100000000000000006e-01,5.690988821868910863e-01,1.069651232539351682e+01,1.467000358175397749e-03,1.000000000000000056e-01,2.303544459256559249e-03
1.125000000000000028e-01,5.959873003555165027e-01,1.095546642130511117e+01,1.564512987332161448e-03,1.000000000000000056e-01,2.516870482321951954e-03
1.150000000000000050e-01,6.235228108954656845e-01,1.121390461223861301e+01,1.666505888865286045e-03,1.000000000000000056e-01,2.744310386713104920e-03
1.175000000000000072e-01,6.517041238920696644e-01,1.147182663058536001e+01,1.773073720439260993e-03,1.000000000000000056e-01,2.986509000570204946e-03
1.200000000000000094e-01,6.805299487615761311e-01,1.172923220827454216e+01,1.884310528127514745e-03,1.000000000000000056e-01,3.244124691081815611e-03
1.225000000000000117e-01,7.099989941105442348e-01,1.198612081200475465e+01,2.000309705097081878e-03,1.000000000000000056e-01,3.517829274746780109e-03
1.250000000000000000e-01,7.401099671097757238e-01,1.224249185981535959e+01,2.121164047235116895e-03,1.000000000000000056e-01,3.808307927439057768e-03
1.275000000000000022e-01,7.708615737410122737e-01,1.249834505164155907e+01,2.246965711505489148e-03,1.000000000000000056e-01,4.116259094490105561e-03
1.300000000000000044e-01,8.022525191959866131e-01,1.275368007616983412e+01,2.377805134645253910e-03,1.000000000000000056e-01,4.442394367987769280e-03
1.325000000000000067e-01,8.342813713129934028e-01,1.300873483592382662e+01,2.513784380693836942e-03,1.000000000000000056e-01,4.787438600462995061e-03
1.350000000000000089e-01,8.669481899972729666e-01,1.326447503051638854e+01,2.655020148652861844e-03,1.000000000000000056e-01,5.152132020020979038e-03
1.375000000000000111e-01,9.002548089783697360e-01,1.352100767227007516e+01,2.801631235014468996e-03,1.000000000000000056e-01,5.537231438249886131e-03
1.400000000000000133e-01,9.342032093371610557e-01,1.377833269650419901e+01,2.953737351500345006e-03,1.000000000000000056e-01,5.943510712176785366e-03
1.425000000000000155e-01,9.687953719912306694e-01,1.403645003572434646e+01,3.111459160465105192e-03,1.000000000000000056e-01,6.371760881227594119e-03
1.450000000000000178e-01,1.004033277687855996e+00,1.429535961966323399e+01,3.274918415961390692e-03,1.000000000000000056e-01,6.822790303981012688e-03
1.475000000000000200e-01,1.039918906997097103e+00,1.455506137531729927e+01,3.444237623295891629e-03,1.000000000000000056e-01,7.297424794294163700e-03
1.500000000000000222e-01,1.076454240304974386e+00,1.481555522697948390e+01,3.619540303898342772e-03,1.000000000000000056e-01,7.796507760174097544e-03
