Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,9.897548730603096534e-02,0.000000000000000000e+00,1.433530874956080552e-02
2.500000000000000052e-03,9.988417345330602090e-03,1.255332879339042182e-02,9.897548701187097731e-02,0.000000000000000000e+00,2.851250313505858391e-02
5.000000000000000104e-03,1.005026619340322440e-02,9.917420909825794273e-02,9.897548577800299729e-02,0.000000000000000000e+00,4.268969858516744736e-02
7.499999999999999722e-03,1.037071728507947196e-02,2.598654474032444650e-01,9.897548178951019737e-02,0.000000000000000000e+00,5.686689795099122285e-02
1.000000000000000021e-02,1.113945625555600762e-02,4.771861304502618140e-01,9.897547200943412893e-02,0.000000000000000000e+00,7.104410736298474860e-02
1.250000000000000069e-02,1.246244243224996044e-02,7.147895636117236329e-01,9.897545349622639821e-02,0.000000000000000000e+00,8.522133791094593791e-02
1.500000000000000118e-02,1.439051920931619551e-02,9.704582239094521334e-01,9.897542044957598206e-02,0.000000000000000000e+00,9.939860752591066217e-02
1.750000000000000167e-02,1.696474640454830735e-02,1.233283912399427695e+00,9.897536366701872868e-02,0.000000000000000000e+00,1.135759432440537342e-01
2.000000000000000042e-02,2.019857191070018043e-02,1.500568044988224159e+00,9.897527953457212202e-02,0.000000000000000000e+00,1.277533839174774533e-01
2.249999999999999917e-02,2.410313542165240519e-02,1.772298494561226345e+00,9.897515240354270993e-02,0.000000000000000000e+00,1.419309829957354219e-01
2.499999999999999792e-02,2.868954532025042720e-02,2.048461314106816200e+00,9.897496999406930895e-02,0.000000000000000000e+00,1.561088120426278592e-01
2.749999999999999667e-02,3.396887404939998023e-02,2.329040593498135969e+00,9.897471333086420298e-02,0.000000000000000000e+00,1.702869645234306173e-01
2.999999999999999542e-02,3.995287448400538372e-02,2.611227901498554438e+00,9.897435839821532022e-02,0.000000000000000000e+00,1.844655601383785315e-01
3.249999999999999417e-02,4.663985801147236404e-02,2.889187364087193899e+00,9.897388951874133700e-02,0.000000000000000000e+00,1.986447496887111530e-01
3.499999999999999639e-02,5.401924175204025208e-02,3.162733736722051603e+00,9.897327567133588910e-02,0.000000000000000000e+00,2.128247202004055205e-01
3.749999999999999861e-02,6.207997833602056648e-02,3.431839960444392101e+00,9.897248036077400946e-02,0.000000000000000000e+00,2.270057009180409535e-01
4.000000000000000083e-02,7.081095128497168212e-02,3.696476319809454125e+00,9.897147874035992776e-02,0.000000000000000000e+00,2.411879696466905920e-01
4.250000000000000305e-02,8.020096828428993629e-02,3.956610289462794583e+00,9.897022230915877850e-02,0.000000000000000000e+00,2.553718597629345277e-01
4.500000000000000527e-02,9.023875407116710434e-02,4.212206378753977631e+00,9.896864530112030323e-02,0.000000000000000000e+00,2.695577678274838629e-01
4.750000000000000749e-02,1.009129429335164779e-01,4.463225974206087798e+00,9.896670939439000669e-02,0.000000000000000000e+00,2.837461623735680893e-01
5.000000000000000971e-02,1.122120708132094413e-01,4.709627181641744542e+00,9.896442775667280145e-02,0.000000000000000000e+00,2.979375916451612039e-01
5.250000000000001193e-02,1.241245708179263274e-01,4.951543843846297754e+00,9.896188676862248401e-02,0.000000000000000000e+00,3.121326449679909243e-01
5.500000000000001416e-02,1.366399874891572053e-01,5.192147194307966451e+00,9.895902045237521538e-02,0.000000000000000000e+00,3.263319541010495373e-01
5.750000000000001638e-02,1.497570093870334573e-01,5.432919390633059287e+00,9.895583592934761863e-02,0.000000000000000000e+00,3.405362042607643080e-01
6.000000000000001860e-02,1.634760567712842116e-01,5.673857861776864908e+00,9.895231826826582366e-02,0.000000000000000000e+00,3.547461323356811413e-01
6.250000000000001388e-02,1.777975443312800330e-01,5.914961472155082944e+00,9.894847442967787121e-02,0.000000000000000000e+00,3.689625247872022062e-01
6.500000000000001610e-02,1.927218846713948386e-01,6.156230343990809928e+00,9.894432507343850491e-02,0.000000000000000000e+00,3.831862155198513809e-01
6.750000000000001832e-02,2.082494913593096741e-01,6.397665691122390363e+00,9.893980919969475041e-02,0.000000000000000000e+00,3.974180826289779311e-01
7.000000000000002054e-02,2.243807815643783510e-01,6.639269663975088775e+00,9.893494348229285584e-02,0.000000000000000000e+00,4.116590470656687484e-01
7.250000000000002276e-02,2.411161783149461391e-01,6.881045205656961983e+00,9.892971525027841051e-02,0.000000000000000000e+00,4.259100691077346568e-01
7.500000000000002498e-02,2.584561124022048406e-01,7.122995917691389067e+00,9.892414823737960550e-02,0.000000000000000000e+00,4.401721462707403054e-01
7.750000000000002720e-02,2.764010239533370439e-01,7.365125935494691412e+00,9.891825213716515242e-02,0.000000000000000000e+00,4.544463098864042205e-01
8.000000000000002942e-02,2.949513636985881537e-01,7.607439812460961903e+00,9.891201145477844514e-02,0.000000000000000000e+00,4.687336223662139090e-01
8.250000000000003164e-02,3.141075939535967199e-01,7.849942412464661068e+00,9.890546515823515905e-02,0.000000000000000000e+00,4.830351744160308325e-01
8.500000000000003386e-02,3.338701893371469054e-01,8.092638810536985972e+00,9.889860985310922059e-02,0.000000000000000000e+00,4.973520816490323293e-01
8.750000000000003608e-02,3.542396372454026943e-01,8.335534200824330497e+00,9.889150487107412069e-02,0.000000000000000000e+00,5.116854824800631807e-01
8.999999999999999667e-02,3.752164380999931104e-01,8.578633811815691956e+00,9.888415208636358589e-02,0.000000000000000000e+00,5.260365342128525690e-01
9.249999999999999889e-02,3.968011312030745863e-01,8.822355524282167849e+00,9.887653168933677184e-02,0.000000000000000000e+00,5.404064106960935199e-01
9.500000000000000111e-02,4.189957174030862763e-01,9.067116797675319972e+00,9.886871673310324016e-02,0.000000000000000000e+00,5.547962999182154409e-01
