Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,2.006110709822371594e-11,0.000000000000000000e+00,-1.612752832131760182e-12
2.500000000000000052e-03,9.988419708241828149e-03,1.255135248113045318e-02,2.148828578651461607e-10,0.000000000000000000e+00,1.390902154944301273e-11
5.000000000000000104e-03,1.005026261407449169e-02,9.915538694013779908e-02,4.294824361631031988e-10,0.000000000000000000e+00,2.912645513940763348e-11
7.499999999999999722e-03,1.037065086834279559e-02,2.597953024101408159e-01,-1.742903247213774198e-10,0.000000000000000000e+00,1.359398180800241629e-11
1.000000000000000021e-02,1.113917322770338267e-02,4.770118994355549980e-01,2.007687581815968428e-10,0.000000000000000000e+00,2.075645554809034576e-11
1.250000000000000069e-02,1.246164719925843545e-02,7.144415985133535374e-01,3.939891030792198696e-10,0.000000000000000000e+00,1.057178102133005347e-11
1.500000000000000118e-02,1.438873295548464409e-02,9.698514590171147809e-01,1.881892165357386723e-09,0.000000000000000000e+00,1.239894903728213327e-11
1.750000000000000167e-02,1.696126940776727238e-02,1.232319453032124867e+00,4.139489278267155713e-09,0.000000000000000000e+00,-5.238770486464946982e-11
2.000000000000000042e-02,2.019244989907096471e-02,1.499134817519456986e+00,9.243356698476970241e-09,0.000000000000000000e+00,-3.504397932289332565e-10
2.249999999999999917e-02,2.409313007674349083e-02,1.770274980275449606e+00,8.092574968946908831e-09,0.000000000000000000e+00,-1.150495815292519579e-09
2.499999999999999792e-02,2.867410917449986218e-02,2.045717379660766611e+00,3.153988513260740147e-09,0.000000000000000000e+00,-2.479285353333418541e-09
2.749999999999999667e-02,3.394613001238404315e-02,2.325439416238278323e+00,-1.353930914260604074e-08,0.000000000000000000e+00,-4.393517770491618393e-09
2.999999999999999542e-02,3.992060019147564837e-02,2.606628156216869829e+00,-1.349159934402317156e-08,0.000000000000000000e+00,-6.487300443791364574e-09
3.249999999999999417e-02,4.659547613309663466e-02,2.883445727699749384e+00,-1.745450675997084889e-08,0.000000000000000000e+00,-8.847532520570846034e-09
3.499999999999999639e-02,5.395981611251256249e-02,3.155707058477918991e+00,-1.861550344418003408e-08,0.000000000000000000e+00,-1.145730788003207690e-08
3.749999999999999861e-02,6.200221572682169946e-02,3.423387763556972718e+00,7.160743026577843668e-10,0.000000000000000000e+00,-1.426380404743683276e-08
4.000000000000000083e-02,7.071120961038535047e-02,3.686463455141602008e+00,-1.757958505497144291e-10,0.000000000000000000e+00,-1.759905651887227864e-08
4.250000000000000305e-02,8.007527142442175117e-02,3.944909739330385801e+00,-1.495190164698790094e-08,0.000000000000000000e+00,-2.156350982474982591e-08
4.500000000000000527e-02,9.008281384159894101e-02,4.198702215697321272e+00,-5.439075702485716694e-09,0.000000000000000000e+00,-2.596205477156470897e-08
4.750000000000000749e-02,1.007221885297256703e-01,4.447816479549754121e+00,7.888168418736064363e-09,0.000000000000000000e+00,-3.101685400711729908e-08
