Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,-8.804157361281030472e-11,0.000000000000000000e+00,-2.611131324333642160e-12
2.500000000000000052e-03,9.988421371303247628e-03,1.254996119517516606e-02,-2.062259737134073381e-10,0.000000000000000000e+00,1.498153895357990945e-11
5.000000000000000104e-03,1.005026004827337324e-02,9.914232255032184860e-02,1.179439490916885575e-10,0.000000000000000000e+00,1.388060546099819508e-10
7.499999999999999722e-03,1.037060473172361080e-02,2.597472456932279905e-01,3.055761108818933721e-10,0.000000000000000000e+00,4.708647848297352940e-10
1.000000000000000021e-02,1.113897898734432339e-02,4.768939688798506937e-01,2.342892109242875850e-09,0.000000000000000000e+00,1.163991491568554315e-09
1.250000000000000069e-02,1.246110703762373303e-02,7.142087585651346604e-01,3.168950276571124921e-09,0.000000000000000000e+00,2.257424145227284008e-09
1.500000000000000118e-02,1.438753115513544643e-02,9.694498515091770630e-01,8.031986176170965677e-09,0.000000000000000000e+00,3.877009734377374321e-09
1.750000000000000167e-02,1.695895102816032812e-02,1.231687688994861141e+00,3.954820784680717258e-09,0.000000000000000000e+00,5.957998948966461790e-09
2.000000000000000042e-02,2.018840266278927598e-02,1.498205188300077761e+00,-1.063844794928552975e-09,0.000000000000000000e+00,8.820005684324746137e-09
2.249999999999999917e-02,2.408656922764880470e-02,1.768974602026386567e+00,-7.727938437579382673e-09,0.000000000000000000e+00,1.281838294362365824e-08
2.499999999999999792e-02,2.866406516836967136e-02,2.043969280379615228e+00,-2.205270357976804448e-09,0.000000000000000000e+00,1.843104808343899232e-08
2.749999999999999667e-02,3.393143889116380374e-02,2.323163563779835794e+00,1.276084885831613958e-08,0.000000000000000000e+00,2.567893189185485605e-08
2.999999999999999542e-02,3.989989646570305665e-02,2.603742533841556295e+00,3.120041503379677149e-08,0.000000000000000000e+00,3.457029495975069099e-08
3.249999999999999417e-02,4.656718860383231295e-02,2.879867492256519501e+00,2.329591648480426248e-08,0.000000000000000000e+00,4.503072536990969371e-08
3.499999999999999639e-02,5.392216622535958570e-02,3.151353354966472953e+00,1.726879602576769365e-08,0.000000000000000000e+00,5.729896149349376298e-08
3.749999999999999861e-02,6.195321806494642064e-02,3.418176630318554121e+00,1.606495228504696171e-08,0.000000000000000000e+00,7.190519159055336830e-08
4.000000000000000083e-02,7.064867462991153424e-02,3.680314700305550968e+00,-2.081489091915667058e-08,0.000000000000000000e+00,8.890793330431441330e-08
4.250000000000000305e-02,7.999681036530668921e-02,3.937745787635390293e+00,-1.639769897697486748e-08,0.000000000000000000e+00,1.093660827918088685e-07
4.500000000000000527e-02,8.998584573777815288e-02,4.190448927410140634e+00,1.698439258747151698e-08,0.000000000000000000e+00,1.335912345192068942e-07
4.750000000000000749e-02,1.006039492527305568e-01,4.438403943504744653e+00,2.483080784246625232e-08,0.000000000000000000e+00,1.613861217070042155e-07
5.000000000000000971e-02,1.118392394141817653e-01,4.681591429435088436e+00,4.825994498792282791e-08,0.000000000000000000e+00,1.929728952798962205e-07
5.250000000000001193e-02,1.236798001333504760e-01,4.920347138333329262e+00,7.676575013445102900e-08,0.000000000000000000e+00,2.282259403570510050e-07
5.500000000000001416e-02,1.361155149297911815e-01,5.158060077085363737e+00,3.098698485484615088e-08,0.000000000000000000e+00,2.669038793529330363e-07
5.750000000000001638e-02,1.491457767257479139e-01,5.396261666411559688e+00,5.972983810708452650e-08,0.000000000000000000e+00,3.096479627517549116e-07
6.000000000000001860e-02,1.627718327586661351e-01,5.634995639535354428e+00,7.909754161308682851e-08,0.000000000000000000e+00,3.561466175760472350e-07
6.250000000000001388e-02,1.769950377993613766e-01,5.874302014282486439e+00,1.033215984917045197e-07,0.000000000000000000e+00,4.062883363720072548e-07
6.500000000000001610e-02,1.918168441966009163e-01,6.114215996322555746e+00,1.287397585253848602e-07,0.000000000000000000e+00,4.598810917310420021e-07
6.750000000000001832e-02,2.072387892791089092e-01,6.354767049247065813e+00,1.304223473157616434e-07,0.000000000000000000e+00,5.166607420338017634e-07
7.000000000000002054e-02,2.232624805196126438e-01,6.595978110336224276e+00,1.222115277541377463e-07,0.000000000000000000e+00,5.765175727075921704e-07
7.250000000000002276e-02,2.398895788142021701e-01,6.837864931667192891e+00,1.463373776954599084e-07,0.000000000000000000e+00,6.395739182489745622e-07
7.500000000000002498e-02,2.571217801785646295e-01,7.080435527055251477e+00,1.586044446317356525e-07,0.000000000000000000e+00,7.055827355791013026e-07
7.750000000000002720e-02,2.749607961151941948e-01,7.323689705627293378e+00,1.673943458388725565e-07,0.000000000000000000e+00,7.743529956617641908e-07
8.000000000000002942e-02,2.934083328578316885e-01,7.567618674440295123e+00,1.768505556848576107e-07,0.000000000000000000e+00,8.457648838916968911e-07
8.250000000000003164e-02,3.124660696570002449e-01,7.812216435159470507e+00,1.705509540299970050e-07,0.000000000000000000e+00,9.196359865784233867e-07
8.500000000000003386e-02,3.321357336737729149e-01,8.057643016831812943e+00,1.870641187497144116e-07,0.000000000000000000e+00,9.958928886888977195e-07
8.750000000000003608e-02,3.524194133103865090e-01,8.303785106213853240e+00,1.830599218371519678e-07,0.000000000000000000e+00,1.074340282991387307e-06
8.999999999999999667e-02,3.733188001821574620e-01,8.550485341713661924e+00,1.840733568340646388e-07,0.000000000000000000e+00,1.154912416183299080e-06
9.249999999999999889e-02,3.948352367658817808e-01,8.798006189196275528e+00,1.904007162827350326e-07,0.000000000000000000e+00,1.237561651544934338e-06
9.500000000000000111e-02,4.169710227852425066e-01,9.046520571589717008e+00,1.895029258727046023e-07,0.000000000000000000e+00,1.322228204907132316e-06
9.750000000000000333e-02,4.397287858993422782e-01,9.296227577561067434e+00,1.928762592443256206e-07,0.000000000000000000e+00,1.408877273096985280e-06
1.000000000000000056e-01,4.631114784856895095e-01,9.547112859847844746e+00,1.903678053904397660e-07,0.000000000000000000e+00,1.497631190343667657e-06
1.025000000000000078e-01,4.871220644104817254e-01,9.799145304848725146e+00,1.858724762729216567e-07,0.000000000000000000e+00,1.588639301280962386e-06
1.050000000000000100e-01,5.117633429433867676e-01,1.005223843737152656e+01,1.847145793363503560e-07,0.000000000000000000e+00,1.681818489659324708e-06
1.075000000000000122e-01,5.370379495317514351e-01,1.030640847316154129e+01,1.778301784385546523e-07,0.000000000000000000e+00,1.777026218815953313e-06
1.100000000000000006e-01,5.629486229628105631e-01,1.056172415137157472e+01,1.872931408662129627e-07,0.000000000000000000e+00,1.874255475935282292e-06
1.125000000000000028e-01,5.894981865034351065e-01,1.081736438493206265e+01,1.855053321047729255e-07,0.000000000000000000e+00,1.973422577831019448e-06
1.150000000000000050e-01,6.166865667364074266e-01,1.107253746660061999e+01,1.874783256870119799e-07,0.000000000000000000e+00,2.074489036166808144e-06
1.175000000000000072e-01,6.445126372681672100e-01,1.132731761960498496e+01,1.857359323880235245e-07,0.000000000000000000e+00,2.177362187587023746e-06
1.200000000000000094e-01,6.729754587440776037e-01,1.158178209517299706e+01,1.592007458796485320e-07,0.000000000000000000e+00,2.281966160991953494e-06
1.225000000000000117e-01,7.020742868375557943e-01,1.183601169336522752e+01,1.662971069587521568e-07,0.000000000000000000e+00,2.388308809271971848e-06
1.250000000000000000e-01,7.318085812881244268e-01,1.209009093835882531e+01,1.517163669964818102e-07,0.000000000000000000e+00,2.496243342460425316e-06
1.275000000000000022e-01,7.621780152429317168e-01,1.234410806811879446e+01,1.123449592122970172e-07,0.000000000000000000e+00,2.605712795209131408e-06
1.300000000000000044e-01,7.931824844975963185e-01,1.259815491894959649e+01,7.340838123882595250e-08,0.000000000000000000e+00,2.716637082307175236e-06
1.325000000000000067e-01,8.248219826707525737e-01,1.285255992648703049e+01,1.177892037458015701e-07,0.000000000000000000e+00,2.829089288690609515e-06
1.350000000000000089e-01,8.570982048229578432e-01,1.310836611960890785e+01,1.459606691999378751e-07,0.000000000000000000e+00,2.942675404521655763e-06
1.375000000000000111e-01,8.900148269071893603e-01,1.336577742022245552e+01,1.070971630730677935e-07,0.000000000000000000e+00,3.057063435809651212e-06
1.400000000000000133e-01,9.235759185127094817e-01,1.362489549572687508e+01,1.138934819592850330e-07,0.000000000000000000e+00,3.172121405772003318e-06
1.425000000000000155e-01,9.577858047773293304e-01,1.388582435883781052e+01,-1.574821627123101987e-09,0.000000000000000000e+00,3.287654799624211957e-06
1.450000000000000178e-01,9.926490720846375959e-01,1.414867006842216846e+01,-1.393979637726640236e-07,0.000000000000000000e+00,3.403735443203847846e-06
1.475000000000000200e-01,1.028170573005687816e+00,1.441354041744353864e+01,-1.498772848972966075e-07,0.000000000000000000e+00,3.520524299852488004e-06
1.500000000000000222e-01,1.064355430453791662e+00,1.468054460957108098e+01,-1.754878723766906941e-07,0.000000000000000000e+00,3.637543558653321742e-06
1.525000000000000244e-01,1.101209050075051987e+00,1.494997577699862390e+01,-2.409490754663973345e-07,0.000000000000000000e+00,3.754659533027479316e-06
1.550000000000000266e-01,1.138737765530533075e+00,1.522216035635437592e+01,-3.994601437332866869e-07,0.000000000000000000e+00,3.871474321716931686e-06
1.575000000000000289e-01,1.176948550846666830e+00,1.549725914886494671e+01,-2.661422769172713781e-07,0.000000000000000000e+00,3.987834662768953363e-06
1.600000000000000311e-01,1.215848782327265010e+00,1.577543322674877224e+01,-6.335438048764849467e-07,0.000000000000000000e+00,4.102980729272738059e-06
1.625000000000000333e-01,1.255446238876355869e+00,1.605684329627444384e+01,-5.987969656039589400e-07,0.000000000000000000e+00,4.217176127002946352e-06
1.650000000000000355e-01,1.295749100717812796e+00,1.634164904107896632e+01,-7.131861618364655689e-07,0.000000000000000000e+00,4.329561329078053903e-06
1.675000000000000377e-01,1.336765946462423305e+00,1.663000844617203811e+01,-8.046556924517882067e-07,0.000000000000000000e+00,4.439670636497978109e-06
1.700000000000000400e-01,1.378505748474440518e+00,1.692207710255861741e+01,-1.476327592266003377e-06,0.000000000000000000e+00,4.546866256365647210e-06
1.725000000000000422e-01,1.420977866488878361e+00,1.721800749167067934e+01,-1.437423019561567554e-06,0.000000000000000000e+00,4.651588005321521921e-06
1.750000000000000444e-01,1.464192039428290570e+00,1.751794824794798799e+01,-1.513914406195438430e-06,0.000000000000000000e+00,4.752891414916839724e-06
