Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,5.220041928976855259e-15,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416927116963023e-03,1.255360007248347044e-02,-3.586899114311724194e-14,0.000000000000000000e+00,-1.318955947756003092e-15
5.000000000000000104e-03,1.005026649116115209e-02,9.917763108703435415e-02,-3.016821807391693519e-13,0.000000000000000000e+00,8.371005054630831655e-15
7.499999999999999722e-03,1.037072917153987126e-02,2.598798464477806158e-01,2.898112635735126925e-14,0.000000000000000000e+00,7.223295061569974953e-14
1.000000000000000021e-02,1.113951327146651786e-02,4.772253906463188589e-01,-8.147118158633132457e-13,0.000000000000000000e+00,2.079070325137180595e-13
1.250000000000000069e-02,1.246261666535357360e-02,7.148748380527097934e-01,9.163802955221106144e-14,0.000000000000000000e+00,4.952558469309582613e-13
1.500000000000000118e-02,1.439094005363554009e-02,9.706191047209029588e-01,5.008474379593407718e-13,0.000000000000000000e+00,9.618540473104851467e-13
1.750000000000000167e-02,1.696562241068096111e-02,1.233559821250853394e+00,2.873809877213218440e-12,0.000000000000000000e+00,1.607134178886903751e-12
2.000000000000000042e-02,2.020021617688281743e-02,1.501009712143212438e+00,1.333512892143220536e-12,0.000000000000000000e+00,2.407730490037776144e-12
2.249999999999999917e-02,2.410599473912030527e-02,1.772969579524204198e+00,8.622718248841254496e-12,0.000000000000000000e+00,3.450928420229017731e-12
2.499999999999999792e-02,2.869423345713423973e-02,2.049440168440475940e+00,1.251708789967388882e-11,0.000000000000000000e+00,4.570041572946782505e-12
2.749999999999999667e-02,3.397620952026137592e-02,2.330422165794054479e+00,1.463520928027355286e-11,0.000000000000000000e+00,5.686658429121863029e-12
2.999999999999999542e-02,3.996392317414845102e-02,2.613125748479928401e+00,2.344307882257379650e-11,0.000000000000000000e+00,6.778285564467230228e-12
3.249999999999999417e-02,4.665598082465651636e-02,2.891735776347371001e+00,2.133240385057743554e-11,0.000000000000000000e+00,7.585469191664370036e-12
3.499999999999999639e-02,5.404214778269648273e-02,3.166090136871075877e+00,1.818381173284126955e-11,0.000000000000000000e+00,8.158333654519354712e-12
3.749999999999999861e-02,6.211178407006220925e-02,3.436187404080558672e+00,2.796296948375179267e-11,0.000000000000000000e+00,8.480872309250416230e-12
4.000000000000000083e-02,7.085424614335403271e-02,3.702026150591564591e+00,2.830238204296409742e-11,0.000000000000000000e+00,8.305416219887879429e-12
4.250000000000000305e-02,8.025888689341538484e-02,3.963604952993977193e+00,4.454680702094404749e-11,0.000000000000000000e+00,7.632601293542804737e-12
4.500000000000000527e-02,9.031505565787387169e-02,4.220922396584903424e+00,5.856548913636396618e-11,0.000000000000000000e+00,6.193525701747034238e-12
4.750000000000000749e-02,1.010120982451652716e-01,4.473977079473648644e+00,3.128210941109579784e-11,0.000000000000000000e+00,3.660591425968386028e-12
5.000000000000000971e-02,1.123393569684900534e-01,4.722767616092768073e+00,2.560050847600216593e-11,0.000000000000000000e+00,3.951349713458053930e-13
5.250000000000001193e-02,1.242861706788413040e-01,4.967378123710363802e+00,7.554610885412939672e-12,0.000000000000000000e+00,-3.638102254715451027e-12
5.500000000000001416e-02,1.368427645926695857e-01,5.210905420396807486e+00,1.821377384851453230e-11,0.000000000000000000e+00,-8.205730481786354419e-12
5.750000000000001638e-02,1.500084055066638333e-01,5.454835748987360233e+00,1.295065710224965582e-11,0.000000000000000000e+00,-1.349527712845167302e-11
6.000000000000001860e-02,1.637841007533610005e-01,5.699168674931602396e+00,-5.168771090520421147e-12,0.000000000000000000e+00,-1.940249727678618366e-11
6.250000000000001388e-02,1.781708565845884773e-01,5.943903773991080719e+00,-2.230177698846567540e-11,0.000000000000000000e+00,-2.582693744552173217e-11
6.500000000000001610e-02,1.931696782000542345e-01,6.189040637283850010e+00,-3.180508421415394928e-11,0.000000000000000000e+00,-3.253774331338912439e-11
