Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416924817236642e-03,1.255359836704561700e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026648357235097e-02,9.917763323309357337e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037072917175081710e-02,2.598798490339382927e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951323551844522e-02,4.772252926979450027e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246261614297682584e-02,7.148743158913127838e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439093759318674573e-02,9.706175210445253665e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696561475100723249e-02,1.233556196295533258e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020019745170701514e-02,1.501002779604454496e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410595579279056766e-02,1.772957846422698047e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869416131485832966e-02,2.049421977303849562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.397608701238032103e-02,2.330395756567827270e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,3.996372871008970623e-02,2.613089316475843749e+00,-3.263253361352212028e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.665568834050882324e-02,2.891687565872109733e+00,-4.911485774646641228e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.404172690463039663e-02,3.166028512504617254e+00,1.439839213226444783e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,6.211120042945074415e-02,3.436110886986364577e+00,7.423604746362044856e-05,0.000000000000000000e+00,4.535870616674246043e-06
4.000000000000000083e-02,7.085346178098592129e-02,3.701933443582809069e+00,1.846994514506556957e-04,0.000000000000000000e+00,1.947751169398530624e-05
4.250000000000000305e-02,8.025786072238541569e-02,3.963494957608706404e+00,3.501162410029447941e-04,0.000000000000000000e+00,5.223193462317709802e-05
4.500000000000000527e-02,9.031374396572436347e-02,4.220794223946685797e+00,5.792647675984473853e-04,0.000000000000000000e+00,1.108145927436288380e-04
4.750000000000000749e-02,1.010104552199038996e-01,4.473830054796989586e+00,8.763211249990245869e-04,0.000000000000000000e+00,2.044868609276735867e-04
5.000000000000000971e-02,1.123373352335532982e-01,4.722601279508260141e+00,1.277597035463086568e-03,0.000000000000000000e+00,3.432162021529718541e-04
5.250000000000001193e-02,1.242837218404586330e-01,4.967192385712355218e+00,1.822866473116544882e-03,0.000000000000000000e+00,5.441239481951666785e-04
5.500000000000001416e-02,1.368398403833247789e-01,5.210700700660088280e+00,2.522459693192141174e-03,0.000000000000000000e+00,8.281915349595191057e-04
5.750000000000001638e-02,1.500049589367508929e-01,5.454612871951802333e+00,3.387291768275778239e-03,0.000000000000000000e+00,1.217879578638036845e-03
6.000000000000001860e-02,1.637800871292747762e-01,5.698928877888643996e+00,4.355644597707865502e-03,0.000000000000000000e+00,1.735102717000530214e-03
6.250000000000001388e-02,1.781662345431091754e-01,5.943648710890683695e+00,5.398939714802954842e-03,0.000000000000000000e+00,2.393360863521275510e-03
6.500000000000001610e-02,1.931644107485622763e-01,6.188772375861939956e+00,6.516698322237501027e-03,0.000000000000000000e+00,3.203497684297640282e-03
6.750000000000001832e-02,2.087756253343216184e-01,6.434299889879424583e+00,7.712283904639379364e-03,0.000000000000000000e+00,4.176288773511767881e-03
7.000000000000002054e-02,2.250008879640388315e-01,6.680231357713525497e+00,8.989075662160814911e-03,0.000000000000000000e+00,5.322992020719454279e-03
7.250000000000002276e-02,2.418412086550893458e-01,6.926566981012331148e+00,1.035046856404784298e-02,0.000000000000000000e+00,6.655349863514136571e-03
7.500000000000002498e-02,2.592975979011634680e-01,7.173306943186559259e+00,1.179987337996516762e-02,0.000000000000000000e+00,8.185591547103916732e-03
7.750000000000002720e-02,2.773710666323935814e-01,7.420451388951795124e+00,1.334071670248830263e-02,0.000000000000000000e+00,9.926435388316105779e-03
8.000000000000002942e-02,2.960626261213913368e-01,7.668000428909454769e+00,1.497644096680993131e-02,0.000000000000000000e+00,1.189109104268934979e-02
8.250000000000003164e-02,3.153732879003185996e-01,7.915954143742067295e+00,1.671050447321955831e-02,0.000000000000000000e+00,1.409326177462125532e-02
8.500000000000003386e-02,3.353040636881000069e-01,8.164312587786623610e+00,1.854638140399326313e-02,0.000000000000000000e+00,1.654714673027968264e-02
8.750000000000003608e-02,3.558559653262806100e-01,8.413075792091124327e+00,2.048756184309122319e-02,0.000000000000000000e+00,1.926744321337924004e-02
