Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,-1.766291925706523549e-15,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416924722031548e-03,1.255359821776384777e-02,-5.424688046464090573e-14,0.000000000000000000e+00,-2.675703309194272330e-15
5.000000000000000104e-03,1.005026648422297116e-02,9.917763193721619575e-02,-3.458625642420790666e-14,0.000000000000000000e+00,-1.339419967887380192e-15
7.499999999999999722e-03,1.037072916887711409e-02,2.598798561783755012e-01,-7.383992839728281384e-14,0.000000000000000000e+00,2.246073257639966758e-14
1.000000000000000021e-02,1.113951329883904919e-02,4.772254162008052747e-01,2.128165283064973417e-13,0.000000000000000000e+00,8.932022774294048682e-14
1.250000000000000069e-02,1.246261676516086797e-02,7.148748852375111928e-01,3.329986349831434631e-14,0.000000000000000000e+00,2.077038462835900077e-13
1.500000000000000118e-02,1.439094028254364957e-02,9.706191795438213754e-01,9.215431961522532186e-13,0.000000000000000000e+00,4.293363316288702470e-13
1.750000000000000167e-02,1.696562284457446557e-02,1.233559937147198582e+00,2.292067797033356203e-12,0.000000000000000000e+00,7.489452511275178962e-13
2.000000000000000042e-02,2.020021693492596998e-02,1.501009900246783380e+00,1.462398093242485333e-12,0.000000000000000000e+00,1.136180780798788282e-12
2.249999999999999917e-02,2.410599603682252526e-02,1.772969904190186963e+00,2.135024720969110733e-12,0.000000000000000000e+00,1.638930261228944209e-12
2.499999999999999792e-02,2.869423570170883189e-02,2.049440747001012753e+00,5.401665926201402306e-12,0.000000000000000000e+00,2.324187794825360397e-12
2.749999999999999667e-02,3.397621345419275102e-02,2.330423188490075237e+00,5.322647992449914816e-12,0.000000000000000000e+00,3.136866218483150828e-12
2.999999999999999542e-02,3.996393007038277073e-02,2.613127500171575246e+00,2.909047071056130407e-12,0.000000000000000000e+00,4.077774586926707819e-12
3.249999999999999417e-02,4.665599273175666944e-02,2.891738651532435256e+00,1.213587827158154445e-11,0.000000000000000000e+00,5.233844183667822306e-12
3.499999999999999639e-02,5.404216780365700412e-02,3.166094649365418956e+00,3.138774257239602329e-11,0.000000000000000000e+00,6.475566483637640915e-12
3.749999999999999861e-02,6.211181666533666795e-02,3.436194194152604631e+00,4.937450459952841892e-11,0.000000000000000000e+00,7.318741122275732166e-12
4.000000000000000083e-02,7.085429744884974568e-02,3.702035988014744206e+00,7.689380327537422617e-11,0.000000000000000000e+00,7.281468660588500823e-12
4.250000000000000305e-02,8.025896504371386742e-02,3.963618735807147520e+00,7.663384721080575343e-11,0.000000000000000000e+00,5.661272217583938715e-12
4.500000000000000527e-02,9.031517110397788151e-02,4.220941145597455701e+00,8.398324573416515713e-11,0.000000000000000000e+00,2.022117080343565147e-12
4.750000000000000749e-02,1.010122640561995633e-01,4.474001928624468327e+00,8.001427237898134172e-11,0.000000000000000000e+00,-4.008297630017810516e-12
5.000000000000000971e-02,1.123395890975786571e-01,4.722799767196291576e+00,1.288707430518804182e-10,0.000000000000000000e+00,-1.323734513321682522e-11
5.250000000000001193e-02,1.242864881020693396e-01,4.967418864495321884e+00,7.725975029613050202e-11,0.000000000000000000e+00,-2.714762254272846249e-11
5.500000000000001416e-02,1.368431895789151975e-01,5.210956153265562385e+00,2.310387592748589460e-11,0.000000000000000000e+00,-4.555249372840095757e-11
5.750000000000001638e-02,1.500089638850412854e-01,5.454897965844718755e+00,4.240483444112614948e-11,0.000000000000000000e+00,-6.850540819506368012e-11
6.000000000000001860e-02,1.637848221264938675e-01,5.699243944376232385e+00,-4.356189289795785903e-11,0.000000000000000000e+00,-9.683910945927525357e-11
6.250000000000001388e-02,1.781717745090370397e-01,5.943993720888035348e+00,-7.925159170718603680e-12,0.000000000000000000e+00,-1.298588453026822174e-10
6.500000000000001610e-02,1.931708303131101923e-01,6.189146917731201292e+00,5.380121129121861413e-11,0.000000000000000000e+00,-1.687361152818054583e-10
6.750000000000001832e-02,2.087829978698618194e-01,6.434703147981030824e+00,1.941072741719661373e-11,0.000000000000000000e+00,-2.151066795773251217e-10
7.000000000000002054e-02,2.250092845381609641e-01,6.680662015794008646e+00,7.501669692310544809e-11,0.000000000000000000e+00,-2.691818141824400817e-10
7.250000000000002276e-02,2.418506966824764126e-01,6.927023116726894081e+00,1.179434378683120090e-10,0.000000000000000000e+00,-3.330014522640044362e-10
7.500000000000002498e-02,2.593082396515386523e-01,7.173786038019872358e+00,-8.519957883226777575e-11,0.000000000000000000e+00,-4.079991666198870151e-10
7.750000000000002720e-02,2.773829177576822569e-01,7.420950358837482774e+00,-2.555621989270590362e-10,0.000000000000000000e+00,-4.925585059928478928e-10
