Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416924817770937e-03,1.255359836806627452e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026648375443102e-02,9.917763353151735906e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037072917816561461e-02,2.598798029199055337e-01,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951303978518576e-02,4.772249686119510725e-01,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246261484140774936e-02,7.148736407446205643e-01,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439093438659092353e-02,9.706166475700021001e-01,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696560935473061943e-02,1.233555494752557324e+00,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020019064096733805e-02,1.501002851760940171e+00,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410594996915927171e-02,1.772959513011260091e+00,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869416104217010696e-02,2.049426260694763080e+00,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999667e-02,3.397609951086200120e-02,2.330403863979815249e+00,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999542e-02,3.996376431097383580e-02,2.613102625852397942e+00,1.021935272401233743e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999417e-02,4.665576089693518336e-02,2.891707600464090699e+00,1.021935272222010888e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999639e-02,5.404185414374083896e-02,3.166056918026506573e+00,1.021935275829826390e-06,0.000000000000000000e+00,1.463814454388982663e-07
3.749999999999999861e-02,6.211140425466286225e-02,3.436149420544536426e+00,1.021935260391325108e-06,0.000000000000000000e+00,2.927628924321826706e-07
4.000000000000000083e-02,7.085376854610780928e-02,3.701983964462493226e+00,1.021935320303607440e-06,0.000000000000000000e+00,4.391443442976263956e-07
4.250000000000000305e-02,8.025830148380570794e-02,3.963559421716027042e+00,1.021935196293746468e-06,0.000000000000000000e+00,5.855257911001189844e-07
4.500000000000000527e-02,9.031435472124144104e-02,4.220874677306754030e+00,1.021934977638489248e-06,0.000000000000000000e+00,7.319072526458462952e-07
4.750000000000000749e-02,1.010112771306343887e-01,4.473928630420743957e+00,1.021935217822400453e-06,0.000000000000000000e+00,8.782887482768075842e-07
