Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416924814454145e-03,1.255359836358065431e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026648340861042e-02,9.917763317619603114e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037072917207697981e-02,2.598798579267376785e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951329073072788e-02,4.772253843312680432e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246261659313159693e-02,7.148747157538685171e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439093947573838808e-02,9.706186769675615444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696562037826880587e-02,1.233558810386988558e+00,-1.058484928663456924e-15,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020021101523017046e-02,1.501007785737585865e+00,2.847168434774833422e-15,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410598393169522194e-02,1.772966387575385161e+00,3.981180819830856771e-17,0.000000000000000000e+00,8.871038539028323880e-16
2.499999999999999792e-02,2.869421362489108993e-02,2.049435382760498303e+00,5.590337497124566989e-15,0.000000000000000000e+00,3.403496832924608291e-16
2.749999999999999667e-02,3.397617650015002932e-02,2.330415520409526042e+00,2.107630520531050707e-14,0.000000000000000000e+00,2.293655932525802677e-15
2.999999999999999542e-02,3.996387219807632368e-02,2.613117082450143958e+00,-4.610975330440110753e-14,0.000000000000000000e+00,7.479247106245416449e-15
3.249999999999999417e-02,4.665590681442603749e-02,2.891725085716319477e+00,3.449612640485402659e-14,0.000000000000000000e+00,1.926638821433265897e-14
3.499999999999999639e-02,5.404204576638232949e-02,3.166077615973545090e+00,7.315491746518740177e-14,0.000000000000000000e+00,3.713349559125182643e-14
3.749999999999999861e-02,6.211164969160304361e-02,3.436173470101336225e+00,7.635172278508201992e-13,0.000000000000000000e+00,6.237330746562131976e-14
4.000000000000000083e-02,7.085407622806111361e-02,3.702011460661208453e+00,4.379995561546274971e-13,0.000000000000000000e+00,5.764915673076960439e-14
4.250000000000000305e-02,8.025868005483234591e-02,3.963590416358412583e+00,-1.884677788643187778e-12,0.000000000000000000e+00,3.965381109811941116e-14
4.500000000000000527e-02,9.031481293051987769e-02,4.220909179483465223e+00,-4.074234874995263588e-12,0.000000000000000000e+00,9.052036207512901737e-14
4.750000000000000749e-02,1.010118237273787134e-01,4.473966606407940638e+00,-4.146278825548182959e-12,0.000000000000000000e+00,3.183608124154040035e-13
5.000000000000000971e-02,1.123390584635138162e-01,4.722761560198045494e+00,-4.528839908382914354e-12,0.000000000000000000e+00,8.129567585204345279e-13
5.250000000000001193e-02,1.242858602377693300e-01,4.967377338810795351e+00,-5.004146036478760688e-12,0.000000000000000000e+00,1.642291064778924664e-12
5.500000000000001416e-02,1.368424552492988056e-01,5.210909602692640696e+00,-7.586603852717293771e-12,0.000000000000000000e+00,2.916431439210155068e-12
5.750000000000001638e-02,1.500081094082561795e-01,5.454844366343638562e+00,-3.263437706410171495e-12,0.000000000000000000e+00,4.827032373634051410e-12
6.000000000000001860e-02,1.637838285802915295e-01,5.699180955002892013e+00,7.460881630673968006e-12,0.000000000000000000e+00,7.291343821228532294e-12
6.250000000000001388e-02,1.781706169481328261e-01,5.943918704742778836e+00,8.955278813009289920e-12,0.000000000000000000e+00,1.009659849603364993e-11
6.500000000000001610e-02,1.931694770513835424e-01,6.189056986721257481e+00,4.102585095736569142e-12,0.000000000000000000e+00,1.316369587439795285e-11
6.750000000000001832e-02,2.087814100672760742e-01,6.434595087791909584e+00,-1.044646227784127412e-12,0.000000000000000000e+00,1.688137472169932508e-11
7.000000000000002054e-02,2.250074146987107448e-01,6.680532470738210549e+00,5.892807120430855605e-12,0.000000000000000000e+00,2.145308235233762357e-11
7.250000000000002276e-02,2.418484893364314381e-01,6.926869048350141611e+00,5.885292561925664956e-12,0.000000000000000000e+00,2.676569228096334590e-11
7.500000000000002498e-02,2.593056318744815236e-01,7.173604717378101903e+00,1.795318073586176846e-12,0.000000000000000000e+00,3.284812020887943703e-11
7.750000000000002720e-02,2.773798400856186674e-01,7.420739634878598778e+00,1.965905155304431366e-04,0.000000000000000000e+00,2.704757637914384228e-07
8.000000000000002942e-02,2.960721123055458648e-01,7.668274280168396295e+00,1.013800509976329426e-03,0.000000000000000000e+00,4.935393436988339254e-05
8.250000000000003164e-02,3.153834482739825695e-01,7.916209519754079160e+00,2.470275713220041261e-03,0.000000000000000000e+00,2.364347872118265071e-04
8.500000000000003386e-02,3.353148501387558933e-01,8.164546672760286228e+00,4.440983682061536500e-03,0.000000000000000000e+00,6.562594249516735334e-04
8.750000000000003608e-02,3.558673236198002798e-01,8.413287583245049106e+00,6.475601252354256515e-03,0.000000000000000000e+00,1.359875518223196749e-03
8.999999999999999667e-02,3.770418792963254884e-01,8.662434935340641573e+00,8.572810831500458917e-03,0.000000000000000000e+00,2.356847807125792005e-03
9.249999999999999889e-02,3.988395616530214793e-01,8.912407531866499255e+00,1.074556561902683706e-02,0.000000000000000000e+00,3.656567288230642802e-03
9.500000000000000111e-02,4.212628806860904684e-01,9.163623182169764902e+00,1.300695831243523816e-02,0.000000000000000000e+00,5.270281171858561160e-03
9.750000000000000333e-02,4.443149452788734410e-01,9.416083145844778457e+00,1.537011969997070446e-02,0.000000000000000000e+00,7.211113295800623477e-03
1.000000000000000056e-01,4.679988660989933269e-01,9.669786319455029755e+00,1.785533051792847700e-02,0.000000000000000000e+00,9.494117597449848109e-03
1.025000000000000078e-01,4.923177493003439431e-01,9.924724837769526076e+00,2.047750982314682638e-02,0.000000000000000000e+00,1.213756211626701789e-02
1.050000000000000100e-01,5.172746765382734146e-01,1.018089235237991730e+01,2.324181321006142317e-02,0.000000000000000000e+00,1.516123413299439414e-02
1.075000000000000122e-01,5.428727200401017861e-01,1.043828842473905638e+01,2.615344413538717161e-02,0.000000000000000000e+00,1.858566098120503080e-02
1.100000000000000006e-01,5.691149509618886881e-01,1.069691265854460660e+01,2.921763820036613057e-02,0.000000000000000000e+00,2.243212185807291065e-02
1.125000000000000028e-01,5.960043848926942500e-01,1.095589090784798714e+01,3.243897034343534713e-02,0.000000000000000000e+00,2.672260876785247097e-02
1.150000000000000050e-01,6.235409691430723322e-01,1.121434884550991562e+01,3.582172303288741477e-02,0.000000000000000000e+00,3.147976932441778897e-02
1.175000000000000072e-01,6.517234025729370384e-01,1.147228585363805564e+01,3.937015516469953569e-02,0.000000000000000000e+00,3.672686378692271991e-02
1.200000000000000094e-01,6.805503825156589137e-01,1.172970134508604900e+01,4.308850222658758278e-02,0.000000000000000000e+00,4.248776170294735199e-02
1.225000000000000117e-01,7.100206047795475373e-01,1.198659455888195424e+01,4.698097573212448030e-02,0.000000000000000000e+00,4.878693852070912357e-02
1.250000000000000000e-01,7.401327630116500966e-01,1.224296453667654205e+01,5.105176363248855459e-02,0.000000000000000000e+00,5.564947218578335242e-02
1.275000000000000022e-01,7.708855488474999351e-01,1.249881070472005007e+01,5.530502968688850995e-02,0.000000000000000000e+00,6.310103971337639728e-02
1.300000000000000044e-01,8.022776524471937343e-01,1.275413250636518292e+01,5.974487775177626803e-02,0.000000000000000000e+00,7.116791264129480876e-02
1.325000000000000067e-01,8.343076260161128577e-01,1.300916761635835428e+01,6.437579904810679376e-02,0.000000000000000000e+00,7.987696040924829877e-02
1.350000000000000089e-01,8.669755132645160511e-01,1.326488152133517850e+01,6.920277079654343910e-02,0.000000000000000000e+00,8.925572091700798016e-02
1.375000000000000111e-01,9.002831312047497869e-01,1.352138103772977828e+01,7.423083839244298821e-02,0.000000000000000000e+00,9.933244062835107357e-02
1.400000000000000133e-01,9.342324437194230446e-01,1.377866591882590264e+01,7.946507565493242387e-02,0.000000000000000000e+00,1.101360896045935622e-01
1.425000000000000155e-01,9.688254140801306757e-01,1.403673592749603571e+01,8.491058467344489435e-02,0.000000000000000000e+00,1.216963655796376859e-01
1.450000000000000178e-01,1.004064004970818713e+00,1.429559083517424689e+01,9.057249617335286218e-02,0.000000000000000000e+00,1.340436980326120409e-01
1.475000000000000200e-01,1.039950178508639578e+00,1.455523042092890762e+01,9.645596918300072820e-02,0.000000000000000000e+00,1.472092522587855612e-01
1.500000000000000222e-01,1.076485896262543873e+00,1.481565447062675744e+01,1.021902224858526748e-01,0.000000000000000000e+00,1.612288352108873501e-01
1.525000000000000244e-01,1.113673119837432779e+00,1.507687200584148179e+01,1.079445027276553365e-01,0.000000000000000000e+00,1.760537737990992835e-01
1.550000000000000266e-01,1.151513843232996770e+00,1.533889324273734012e+01,1.138331747682406747e-01,-2.500000000000002220e-02,1.917071819947934741e-01
1.575000000000000289e-01,1.190010076407288286e+00,1.560171925206731736e+01,1.197657360202042942e-01,-2.500000000000002220e-02,2.082069204690992492e-01
1.600000000000000311e-01,1.229163831718565136e+00,1.586535062222056780e+01,1.258416598465820213e-01,-2.500000000000002220e-02,2.255610581054501296e-01
1.625000000000000333e-01,1.268977122734393337e+00,1.612978748552824015e+01,1.320672797551908917e-01,-2.500000000000002220e-02,2.437903360020998444e-01
1.650000000000000355e-01,1.309451963105575656e+00,1.639502954291238623e+01,1.384488582035968141e-01,-2.500000000000002220e-02,2.629164001402236606e-01
1.675000000000000377e-01,1.350590365500826673e+00,1.666107608700589537e+01,1.449925861167546404e-01,-2.500000000000002220e-02,2.829617912172055494e-01
1.700000000000000400e-01,1.392394340598449798e+00,1.692792602386720446e+01,1.517045798352663621e-01,-2.500000000000002220e-02,3.039499342470653453e-01
1.725000000000000422e-01,1.434865896131561014e+00,1.719557789340198539e+01,1.585908800329341728e-01,-2.500000000000002220e-02,3.259051279147537339e-01
1.750000000000000444e-01,1.478007035983686324e+00,1.746402988859727046e+01,1.656574501429711188e-01,-2.250000000000001998e-01,3.488525336740109228e-01
1.775000000000000466e-01,1.521819759331825006e+00,1.773325501347357402e+01,1.724174847458660176e-01,-2.250000000000001998e-01,3.728020794739064225e-01
1.800000000000000488e-01,1.566305801352883664e+00,1.800235127252940970e+01,1.793563951993119854e-01,-2.250000000000001998e-01,3.977257029085876083e-01
1.825000000000000511e-01,1.611464264844568284e+00,1.827088405702271601e+01,1.864784017005499672e-01,-2.250000000000001998e-01,4.236491630803034814e-01
1.850000000000000533e-01,1.657293739336275218e+00,1.853885020803689798e+01,1.937876089043749084e-01,-2.250000000000001998e-01,4.505988198757857610e-01
1.875000000000000555e-01,1.703792806462169462e+00,1.880624670044722180e+01,2.012880033795456380e-01,-2.250000000000001998e-01,4.786016172841174310e-01
1.900000000000000577e-01,1.750960040437404386e+00,1.907307075796025231e+01,2.089834531540605000e-01,-2.250000000000001998e-01,5.076850665274214025e-01
1.925000000000000600e-01,1.798794008673052502e+00,1.933931984015031702e+01,2.168777065996608522e-01,-2.250000000000001998e-01,5.378772290048309257e-01
1.950000000000000622e-01,1.847293272357506622e+00,1.960499162818718588e+01,2.249743897466272569e-01,-4.250000000000004330e-01,5.692066990611921451e-01
1.975000000000000644e-01,1.896456387002848798e+00,1.987008401168771599e+01,2.326537243135295696e-01,-4.250000000000004330e-01,6.016822733005690038e-01
2.000000000000000666e-01,1.946281902958939103e+00,2.013459507658857461e+01,2.405091022579594062e-01,-4.250000000000004330e-01,6.352640744769921799e-01
2.025000000000000688e-01,1.996768366630976566e+00,2.039855654744130220e+01,2.485235379550412571e-01,-4.250000000000004330e-01,6.699762312699081290e-01
2.050000000000000711e-01,2.047914584551762562e+00,2.066275030016708314e+01,2.566994122124447997e-01,-4.250000000000004330e-01,7.058416136891150217e-01
2.075000000000000733e-01,2.099721628410520236e+00,2.092754555938337191e+01,2.650392016657782679e-01,-4.250000000000004330e-01,7.428834266379835682e-01
2.100000000000000755e-01,2.152191001598041442e+00,2.119294163492039829e+01,2.735453315363130522e-01,-4.250000000000004330e-01,7.811252280912294177e-01
2.125000000000000777e-01,2.205324205736119758e+00,2.145893776062434100e+01,2.822201744005753965e-01,-4.250000000000004330e-01,8.205909216425565367e-01
2.150000000000000799e-01,2.259122740489516001e+00,2.172553309773757491e+01,2.910660487017481257e-01,-5.750000000000006217e-01,8.613047489432186232e-01
2.175000000000000822e-01,2.313588103386293060e+00,2.199272673813372947e+01,2.995174070810427969e-01,-5.750000000000006217e-01,9.032727591030680347e-01
2.200000000000000844e-01,2.368721789646157649e+00,2.226051770741879565e+01,3.081348102121042043e-01,-5.750000000000006217e-01,9.464567295111693257e-01
2.225000000000000866e-01,2.424525292016487921e+00,2.252890496790896790e+01,3.169203155478169109e-01,-5.750000000000006217e-01,9.908805110581083708e-01
2.250000000000000888e-01,2.481000100615738280e+00,2.279788742149536418e+01,3.258759280891762034e-01,-5.750000000000006217e-01,1.036568247605016202e+00
2.275000000000000910e-01,2.538147702783947857e+00,2.306746391240465499e+01,3.350035997939551091e-01,-5.750000000000006217e-01,1.083544368418245529e+00
2.300000000000000100e-01,2.595969582940091502e+00,2.333763322986290589e+01,3.443052182859571708e-01,-5.750000000000006217e-01,1.131833583996223025e+00
2.325000000000000122e-01,2.654467198431656350e+00,2.360800985632588933e+01,3.537821252270458849e-01,-5.750000000000006217e-01,1.181460846373246332e+00
2.350000000000000144e-01,2.713640654534482000e+00,2.387820820048548498e+01,3.634353958480084912e-01,-5.750000000000006217e-01,1.232451298238094850e+00
2.375000000000000167e-01,2.773489504777128190e+00,2.414822693449626101e+01,3.732660357594799194e-01,-8.000000000000000444e-01,1.284830233941704147e+00
